Sample	PE mapped uniquely	PE multimapped	PE neither mate aligned
BC1	24843931.0	2574564.0	1049143.0
BC2	24006352.0	4588510.0	1535878.0
BC3	22642132.0	7208347.0	1329832.0
BC4	18837460.0	9945144.0	1673761.0
BC5	13159700.0	13766994.0	1943928.0
BH1	17364197.0	5148406.0	994274.0
BH2	21643226.0	12006786.0	2130721.0
BH3	25810335.0	7252970.0	1441370.0
BH4	25157990.0	3080638.0	859502.0
BH5	21065059.0	11064805.0	1856335.0
BN1	30338583.0	2951553.0	1043633.0
BN2	27610366.0	8590922.0	1714977.0
BN3	23129910.0	5016797.0	1371334.0
BN5	24688523.0	4448379.0	1106350.0
MC1	17876461.0	8250192.0	2365245.0
MC2	18839613.0	8999103.0	2710381.0
MC3	12764107.0	9940032.0	2709536.0
MC4	19318823.0	11307171.0	3317563.0
MC5	23203198.0	10698054.0	3248933.0
MH1	19815390.0	7973033.0	3005728.0
MH2	21894160.0	6789405.0	2891116.0
MH3	29366015.0	5409066.0	3704593.0
MH4	27640544.0	2606693.0	3624806.0
MH5	21639817.0	1025204.0	2214855.0
MN1	34596153.0	7888878.0	4091586.0
MN2	21231056.0	7347069.0	2687272.0
MN3	25624964.0	5103754.0	3057741.0
MN4	21152011.0	1141085.0	2004425.0
MN5	21487955.0	8986159.0	3208740.0
OC1	19097338.0	12658216.0	3426565.0
OC2	20609426.0	10244196.0	3274056.0
OC3	25196169.0	1046442.0	2587558.0
OC4	20650529.0	14580984.0	3718197.0
OC5	25602404.0	4667369.0	3031471.0
OH1	28160378.0	6070783.0	3946860.0
OH2	25965119.0	1381949.0	3174152.0
OH3	28973362.0	7355295.0	4386983.0
OH4	18077177.0	8951271.0	3056646.0
OH5	19785415.0	11758785.0	3620782.0
ON1	19098313.0	10444182.0	2889046.0
ON2	18794177.0	7728063.0	2683455.0
ON3	18239324.0	11525311.0	3221955.0
ON4	33292423.0	13108930.0	4397082.0
ON5	30889912.0	6689482.0	3621176.0
WC1	21206840.0	10405988.0	2970317.0
WC2	15721979.0	5030452.0	1824941.0
WC3	25565034.0	6417360.0	2852107.0
WC4	32508845.0	3609998.0	3211554.0
WC5	39966601.0	8990836.0	4539358.0
WH1	21528530.0	4555756.0	2835192.0
WH2	29322159.0	5390010.0	3917775.0
WH3	20285482.0	4714493.0	2583245.0
WH4	17956829.0	8743410.0	3073659.0
WH5	23514733.0	14143035.0	4025610.0
WN1	31306232.0	9970469.0	3712456.0
WN2	26809369.0	5560615.0	2738672.0
WN3	32419193.0	6498441.0	3292068.0
WN4	30497628.0	5919933.0	3310959.0
WN5	41299899.0	10660055.0	4756959.0
