Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
BC1	54836990	81723181	77171589	48439693	62369816	62369816.0	14580559	2366158	2366158.0	17808982	7148416	7148416.0	85124588	2361719	2361719.0	36626081	272102	272102.0	161455822	480803	480803.0	301139461	606448	606448.0	34601673	1458293	1458293.0	147675048	2084269	2084269.0	279706221	2319032	2319032.0	4551592	76.31839000491183	2.895332720834741	8.747109342207324	2.8899009694691156	0.332955713018562	0.5883312349283124	0.742075862171836	1.7844300505140642	2.5504012135797796	2.8376673198758624	5.5695237805292965
BC2	57189724	83726455	76043161	48439693	61030360	61030360.0	14580559	2252273	2252273.0	17808982	6370948	6370948.0	85124588	2544948	2544948.0	36626081	298162	298162.0	161455822	595132	595132.0	301139461	797315	797315.0	34601673	1679025	1679025.0	147675048	2646069	2646069.0	279706221	3047317	3047317.0	7683294	72.89256424388205	2.6900374559032745	7.609241308496818	3.0395984160561915	0.3561144443533409	0.7108052048781953	0.9522856306289332	2.0053697484265878	3.1603738627175844	3.6396106821911904	9.176662262841536
BC3	59700958	85071097	73496898	48439693	56943415	56943415.0	14580559	2120288	2120288.0	17808982	5591368	5591368.0	85124588	3448083	3448083.0	36626081	321289	321289.0	161455822	776811	776811.0	301139461	1092481	1092481.0	34601673	2214620	2214620.0	147675048	3718115	3718115.0	279706221	4301263	4301263.0	11574199	66.93626508660162	2.4923717628797006	6.57258246005691	4.053178014149742	0.37767116133461875	0.9131315186872457	1.2841976164948243	2.6032578373827717	4.370597219405787	5.056080327728699	13.605324732088503
BC4	57565208	78376515	62354723	48439693	45874852	45874852.0	14580559	1588454	1588454.0	17808982	4896877	4896877.0	85124588	3471750	3471750.0	36626081	299566	299566.0	161455822	800050	800050.0	301139461	1165456	1165456.0	34601673	2539603	2539603.0	147675048	4552823	4552823.0	279706221	5357334	5357334.0	16021792	58.531375119192276	2.0266963898560686	6.247888158844521	4.429579447363793	0.3822139833596837	1.0207777163860885	1.486996455507112	3.2402601723233038	5.808912274295432	6.8353817466877675	20.442082682548467
BC5	53853388	66307354	44255120	48439693	26944787	26944787.0	14580559	493875	493875.0	17808982	5253642	5253642.0	85124588	3230579	3230579.0	36626081	230852	230852.0	161455822	868179	868179.0	301139461	1339845	1339845.0	34601673	3200682	3200682.0	147675048	5905479	5905479.0	279706221	6992392	6992392.0	22052234	40.63619700463391	0.7448268860193094	7.923166410772477	4.8721277582574025	0.3481544445281288	1.3093253577876143	2.020658221409348	4.827039245149188	8.906220266307113	10.545424569347164	33.2575991495604
BH1	45025206	62550405	53388899	48439693	41201890	41201890.0	14580559	1678108	1678108.0	17808982	4422675	4422675.0	85124588	1970397	1970397.0	36626081	288289	288289.0	161455822	663275	663275.0	301139461	915722	915722.0	34601673	1582893	1582893.0	147675048	2693612	2693612.0	279706221	3200107	3200107.0	9161506	65.86990124204631	2.6828091680621413	7.070577720479987	3.150094711616975	0.46089070086756434	1.060384820849681	1.4639745338179666	2.5305879314450483	4.306306250135391	5.116045211857541	14.646597412119075
BH2	67300024	87078547	67169925	48439693	47946318	47946318.0	14580559	1927390	1927390.0	17808982	5086968	5086968.0	85124588	3875957	3875957.0	36626081	450199	450199.0	161455822	1122915	1122915.0	301139461	1595873	1595873.0	34601673	3309546	3309546.0	147675048	5765782	5765782.0	279706221	6737419	6737419.0	19908622	55.06099912301017	2.213392467377757	5.841815435896054	4.451104357540555	0.51700334411873	1.289542647054044	1.832682164528997	3.8006444916909325	6.621357611766306	7.737174346742373	22.862832104904093
BH3	66126610	89779154	76484421	48439693	58342758	58342758.0	14580559	2623602	2623602.0	17808982	5801394	5801394.0	85124588	3314075	3314075.0	36626081	510049	510049.0	161455822	1119373	1119373.0	301139461	1548230	1548230.0	34601673	2524212	2524212.0	147675048	4146174	4146174.0	279706221	4854362	4854362.0	13294733	64.98474913229857	2.9222841640944845	6.461849707338521	3.691363587587381	0.5681151773829368	1.2468072488185842	1.7244871788388652	2.811579177945918	4.6181923255815045	5.407003501057718	14.808262728784458
BH4	56477256	81482558	74947344	48439693	59892723	59892723.0	14580559	2565893	2565893.0	17808982	6471059	6471059.0	85124588	2205207	2205207.0	36626081	389723	389723.0	161455822	812825	812825.0	301139461	1088109	1088109.0	34601673	1482086	1482086.0	147675048	2325724	2325724.0	279706221	2724353	2724353.0	6535214	73.50373438202567	3.149008895867015	7.941649303646063	2.706354653225295	0.4782900900092017	0.9975447751652569	1.3353888570852182	1.818899696300649	2.854259926400445	3.3434799629142717	8.020383945236475
BH5	64259728	84527511	66009643	48439693	47292255	47292255.0	14580559	1768977	1768977.0	17808982	5608395	5608395.0	85124588	3406091	3406091.0	36626081	414369	414369.0	161455822	1112833	1112833.0	301139461	1591926	1591926.0	34601673	3056028	3056028.0	147675048	5405054	5405054.0	279706221	6341999	6341999.0	18517868	55.94895015896068	2.0927825498138706	6.634993664961931	4.029565001624145	0.49021791260362557	1.3165335011461534	1.8833229337605835	3.6154240954758508	6.394431748972237	7.5028815174742345	21.90750417340456
