Sample	pe_sense	pe_antisense	failed
BC1	0.0049	0.9588	0.0363
BC2	0.0051	0.9569	0.038
BC3	0.0082	0.9596	0.0322
BC4	0.0102	0.9564	0.0334
BC5	0.0077	0.9728	0.0195
BH1	0.0089	0.9807	0.0104
BH2	0.0077	0.9688	0.0235
BH3	0.0133	0.9694	0.0174
BH4	0.0138	0.9672	0.019
BH5	0.0087	0.9726	0.0187
BN1	0.0065	0.9555	0.0379
BN2	0.0061	0.9507	0.0432
BN3	0.0033	0.9611	0.0356
BN5	0.0062	0.959	0.0348
MC1	0.0139	0.9513	0.0348
MC2	0.0132	0.9526	0.0342
MC3	0.0072	0.966	0.0269
MC4	0.02	0.9417	0.0383
MC5	0.0087	0.9489	0.0424
MH1	0.0102	0.975	0.0148
MH2	0.01	0.9705	0.0195
MH3	0.011	0.9608	0.0282
MH4	0.0131	0.9629	0.024
MH5	0.0154	0.9585	0.026
MN1	0.0061	0.9516	0.0423
MN2	0.0082	0.9641	0.0276
MN3	0.0075	0.9538	0.0387
MN4	0.0074	0.9527	0.0399
MN5	0.0083	0.9575	0.0342
OC1	0.0106	0.9535	0.0359
OC2	0.0068	0.9589	0.0343
OC3	0.0095	0.9444	0.0461
OC4	0.0063	0.9556	0.038
OC5	0.0078	0.9504	0.0418
OH1	0.0059	0.9699	0.0242
OH2	0.005	0.977	0.018
OH3	0.0071	0.9799	0.0129
OH4	0.0127	0.9696	0.0177
OH5	0.0051	0.972	0.0228
ON1	0.0035	0.9714	0.0251
ON2	0.0037	0.9685	0.0278
ON3	0.0037	0.9747	0.0216
ON4	0.0082	0.9598	0.032
ON5	0.0056	0.961	0.0334
WC1	0.0079	0.9441	0.048
WC2	0.0073	0.9551	0.0377
WC3	0.0056	0.939	0.0554
WC4	0.0062	0.9212	0.0726
WC5	0.007	0.9121	0.0809
WH1	0.0077	0.974	0.0183
WH2	0.012	0.9719	0.0161
WH3	0.0083	0.977	0.0146
WH4	0.006	0.9798	0.0141
WH5	0.0068	0.9682	0.0251
WN1	0.0062	0.9375	0.0563
WN2	0.0057	0.9397	0.0546
WN3	0.006	0.919	0.0751
WN4	0.0071	0.9353	0.0576
WN5	0.0065	0.9255	0.068
