Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
BC1	28467638	1049143	24843931	2574564	0	2098286	2098286	0	0	96.31
BC2	30130740	1535878	24006352	4588510	0	3071756	3071756	0	0	94.9
BC3	31180311	1329832	22642132	7208347	0	2659664	2659664	0	0	95.74
BC4	30456365	1673761	18837460	9945144	0	3347522	3347522	0	0	94.5
BC5	28870622	1943928	13159700	13766994	0	3887856	3887856	0	0	93.27
BH1	23506877	994274	17364197	5148406	0	1988548	1988548	0	0	95.77
BH2	35780733	2130721	21643226	12006786	0	4261442	4261442	0	0	94.05
BH3	34504675	1441370	25810335	7252970	0	2882740	2882740	0	0	95.82
BH4	29098130	859502	25157990	3080638	0	1719004	1719004	0	0	97.05
BH5	33986199	1856335	21065059	11064805	0	3712670	3712670	0	0	94.54
BN1	34333769	1043633	30338583	2951553	0	2087266	2087266	0	0	96.96
BN2	37916265	1714977	27610366	8590922	0	3429954	3429954	0	0	95.48
BN3	29518041	1371334	23129910	5016797	0	2742668	2742668	0	0	95.35
BN5	30243252	1106350	24688523	4448379	0	2212700	2212700	0	0	96.34
MC1	28491898	2365245	17876461	8250192	0	4730490	4730490	0	0	91.7
MC2	30549097	2710381	18839613	8999103	0	5420762	5420762	0	0	91.13
MC3	25413675	2709536	12764107	9940032	0	5419072	5419072	0	0	89.34
MC4	33943557	3317563	19318823	11307171	0	6635126	6635126	0	0	90.23
MC5	37150185	3248933	23203198	10698054	0	6497866	6497866	0	0	91.25
MH1	30794151	3005728	19815390	7973033	0	6011456	6011456	0	0	90.24
MH2	31574681	2891116	21894160	6789405	0	5782232	5782232	0	0	90.84
MH3	38479674	3704593	29366015	5409066	0	7409186	7409186	0	0	90.37
MH4	33872043	3624806	27640544	2606693	0	7249612	7249612	0	0	89.3
MH5	24879876	2214855	21639817	1025204	0	4429710	4429710	0	0	91.1
MN1	46576617	4091586	34596153	7888878	0	8183172	8183172	0	0	91.22
MN2	31265397	2687272	21231056	7347069	0	5374544	5374544	0	0	91.4
MN3	33786459	3057741	25624964	5103754	0	6115482	6115482	0	0	90.95
MN4	24297521	2004425	21152011	1141085	0	4008850	4008850	0	0	91.75
MN5	33682854	3208740	21487955	8986159	0	6417480	6417480	0	0	90.47
OC1	35182119	3426565	19097338	12658216	0	6853130	6853130	0	0	90.26
OC2	34127678	3274056	20609426	10244196	0	6548112	6548112	0	0	90.41
OC3	28830169	2587558	25196169	1046442	0	5175116	5175116	0	0	91.02
OC4	38949710	3718197	20650529	14580984	0	7436394	7436394	0	0	90.45
OC5	33301244	3031471	25602404	4667369	0	6062942	6062942	0	0	90.9
OH1	38178021	3946860	28160378	6070783	0	7893720	7893720	0	0	89.66
OH2	30521220	3174152	25965119	1381949	0	6348304	6348304	0	0	89.6
OH3	40715640	4386983	28973362	7355295	0	8773966	8773966	0	0	89.23
OH4	30085094	3056646	18077177	8951271	0	6113292	6113292	0	0	89.84
OH5	35164982	3620782	19785415	11758785	0	7241564	7241564	0	0	89.7
ON1	32431541	2889046	19098313	10444182	0	5778092	5778092	0	0	91.09
ON2	29205695	2683455	18794177	7728063	0	5366910	5366910	0	0	90.81
ON3	32986590	3221955	18239324	11525311	0	6443910	6443910	0	0	90.23
ON4	50798435	4397082	33292423	13108930	0	8794164	8794164	0	0	91.34
ON5	41200570	3621176	30889912	6689482	0	7242352	7242352	0	0	91.21
WC1	34583145	2970317	21206840	10405988	0	5940634	5940634	0	0	91.41
WC2	22577372	1824941	15721979	5030452	0	3649882	3649882	0	0	91.92
WC3	34834501	2852107	25565034	6417360	0	5704214	5704214	0	0	91.81
WC4	39330397	3211554	32508845	3609998	0	6423108	6423108	0	0	91.83
WC5	53496795	4539358	39966601	8990836	0	9078716	9078716	0	0	91.51
WH1	28919478	2835192	21528530	4555756	0	5670384	5670384	0	0	90.2
WH2	38629944	3917775	29322159	5390010	0	7835550	7835550	0	0	89.86
WH3	27583220	2583245	20285482	4714493	0	5166490	5166490	0	0	90.63
WH4	29773898	3073659	17956829	8743410	0	6147318	6147318	0	0	89.68
WH5	41683378	4025610	23514733	14143035	0	8051220	8051220	0	0	90.34
WN1	44989157	3712456	31306232	9970469	0	7424912	7424912	0	0	91.75
WN2	35108656	2738672	26809369	5560615	0	5477344	5477344	0	0	92.2
WN3	42209702	3292068	32419193	6498441	0	6584136	6584136	0	0	92.2
WN4	39728520	3310959	30497628	5919933	0	6621918	6621918	0	0	91.67
WN5	56716913	4756959	41299899	10660055	0	9513918	9513918	0	0	91.61
