Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
BH1_1 - Adapter 1	4196283	1422046	558906	297461	258523	223313	196990	197064	180753	170704	157056	148988	131587	123264	112055	100792	95321	86532	72219	69346	63596	54583	50502	45174	39641	34032	32197	28187	25874	23800	20087	19526	17291	15841	14623	12534	11563	10947	10601	9092	9096	7736	7753	7285	7233	5728	9625	1354	3455	5245	4880	2254	4096	3703	2733	2841	4445	2820	2246	2268	2867	737	740	3058	1051	853	818	2977	562	1024	592	282	124	283	627	659	647	644	583	524	492	424	455	379	379	359	391	310	302	268	261	236	195	158	157	138	145	142	141	125	116	75	72	55	44	42	58	31	41	37	36	36	26	25	34	45	42	36	23	24	15	14	8	8	13	13	23	28	23	21	18	26	11	39	22	59	12	8	15	7	18	32	27	12	8	35	12	46	10	7	1955
BH1_2 - Adapter 1	4811227	1795395	717580	321857	256823	222071	199564	220678	153478	180061	149397	152997	132666	132991	100561	98565	114257	59610	89627	64839	52341	55437	49825	45992	42291	33669	28481	29842	23264	23619	20466	18457	17513	16823	16066	10501	11647	10842	13116	12891	7062	3416	7745	10889	3342	16897	4333	1527	8547	1253	2339	1765	1628	1290	3116	4244	1341	2566	4654	1488	1313	3380	1420	791	3394	3487	866	985	951	339	520	617	269	233	187	211	248	398	496	440	448	399	385	364	377	337	331	276	280	255	246	236	187	157	159	127	149	167	161	123	113	95	75	61	48	43	52	36	49	37	45	42	33	33	36	28	24	34	30	16	14	23	29	21	25	20	11	14	11	23	18	12	40	27	10	8	9	25	9	15	4	5	11	33	15	28	12	58	8	29	14
BH2_1 - Adapter 1	6152911	2062235	830933	461440	419620	365507	327266	324436	302574	284911	264532	250488	223138	212524	193972	175999	166763	151247	126474	122607	111689	97093	91150	82190	73250	63185	59518	53170	48033	43926	37373	36427	31926	30449	29479	23466	22836	21537	21057	18750	17854	17609	15884	15482	15686	13066	23264	3029	9167	25640	9729	2807	13527	10559	3523	7490	20200	7208	3018	2936	7679	657	1293	8158	1133	1024	2071	7058	553	1744	1503	1004	172	563	1929	2378	2465	2414	2313	2080	1929	1837	1891	1669	1588	1479	1520	1462	1331	1233	1084	919	897	789	710	640	630	586	643	555	473	380	289	251	219	192	206	197	165	160	152	132	93	80	77	80	81	58	61	50	35	29	28	20	15	13	39	12	23	27	42	13	15	23	14	37	8	16	13	18	14	43	29	38	13	35	15	36	10	9	4946
BH2_2 - Adapter 1	7223900	2741498	1120764	490116	413576	363010	326863	341633	282597	294189	258892	256454	226332	228865	171112	173480	190489	112087	138293	129247	96456	98000	89597	83609	77665	62596	53695	58405	40852	45430	36085	38445	30509	30945	28795	29796	17179	23147	26838	11891	26022	21313	6519	22719	8096	27158	17991	6745	19498	2896	8589	2082	3641	1878	7659	11484	2773	6785	17016	3645	2974	12330	3244	1423	10382	12372	1672	2320	1465	761	1328	1888	781	724	811	854	1069	1312	1771	1762	1664	1676	1744	1545	1541	1397	1476	1384	1268	1158	1029	883	842	761	696	620	607	594	626	529	491	415	294	241	197	178	199	195	176	186	140	122	110	83	67	65	56	74	66	45	41	50	56	30	26	27	14	23	20	30	32	19	39	20	31	36	14	21	17	18	9	29	24	55	19	41	26	45	20	12	9
BH3_1 - Adapter 1	6297983	2101951	796405	402374	345001	293295	257770	256577	234952	218912	202920	189745	166506	158082	141539	127007	117710	107804	88631	85998	76856	66508	61641	54823	48655	40707	38606	33454	31598	28609	23631	22432	20714	19289	16630	15305	13708	12429	12326	10889	10721	9610	8657	8836	8158	7127	11262	1583	3564	5356	5266	3724	4372	4200	3837	3219	3883	2786	2931	3250	2719	1733	1198	3031	1726	1721	1063	3179	1491	1846	693	345	225	360	851	881	799	842	695	773	692	643	581	496	520	493	515	422	423	406	362	333	286	252	240	195	231	212	205	221	154	119	130	85	74	68	65	70	67	59	48	65	31	54	38	71	49	52	37	57	19	31	15	14	13	17	41	15	18	29	32	26	33	32	25	66	40	24	20	20	12	27	18	23	16	28	17	73	21	23	6674
BH3_2 - Adapter 1	7156215	2646111	1015653	438942	343071	292692	259362	272760	216282	226856	197637	192383	171005	163175	131068	126867	123433	91704	98322	88795	67784	67380	60798	54146	51477	40527	36368	35966	28106	27201	25326	22042	20866	18594	16710	15408	13898	13530	13040	11960	10106	8342	8695	9881	7437	17689	8823	2925	8884	2930	2666	2458	1867	1801	3393	4114	1973	2859	4230	1931	1895	3022	2036	1429	2830	3514	2030	1688	1859	825	765	668	318	226	211	231	220	300	272	375	483	511	452	455	468	455	469	403	385	383	312	344	243	225	210	184	223	218	174	172	170	121	117	84	77	72	66	62	57	73	54	45	46	37	31	36	27	37	43	19	35	47	45	33	19	18	21	18	8	32	16	20	59	20	15	20	23	24	18	22	11	25	7	30	17	57	15	84	16	23	27
BH4_1 - Adapter 1	5245478	1830350	725748	373701	318155	277311	244859	247242	227177	213374	199509	187217	165155	157036	141528	129923	122906	111331	92507	89452	81672	70846	66436	58862	51618	43759	41885	36342	33935	31201	25968	25462	22400	20451	19388	16505	15543	14140	13527	12138	11653	11318	10149	9439	9233	8077	12855	1788	4680	6105	6120	4585	5129	4847	4517	3969	4540	3357	3418	3828	3395	2327	1663	3691	2279	2081	1292	4213	2084	2474	935	525	261	494	1201	1243	1168	1090	983	1044	818	878	805	696	660	699	728	593	557	531	444	410	375	308	306	280	247	259	238	216	165	167	110	107	95	79	59	67	70	44	82	68	63	49	40	86	42	33	40	28	29	22	20	35	16	23	43	9	49	36	34	21	38	45	36	67	37	42	22	23	22	46	18	23	11	28	16	82	10	20	3227
BH4_2 - Adapter 1	5823618	2144998	870217	403880	321150	277681	247077	263417	207499	218319	193941	185998	171675	159899	132098	131683	138104	85715	111856	85959	68913	72019	65166	59701	54551	43250	38499	37443	31586	31667	25700	25507	22185	19855	19230	16595	16045	14135	12548	13196	12537	9995	9965	11216	7512	30521	7078	2532	7372	1402	4292	925	1631	917	4214	5906	1820	3333	6852	2049	1928	5661	2208	719	4118	7324	1409	1239	784	381	474	728	317	324	371	413	407	454	516	728	709	729	705	654	640	631	670	551	538	507	418	397	353	307	264	263	245	270	229	190	172	177	112	96	102	85	60	83	67	54	90	84	68	45	53	48	26	28	23	34	28	23	41	29	21	36	30	22	17	33	13	13	51	36	13	39	17	20	19	20	16	30	3	28	29	25	17	71	21	21	7
BH5_1 - Adapter 1	6002984	1976131	783325	428014	382927	331624	291879	289194	269809	250346	237000	219057	197054	184634	168437	149516	143509	131317	107071	104262	93974	82592	76737	67003	60376	52089	48382	43360	39729	36138	30619	28795	26212	24509	21564	20133	18594	15476	16608	15207	13850	13747	12509	11321	10872	9080	16202	1846	6176	9902	7986	3402	6752	6702	4429	4567	8503	4603	4141	4061	4516	1191	1172	5580	1815	1426	1392	5519	985	1688	919	500	191	487	1242	1340	1365	1262	1168	1000	1067	874	877	808	785	807	756	662	628	591	489	441	370	329	299	307	259	248	238	226	173	176	143	132	93	91	79	75	70	63	60	69	51	46	23	59	74	34	25	54	23	22	11	11	14	27	28	24	29	37	18	18	21	30	18	25	27	20	14	17	23	21	16	17	20	23	29	50	16	17	4920
BH5_2 - Adapter 1	6978244	2617683	1061866	454955	374662	328763	291699	294348	263303	264136	229056	226055	198325	199897	149187	148081	167810	94289	127151	100168	81977	83558	75901	65210	63041	52120	47864	43915	37661	35193	32234	27606	26465	24830	22168	20902	18549	15312	19377	15279	12525	19285	8537	18898	7273	25755	9089	3062	9530	3111	3833	3549	2685	2768	4818	6063	2817	4099	6192	2828	2713	4532	2932	2234	4299	4726	2933	2540	3068	1382	1435	1322	683	437	382	400	424	479	586	642	790	738	743	752	722	752	714	614	567	536	473	420	367	325	282	287	254	260	253	212	185	170	142	116	106	91	89	76	75	62	79	59	42	42	40	43	38	39	31	35	44	32	32	39	20	20	18	19	16	41	20	12	41	27	29	29	8	15	19	20	12	21	29	27	15	36	17	54	22	15	17
