Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
BC1_1 - Adapter 1	0.6834647596447105	1.0184661131438	1.7316642492699028	3.923777859317121	13.74616924920873	49.20506416329343	175.85806970201526	703.1557188791916	2613.7006427915517	9895.735294117647	36744.41176470588	139366.4705882353	532750.0	495390.0	453805.0	410400.0	386945.0	350730.0	291232.5	280132.5	252242.5	218565.0	203735.0	183280.0	158490.0	135347.5	126757.5	110032.5	100042.5	92595.0	76812.5	71220.0	64947.5	59702.5	50755.0	48022.5	43687.5	39917.5	35447.5	32285.0	31792.5	27860.0	25247.5	24412.5	23505.0	20167.5	32107.5	4190.0	12705.0	15227.5	15497.5	9472.5	12197.5	11182.5	9610.0	8822.5	11445.0	7832.5	7632.5	8080.0	7775.0	3712.5	2855.0	8485.0	3875.0	3622.5	2722.5	8772.5	2925.0	3970.0	1795.0	852.5	407.5	962.5	1925.0	2087.5	2037.5	1830.0	1880.0	1565.0	1462.5	1277.5	1235.0	1335.0	1192.5	1012.5	1127.5	945.0	847.5	717.5	682.5	632.5	540.0	537.5	485.0	425.0	415.0	372.5	430.0	300.0	262.5	252.5	212.5	200.0	80.0	142.5	90.0	72.5	132.5	70.0	82.5	117.5	90.0	82.5	65.0	87.5	110.0	82.5	47.5	95.0	50.0	40.0	20.0	55.0	32.5	72.5	82.5	50.0	40.0	25.0	85.0	100.0	70.0	35.0	67.5	87.5	60.0	37.5	65.0	32.5	37.5	77.5	37.5	17.5	32.5	62.5	60.0	182.5	12.5	30.0	6100.0
BC1_2 - Adapter 1	0.766573792493824	1.1533908163081075	2.0006221609979518	4.104182160886294	13.867856143196516	49.394109034536214	176.1043807774014	751.3137344970143	2386.6483011937557	10123.41911764706	35053.67647058824	139919.41176470587	532947.5	527190.0	397695.0	413327.5	403247.5	296867.5	312482.5	300867.5	213230.0	219900.0	199875.0	182587.5	165542.5	134982.5	114960.0	114242.5	91172.5	88857.5	80605.0	67875.0	65787.5	57757.5	54747.5	48935.0	47907.5	38390.0	39937.5	24227.5	29842.5	23042.5	25575.0	32685.0	13522.5	31822.5	24367.5	7775.0	41145.0	3865.0	10990.0	2735.0	5767.5	2365.0	9897.5	14705.0	2892.5	8207.5	24587.5	3712.5	2247.5	13535.0	2325.0	1540.0	11292.5	7917.5	1107.5	2042.5	1115.0	735.0	1390.0	1667.5	795.0	685.0	685.0	760.0	717.5	1312.5	1442.5	1325.0	1385.0	1260.0	1107.5	1252.5	1145.0	960.0	990.0	955.0	877.5	760.0	662.5	712.5	570.0	537.5	497.5	410.0	490.0	385.0	470.0	327.5	310.0	335.0	162.5	172.5	120.0	115.0	120.0	105.0	105.0	100.0	115.0	85.0	140.0	112.5	115.0	155.0	95.0	145.0	92.5	55.0	97.5	70.0	135.0	142.5	72.5	125.0	50.0	85.0	27.5	192.5	57.5	160.0	100.0	55.0	70.0	62.5	60.0	120.0	42.5	117.5	22.5	67.5	77.5	155.0	80.0	82.5	32.5	200.0	57.5	72.5	47.5
BC2_1 - Adapter 1	0.6855101184191444	0.9921986379513428	1.630362977718212	3.6595556915555023	12.946150829073007	46.07441369796316	162.85652456178315	648.3726466132871	2371.948051948052	9016.920415224913	33699.444444444445	126586.11111111111	406246.0	388086.0	353488.0	321448.0	302638.0	270152.0	224598.0	213128.0	191940.0	167068.0	156612.0	137248.0	123968.0	105710.0	99942.0	87048.0	77548.0	71230.0	58392.0	55978.0	50636.0	47612.0	40614.0	38662.0	34514.0	31024.0	29572.0	27164.0	24712.0	23028.0	21116.0	20762.0	20688.0	16632.0	28418.0	3586.0	9748.0	15594.0	13404.0	5932.0	11146.0	10608.0	7726.0	7712.0	12734.0	7842.0	6506.0	6338.0	8010.0	2248.0	2162.0	8382.0	2998.0	2514.0	2350.0	8582.0	1674.0	2852.0	1924.0	1030.0	298.0	672.0	1830.0	1910.0	1986.0	1822.0	1712.0	1526.0	1428.0	1258.0	1118.0	1044.0	968.0	932.0	1036.0	854.0	898.0	732.0	698.0	650.0	498.0	458.0	358.0	334.0	328.0	332.0	256.0	312.0	246.0	238.0	220.0	124.0	164.0	80.0	88.0	82.0	138.0	112.0	106.0	100.0	92.0	82.0	60.0	42.0	116.0	92.0	24.0	76.0	74.0	48.0	44.0	44.0	52.0	48.0	78.0	18.0	32.0	36.0	24.0	36.0	36.0	56.0	22.0	48.0	48.0	36.0	36.0	26.0	22.0	44.0	22.0	56.0	38.0	112.0	26.0	118.0	52.0	152.0	63002.0
BC2_2 - Adapter 1	0.7863023002038503	1.1661685097372398	1.9775060407529461	3.8516340139999174	12.969548811166112	46.115934972544565	163.52899805236962	691.3373728630166	2157.7316017316016	8955.29411764706	32846.11111111111	125843.88888888889	409072.0	406884.0	314628.0	312016.0	348164.0	191094.0	267540.0	199864.0	157332.0	166366.0	151080.0	138192.0	131288.0	102200.0	88262.0	92314.0	66388.0	73364.0	54282.0	55406.0	48466.0	43626.0	42016.0	37968.0	33372.0	31240.0	28524.0	26178.0	24664.0	24394.0	19622.0	22648.0	15390.0	19994.0	18358.0	12290.0	32188.0	4768.0	11268.0	3766.0	6562.0	3574.0	8800.0	12802.0	2824.0	7584.0	24122.0	3424.0	1626.0	12526.0	1616.0	1190.0	9124.0	6632.0	922.0	1800.0	1160.0	940.0	1418.0	1760.0	908.0	882.0	942.0	694.0	764.0	1204.0	1384.0	1302.0	1244.0	1172.0	1028.0	982.0	984.0	842.0	960.0	910.0	906.0	682.0	682.0	676.0	478.0	472.0	336.0	358.0	330.0	388.0	366.0	284.0	262.0	318.0	226.0	126.0	202.0	114.0	108.0	112.0	120.0	94.0	170.0	124.0	122.0	136.0	124.0	100.0	76.0	136.0	94.0	54.0	112.0	76.0	150.0	146.0	62.0	102.0	42.0	36.0	42.0	98.0	58.0	88.0	88.0	50.0	84.0	60.0	116.0	52.0	42.0	118.0	32.0	58.0	12.0	130.0	72.0	78.0	26.0	148.0	42.0	96.0	42.0
BC3_1 - Adapter 1	0.7149435259094675	0.9693930623960475	1.570861357184891	3.381468791481065	11.76042319158077	41.1343303161485	145.52838702906917	578.9966414777498	2162.6280436607894	8086.476510067114	30160.675675675673	110536.3157894737	373326.0	355546.0	322128.0	291842.0	275638.0	249204.0	211860.0	202706.0	183158.0	159704.0	148504.0	133284.0	117792.0	101768.0	94078.0	82708.0	78156.0	70360.0	59124.0	59022.0	49000.0	47418.0	43982.0	40466.0	34304.0	31600.0	31464.0	27864.0	27686.0	24198.0	25220.0	21646.0	21536.0	19444.0	31804.0	4162.0	11882.0	16834.0	16312.0	8682.0	13664.0	12928.0	10284.0	10322.0	14860.0	9702.0	9248.0	9402.0	10666.0	3814.0	3258.0	12430.0	5174.0	4368.0	3620.0	13674.0	3424.0	5384.0	2812.0	1440.0	506.0	1262.0	3202.0	3434.0	3376.0	3312.0	3234.0	3060.0	2786.0	2554.0	2286.0	2186.0	2148.0	2200.0	2148.0	1988.0	1820.0	1828.0	1408.0	1408.0	1254.0	1066.0	1024.0	1018.0	964.0	908.0	838.0	800.0	686.0	530.0	476.0	382.0	350.0	306.0	264.0	250.0	258.0	242.0	256.0	200.0	188.0	136.0	134.0	112.0	132.0	124.0	112.0	112.0	64.0	48.0	52.0	50.0	74.0	78.0	66.0	40.0	48.0	46.0	40.0	56.0	68.0	60.0	34.0	64.0	52.0	34.0	20.0	24.0	32.0	82.0	16.0	88.0	44.0	104.0	20.0	126.0	24.0	32.0	13174.0
BC3_2 - Adapter 1	0.8081575778740602	1.213478588333584	1.9657755264637464	3.588055256980707	11.636095906808649	40.99029253574708	147.22950991709519	642.048698572628	1858.16120906801	8534.161073825504	28693.783783783783	112905.26315789475	378182.0	383948.0	285408.0	288274.0	310216.0	192092.0	254312.0	193486.0	154664.0	161992.0	146828.0	132246.0	124332.0	100450.0	88210.0	87810.0	70332.0	68434.0	61366.0	55898.0	51570.0	49784.0	40270.0	40344.0	35566.0	37980.0	30102.0	29498.0	35814.0	24684.0	16756.0	36930.0	10520.0	43862.0	22658.0	7862.0	26912.0	3756.0	10836.0	3298.0	5080.0	2938.0	10812.0	16380.0	4080.0	9554.0	23132.0	5256.0	4172.0	16918.0	4714.0	2202.0	14818.0	17866.0	2734.0	3696.0	2456.0	1086.0	1810.0	2690.0	994.0	1028.0	1118.0	1106.0	1240.0	1836.0	2426.0	2612.0	2522.0	2384.0	2102.0	2048.0	2118.0	2104.0	1972.0	1870.0	1790.0	1698.0	1380.0	1432.0	1212.0	1062.0	1018.0	964.0	966.0	906.0	868.0	774.0	700.0	590.0	474.0	356.0	338.0	348.0	264.0	278.0	244.0	236.0	330.0	238.0	184.0	150.0	158.0	114.0	102.0	144.0	130.0	88.0	116.0	76.0	118.0	82.0	66.0	44.0	50.0	36.0	44.0	108.0	48.0	42.0	96.0	76.0	20.0	66.0	64.0	98.0	38.0	74.0	36.0	70.0	16.0	84.0	34.0	60.0	24.0	142.0	44.0	60.0	42.0
BC4_1 - Adapter 1	0.7236307819370409	0.9422070751042598	1.488303558073766	3.165368681711041	11.263786795556003	38.7383528906313	137.02540142849472	539.3705692803437	2011.80412371134	7508.900343642611	27571.64383561644	105425.0	336254.0	318526.0	285264.0	259590.0	244896.0	221322.0	188968.0	284574.0	40700.0	137724.0	125512.0	113244.0	100230.0	86168.0	80396.0	71046.0	64962.0	58562.0	49544.0	47602.0	41758.0	40138.0	35100.0	31016.0	29086.0	25564.0	25692.0	22320.0	23062.0	18616.0	18520.0	17304.0	17420.0	14270.0	23692.0	3202.0	8254.0	12894.0	11926.0	6336.0	9584.0	9048.0	7132.0	6774.0	9396.0	5902.0	5610.0	5450.0	7060.0	2566.0	2310.0	7374.0	3178.0	2648.0	1876.0	7592.0	1992.0	2852.0	1344.0	676.0	304.0	682.0	1570.0	1720.0	1916.0	1574.0	1480.0	1354.0	1268.0	1078.0	1092.0	1112.0	922.0	1034.0	1052.0	848.0	734.0	708.0	604.0	556.0	498.0	490.0	422.0	352.0	356.0	366.0	396.0	340.0	280.0	238.0	198.0	136.0	96.0	102.0	92.0	128.0	118.0	118.0	100.0	104.0	42.0	68.0	56.0	80.0	56.0	36.0	50.0	22.0	38.0	22.0	44.0	82.0	32.0	22.0	76.0	42.0	34.0	28.0	76.0	24.0	52.0	48.0	28.0	52.0	52.0	18.0	20.0	38.0	12.0	64.0	30.0	16.0	16.0	70.0	26.0	116.0	48.0	94.0	17506.0
BC4_2 - Adapter 1	0.8295510262563428	1.239428940553162	1.963283298478228	3.3583504164991917	10.96583089987581	38.441636905561076	138.64239299715376	580.8657357679914	1821.2714776632301	7761.718213058419	27495.342465753427	107083.88888888889	347380.0	334908.0	260790.0	257182.0	291734.0	153062.0	223812.0	166316.0	132102.0	139566.0	125198.0	111624.0	105436.0	87768.0	74090.0	73962.0	60166.0	59340.0	49726.0	46944.0	42048.0	45036.0	34968.0	34418.0	20450.0	26912.0	32296.0	26772.0	15804.0	30000.0	7632.0	30370.0	7076.0	46164.0	11930.0	4720.0	15464.0	2956.0	6958.0	3036.0	3626.0	2450.0	7338.0	10158.0	3372.0	6234.0	11656.0	3648.0	3410.0	9016.0	3686.0	1564.0	7188.0	10638.0	2600.0	2306.0	1970.0	712.0	1038.0	1232.0	484.0	480.0	510.0	544.0	588.0	768.0	1058.0	1124.0	1096.0	1016.0	1056.0	1040.0	920.0	978.0	972.0	862.0	754.0	706.0	568.0	614.0	486.0	440.0	428.0	358.0	374.0	406.0	420.0	334.0	302.0	302.0	198.0	146.0	124.0	130.0	118.0	150.0	148.0	170.0	114.0	116.0	72.0	96.0	96.0	90.0	48.0	52.0	62.0	44.0	74.0	30.0	74.0	88.0	50.0	94.0	52.0	68.0	28.0	114.0	72.0	48.0	58.0	30.0	34.0	52.0	36.0	40.0	36.0	58.0	32.0	54.0	16.0	122.0	50.0	44.0	40.0	118.0	50.0	48.0	44.0
BC5_1 - Adapter 1	0.6827892996011474	0.8649827700891294	1.4797976688783254	3.5154596073137503	13.169309263556965	45.93942657917488	165.2108843537415	652.8979591836735	2482.404718693285	9337.065217391304	34407.536231884056	132842.35294117648	507597.5	481100.0	439025.0	402475.0	380692.5	347930.0	289537.5	282942.5	257370.0	226802.5	210685.0	188215.0	171580.0	148027.5	139425.0	127955.0	114360.0	104790.0	90647.5	85740.0	76565.0	73162.5	66227.5	62720.0	55117.5	51172.5	51030.0	44087.5	47202.5	41015.0	38790.0	37177.5	37067.5	31800.0	53960.0	6492.5	20845.0	37595.0	28345.0	9992.5	26280.0	23037.5	13202.5	16572.5	37102.5	18142.5	12150.0	11225.0	18162.5	3015.0	3155.0	19582.5	4915.0	3737.5	4677.5	18130.0	2395.0	5352.5	3432.5	2020.0	495.0	1527.5	4100.0	4897.5	4372.5	4590.0	4332.5	3620.0	3487.5	3135.0	3187.5	2672.5	2632.5	2587.5	2397.5	2480.0	2232.5	1885.0	1617.5	1305.0	1220.0	1230.0	1035.0	967.5	870.0	702.5	685.0	702.5	637.5	462.5	412.5	267.5	237.5	205.0	195.0	202.5	225.0	195.0	182.5	160.0	105.0	85.0	57.5	50.0	67.5	35.0	17.5	82.5	22.5	30.0	10.0	20.0	35.0	52.5	37.5	52.5	12.5	20.0	22.5	37.5	17.5	20.0	5.0	70.0	12.5	50.0	32.5	22.5	7.5	30.0	15.0	2.5	2.5	117.5	47.5	25.0	10.0	40.0	3642.5
BC5_2 - Adapter 1	0.7979451438612439	1.2347101668515283	2.1141905935781438	3.641134797004629	12.705546796109624	45.308323530662285	167.15362811791383	723.6077097505669	2170.2813067150632	9902.065217391304	33833.47826086956	137559.41176470587	516320.0	521637.5	391857.5	395550.0	450677.5	246040.0	348155.0	270685.0	224335.0	230435.0	209122.5	184297.5	179997.5	147310.0	134020.0	131922.5	106612.5	102087.5	95062.5	86067.5	74427.5	72835.0	66160.0	63860.0	66577.5	52282.5	54065.0	33227.5	45255.0	75070.0	9465.0	57662.5	15805.0	97225.0	22400.0	7822.5	43347.5	8025.0	12615.0	10820.0	9487.5	7702.5	17860.0	24105.0	8875.0	15447.5	28147.5	9787.5	8520.0	20427.5	10005.0	4790.0	19945.0	25577.5	6995.0	6477.5	7112.5	2427.5	3620.0	4320.0	1677.5	1255.0	1282.5	1532.5	1707.5	2972.5	3597.5	3192.5	3137.5	2945.0	2967.5	2532.5	2512.5	2525.0	2240.0	2435.0	2250.0	1805.0	1567.5	1232.5	1242.5	1210.0	1087.5	977.5	810.0	740.0	677.5	665.0	645.0	492.5	420.0	260.0	262.5	242.5	230.0	250.0	225.0	230.0	217.5	142.5	75.0	105.0	175.0	35.0	57.5	145.0	162.5	85.0	80.0	75.0	82.5	100.0	27.5	35.0	12.5	37.5	27.5	85.0	45.0	87.5	122.5	25.0	5.0	50.0	30.0	110.0	10.0	37.5	37.5	47.5	50.0	180.0	82.5	82.5	47.5	102.5	47.5	62.5	2.5
