Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BC1	0.631800717642842	1.03	27418495.0	84.15954632083198	23075281	62.204008636051924	17708012	96.31							
BC1.sorted									0.20951663197364367						
BC1_1										1.991058210558266	78.01572427840776	53.0	151.0	27.27272727272727	28535382.0
BC1_2										2.3071565693332965	76.85828593914087	53.0	151.0	9.090909090909092	28535382.0
BC2	0.636330493856344	0.99	28594862.0	77.55453409776904	22176612	58.33806272265467	17577690	94.9							
BC2.sorted									0.44094671395776597						
BC2_1										1.9636767679421092	79.20224595252932	53.0	151.0	18.181818181818183	30284968.0
BC2_2										2.412395500295768	76.67742405065286	53.0	151.0	9.090909090909092	30284968.0
BC3	0.313197079222356	0.97	29850479.0	68.43057024311067	20426853	51.87653195633616	16175264	95.74							
BC3.sorted									0.9871521742881383						
BC3_1										1.8312687999969905	75.24111343800803	53.0	151.0	18.181818181818183	31223876.0
BC3_2										2.020991184620877	74.85029904017549	53.0	151.0	9.090909090909092	31223876.0
BC4	0.448453753857136	1.01	28782604.0	58.12368818332073	16729511	43.106762740727596	13128753	94.5							
BC4.sorted									1.642530451030403						
BC4_1										1.617664764742811	79.83711637850107	53.0	151.0	18.181818181818183	30508011.0
BC4_2										1.837271767234128	78.0543222042382	53.0	151.0	9.090909090909092	30508011.0
BC5	1.13258680499447	0.9	26926694.0	41.92079800067546	11287885	28.068054785934297	8103422	93.27							
BC5.sorted									2.856390901123775						
BC5_1										2.1441585539954504	89.82165346117296	54.0	151.0	18.181818181818183	28900904.0
BC5_2										2.34468790318808	88.45396068274766	54.0	151.0	9.090909090909092	28900904.0
BH1	0.377343715414565	0.93	22512603.0	69.52783292096431	15652525	51.87227975881271	12193553	95.77							
BH1.sorted									1.0297290886169765						
BH1_1										1.6322086655084365	75.62582465725283	53.0	151.0	18.181818181818183	23532009.0
BH1_2										1.8078048837522536	74.55258853874528	53.0	151.0	9.090909090909092	23532009.0
BH2	0.35301001785818	0.9	33650012.0	56.57520419309211	19037563	41.7757623914524	14947674	94.05							
BH2.sorted									2.2212255479584333						
BH2_1										1.942092797576376	82.0245274787718	54.0	151.0	18.181818181818183	35859645.0
BH2_2										2.260345450448926	80.52944592216541	54.0	151.0	9.090909090909092	35859645.0
BH3	0.309128981046731	0.91	33063305.0	68.98069022440436	22807296	51.59763713177997	17803597	95.82							
BH3.sorted									0.7652447015152799						
BH3_1										1.4390678028435342	77.71007976355652	53.0	151.0	18.181818181818183	34550689.0
BH3_2										1.627496645973577	77.66181332604155	53.0	151.0	9.090909090909092	34550689.0
BH4	0.566842875299813	0.96	28238628.0	80.6484755562487	22774023	60.60718334820828	17635557	97.05							
BH4.sorted									0.27509001994694077						
BH4_1										1.7106003362996385	76.55420332746789	52.0	151.0	27.27272727272727	29130987.0
BH4_2										1.8722019521163777	76.23923075302956	52.0	151.0	18.181818181818183	29130987.0
BH5	0.455132660707442	0.93	32129864.0	57.50384439846991	18475907	42.06914106517178	14297702	94.54							
BH5.sorted									1.8306031616572978						
BH5_1										1.7111292549447137	82.39389758628623	53.0	151.0	18.181818181818183	34044085.0
BH5_2										1.9659786335455711	80.44176534492286	53.0	151.0	9.090909090909092	34044085.0
BN1	0.349802887711947	1.03	33290136.0	85.3646016946281	28417992	64.50501545577475	22147003	96.96							
BN1.sorted									0.1923071301368614						
BN1_1										1.6709484229168219	75.0757734661352	52.0	151.0	27.27272727272727	34381827.0
BN1_2										1.8418625245103084	74.06232999507944	53.0	151.0	18.181818181818183	34381827.0
BN2	0.350678195514771	0.78	36201288.0	69.63705545504347	25209511	51.10118836863283	19375662	95.48							
BN2.sorted									1.036107723399087						
BN2_1										1.7466011510163377	79.09972134076021	53.0	151.0	18.181818181818183	37973880.0
BN2_2										1.9657089389927607	78.33328480519398	53.0	151.0	9.090909090909092	37973880.0
BN3	1.09245646692455	0.86	28146707.0	76.55595022181458	21547979	53.027458698902144	15652667	95.35							
BN3.sorted									0.5066099768740924						
BN3_1										1.951324398384639	86.31539117838328	54.0	151.0	18.181818181818183	29604417.0
