Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MH1_1	MH1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30843313.0	0.0	151.0	54.0	13.600428140228393	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MH1_2	MH1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30843313.0	0.0	151.0	54.0	16.503154045445754	151.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
MH2_1	MH2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31619574.0	0.0	151.0	54.0	19.70220522910337	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
MH2_2	MH2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31619574.0	0.0	151.0	54.0	20.2274976037878	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MH3_1	MH3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38530338.0	0.0	151.0	54.0	18.940754550459385	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
MH3_2	MH3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38530338.0	0.0	151.0	54.0	19.60920530390107	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MH4_1	MH4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33958445.0	0.0	151.0	51.0	22.06421689606453	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
MH4_2	MH4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33958445.0	0.0	151.0	51.0	24.805388582633267	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
MH5_1	MH5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24908501.0	0.0	151.0	53.0	30.881447657854444	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
MH5_2	MH5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24908501.0	0.0	151.0	53.0	34.22041577719055	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
MN1_1	MN1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46727270.0	0.0	151.0	53.0	20.009780569918142	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
MN1_2	MN1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46727270.0	0.0	151.0	53.0	21.27400221578547	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MN2_1	MN2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31319861.0	0.0	151.0	53.0	23.03188233897387	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MN2_2	MN2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31319861.0	0.0	151.0	53.0	23.208405643485985	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
MN3_1	MN3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33900220.0	0.0	151.0	53.0	23.54207889095191	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
MN3_2	MN3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33900220.0	0.0	151.0	53.0	25.371782349819856	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
MN4_1	MN4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24327529.0	0.0	151.0	52.0	29.548689924900902	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
MN4_2	MN4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24327529.0	0.0	151.0	53.0	30.35951535282736	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
MN5_1	MN5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33780120.0	0.0	151.0	53.0	18.884002799464202	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
MN5_2	MN5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33780120.0	0.0	151.0	53.0	21.37922197871703	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
OC1_1	OC1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35323004.0	0.0	151.0	53.0	16.40902130161794	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
OC1_2	OC1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35323004.0	0.0	151.0	53.0	19.891754819508503	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
OC2_1	OC2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34207834.0	0.0	151.0	53.0	18.191356819077903	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
OC2_2	OC2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34207834.0	0.0	151.0	53.0	19.414439086845054	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
OC3_1	OC3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28882094.0	0.0	151.0	52.0	31.52623451325387	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
OC3_2	OC3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28882094.0	0.0	151.0	52.0	34.497377020952754	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
OC4_1	OC4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39018456.0	0.0	151.0	54.0	12.2908807881894	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
OC4_2	OC4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39018456.0	0.0	151.0	54.0	14.056442287255793	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
OC5_1	OC5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33380306.0	0.0	151.0	52.0	24.30364444706986	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
OC5_2	OC5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33380306.0	0.0	151.0	52.0	26.1595959796388	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
OH1_1	OH1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38233587.0	0.0	151.0	52.0	22.351573942601526	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
OH1_2	OH1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38233587.0	0.0	151.0	52.0	23.88039246205739	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
OH2_1	OH2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30574040.0	0.0	151.0	53.0	22.92173570830636	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
OH2_2	OH2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30574040.0	0.0	151.0	53.0	23.06199002859294	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
OH3_1	OH3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40813596.0	0.0	151.0	52.0	19.955405706954437	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
OH3_2	OH3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40813596.0	0.0	151.0	52.0	21.929014382654273	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
OH4_1	OH4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30126591.0	0.0	151.0	52.0	23.581803231214003	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
OH4_2	OH4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30126591.0	0.0	151.0	52.0	25.446232965116465	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
OH5_1	OH5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35223386.0	0.0	151.0	53.0	16.42516138669803	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
OH5_2	OH5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35223386.0	0.0	151.0	53.0	17.576769138341636	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
