Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BC1	27418495	23075281	0	0	0	0	0	2574564	0	0	1468540	0	300110	84.15954632083198
BC2	28594862	22176612	0	0	0	0	0	4588510	0	0	1506969	0	322771	77.55453409776904
BC3	29850479	20426853	0	0	0	0	0	7208347	0	0	1896390	0	318889	68.43057024311067
BC4	28782604	16729511	0	0	0	0	0	9945144	0	0	1784600	0	323349	58.12368818332073
BC5	26926694	11287885	0	0	0	0	0	13766994	0	0	1579461	0	292354	41.92079800067546
BH1	22512603	15652525	0	0	0	0	0	5148406	0	0	1404259	0	307413	69.52783292096431
BH2	33650012	19037563	0	0	0	0	0	12006786	0	0	2150216	0	455447	56.57520419309211
BH3	33063305	22807296	0	0	0	0	0	7252970	0	0	2557997	0	445042	68.98069022440436
BH4	28238628	22774023	0	0	0	0	0	3080638	0	0	2007407	0	376560	80.6484755562487
BH5	32129864	18475907	0	0	0	0	0	11064805	0	0	2183754	0	405398	57.50384439846991
BN1	33290136	28417992	0	0	0	0	0	2951553	0	0	1545974	0	374617	85.3646016946281
BN2	36201288	25209511	0	0	0	0	0	8590922	0	0	1979268	0	421587	69.63705545504347
BN3	28146707	21547979	0	0	0	0	0	5016797	0	0	1221509	0	360422	76.55595022181458
BN5	29136902	22926575	0	0	0	0	0	4448379	0	0	1439571	0	322377	78.685698980626
MC1	26126653	16059412	0	0	0	0	0	8250192	0	0	1524908	0	292141	61.467544273658014
MC2	27838716	16943258	0	0	0	0	0	8999103	0	0	1590499	0	305856	60.862210742765576
MC3	22704139	11084547	0	0	0	0	0	9940032	0	0	1375275	0	304285	48.82170162894087
MC4	30625994	16979435	0	0	0	0	0	11307171	0	0	1940277	0	399111	55.441253596536335
MC5	33901252	20706056	0	0	0	0	0	10698054	0	0	2087565	0	409577	61.07755548379157
MH1	27788423	17666786	0	0	0	0	0	7973033	0	0	1714495	0	434109	63.57606547158146
MH2	28683565	19738174	0	0	0	0	0	6789405	0	0	1708401	0	447585	68.81353137240785
MH3	34775081	26536517	0	0	0	0	0	5409066	0	0	2185392	0	644106	76.3090012644399
MH4	30247237	24769301	0	0	0	0	0	2606693	0	0	2361142	0	510101	81.88946646597837
MH5	22665021	19437863	0	0	0	0	0	1025204	0	0	1854464	0	347490	85.76150447864134
MN1	42485031	32142102	0	0	0	0	0	7888878	0	0	1919442	0	534609	75.65512191811746
MN2	28578125	19323468	0	0	0	0	0	7347069	0	0	1569989	0	337599	67.61629043193001
MN3	30728718	23687728	0	0	0	0	0	5103754	0	0	1559939	0	377297	77.08661324562905
MN4	22293096	19911471	0	0	0	0	0	1141085	0	0	941154	0	299386	89.31675977172485
MN5	30474114	19470542	0	0	0	0	0	8986159	0	0	1636160	0	381253	63.89206918370128
OC1	31755554	16662768	0	0	0	0	0	12658216	0	0	2057195	0	377375	52.47198017707391
OC2	30853622	18594062	0	0	0	0	0	10244196	0	0	1651425	0	363939	60.26541065421752
OC3	26242611	23140479	0	0	0	0	0	1046442	0	0	1779870	0	275820	88.17902685064378
OC4	35231513	18276015	0	0	0	0	0	14580984	0	0	1917274	0	457240	51.87405661516722
OC5	30269773	23677849	0	0	0	0	0	4667369	0	0	1597864	0	326691	78.22275046463018
OH1	34231161	25077635	0	0	0	0	0	6070783	0	0	2607107	0	475636	73.25966828878518
OH2	27347068	23666420	0	0	0	0	0	1381949	0	0	1895536	0	403163	86.54097762875347
OH3	36328657	25497842	0	0	0	0	0	7355295	0	0	3048121	0	427399	70.18658025260885
OH4	27028448	15458128	0	0	0	0	0	8951271	0	0	2294610	0	324439	57.192066669902765
OH5	31544200	17140659	0	0	0	0	0	11758785	0	0	2187435	0	457321	54.338544011260396
ON1	29542495	17146939	0	0	0	0	0	10444182	0	0	1571762	0	379612	58.04160752163959
ON2	26522240	17140558	0	0	0	0	0	7728063	0	0	1324574	0	329045	64.6271129437031
ON3	29764635	16169711	0	0	0	0	0	11525311	0	0	1689423	0	380190	54.32524537928989
ON4	46401353	29976949	0	0	0	0	0	13108930	0	0	2786777	0	528697	64.6036097266388
ON5	37579394	28613733	0	0	0	0	0	6689482	0	0	1847383	0	428796	76.1420820144146
WC1	31612828	19248596	0	0	0	0	0	10405988	0	0	1564761	0	393483	60.8885608082896
WC2	20752431	14487736	0	0	0	0	0	5030452	0	0	1001805	0	232438	69.81223549183225
WC3	31982394	23692041	0	0	0	0	0	6417360	0	0	1457304	0	415689	74.07838512651679
WC4	36118843	30444730	0	0	0	0	0	3609998	0	0	1588434	0	475681	84.2904353276211
WC5	48957437	37131852	0	0	0	0	0	8990836	0	0	2183049	0	651700	75.84517138836333
WH1	26084286	19441038	0	0	0	0	0	4555756	0	0	1729334	0	358158	74.53160880079294
WH2	34712169	26274455	0	0	0	0	0	5390010	0	0	2553712	0	493992	75.69234581682292
WH3	24999975	18174475	0	0	0	0	0	4714493	0	0	1791470	0	319537	72.6979726979727
WH4	26700239	15864073	0	0	0	0	0	8743410	0	0	1727463	0	365293	59.4154718989594
WH5	37657768	20481246	0	0	0	0	0	14143035	0	0	2495263	0	538224	54.38783838702284
WN1	41276701	28938323	0	0	0	0	0	9970469	0	0	1853323	0	514586	70.10812952323879
WN2	32369984	25169788	0	0	0	0	0	5560615	0	0	1196356	0	443225	77.75656608294894
WN3	38917634	30264890	0	0	0	0	0	6498441	0	0	1622749	0	531554	77.76652095551339
WN4	36417561	28447476	0	0	0	0	0	5919933	0	0	1559849	0	490303	78.11472053276715
WN5	51959954	38375987	0	0	0	0	0	10660055	0	0	2180335	0	743577	73.85685329898483
