Sample	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity
BC1	23075281.0	2574564.0	1468540.0	300110.0
BC2	22176612.0	4588510.0	1506969.0	322771.0
BC3	20426853.0	7208347.0	1896390.0	318889.0
BC4	16729511.0	9945144.0	1784600.0	323349.0
BC5	11287885.0	13766994.0	1579461.0	292354.0
BH1	15652525.0	5148406.0	1404259.0	307413.0
BH2	19037563.0	12006786.0	2150216.0	455447.0
BH3	22807296.0	7252970.0	2557997.0	445042.0
BH4	22774023.0	3080638.0	2007407.0	376560.0
BH5	18475907.0	11064805.0	2183754.0	405398.0
BN1	28417992.0	2951553.0	1545974.0	374617.0
BN2	25209511.0	8590922.0	1979268.0	421587.0
BN3	21547979.0	5016797.0	1221509.0	360422.0
BN5	22926575.0	4448379.0	1439571.0	322377.0
MC1	16059412.0	8250192.0	1524908.0	292141.0
MC2	16943258.0	8999103.0	1590499.0	305856.0
MC3	11084547.0	9940032.0	1375275.0	304285.0
MC4	16979435.0	11307171.0	1940277.0	399111.0
MC5	20706056.0	10698054.0	2087565.0	409577.0
MH1	17666786.0	7973033.0	1714495.0	434109.0
MH2	19738174.0	6789405.0	1708401.0	447585.0
MH3	26536517.0	5409066.0	2185392.0	644106.0
MH4	24769301.0	2606693.0	2361142.0	510101.0
MH5	19437863.0	1025204.0	1854464.0	347490.0
MN1	32142102.0	7888878.0	1919442.0	534609.0
MN2	19323468.0	7347069.0	1569989.0	337599.0
MN3	23687728.0	5103754.0	1559939.0	377297.0
MN4	19911471.0	1141085.0	941154.0	299386.0
MN5	19470542.0	8986159.0	1636160.0	381253.0
OC1	16662768.0	12658216.0	2057195.0	377375.0
OC2	18594062.0	10244196.0	1651425.0	363939.0
OC3	23140479.0	1046442.0	1779870.0	275820.0
OC4	18276015.0	14580984.0	1917274.0	457240.0
OC5	23677849.0	4667369.0	1597864.0	326691.0
OH1	25077635.0	6070783.0	2607107.0	475636.0
OH2	23666420.0	1381949.0	1895536.0	403163.0
OH3	25497842.0	7355295.0	3048121.0	427399.0
OH4	15458128.0	8951271.0	2294610.0	324439.0
OH5	17140659.0	11758785.0	2187435.0	457321.0
ON1	17146939.0	10444182.0	1571762.0	379612.0
ON2	17140558.0	7728063.0	1324574.0	329045.0
ON3	16169711.0	11525311.0	1689423.0	380190.0
ON4	29976949.0	13108930.0	2786777.0	528697.0
ON5	28613733.0	6689482.0	1847383.0	428796.0
WC1	19248596.0	10405988.0	1564761.0	393483.0
WC2	14487736.0	5030452.0	1001805.0	232438.0
WC3	23692041.0	6417360.0	1457304.0	415689.0
WC4	30444730.0	3609998.0	1588434.0	475681.0
WC5	37131852.0	8990836.0	2183049.0	651700.0
WH1	19441038.0	4555756.0	1729334.0	358158.0
WH2	26274455.0	5390010.0	2553712.0	493992.0
WH3	18174475.0	4714493.0	1791470.0	319537.0
WH4	15864073.0	8743410.0	1727463.0	365293.0
WH5	20481246.0	14143035.0	2495263.0	538224.0
WN1	28938323.0	9970469.0	1853323.0	514586.0
WN2	25169788.0	5560615.0	1196356.0	443225.0
WN3	30264890.0	6498441.0	1622749.0	531554.0
WN4	28447476.0	5919933.0	1559849.0	490303.0
WN5	38375987.0	10660055.0	2180335.0	743577.0
