Sample	Exonic	Intronic	Intergenic
BC1	918768.0	159110.0	146478.0
BC2	925036.0	153480.0	150634.0
BC3	1249494.0	298254.0	250508.0
BC4	873774.0	179818.0	157566.0
BC5	331154.0	33648.0	55592.0
BH1	878498.0	150768.0	181946.0
BH2	1075994.0	235350.0	234292.0
BH3	970004.0	244048.0	281774.0
BH4	912532.0	157932.0	203580.0
BH5	882494.0	156268.0	203792.0
BN1	1236590.0	224242.0	220134.0
BN2	1278340.0	252646.0	235078.0
BN3	460072.0	44664.0	69714.0
BN5	1060526.0	185284.0	176346.0
MC1	829686.0	169502.0	157392.0
MC2	913196.0	168098.0	159494.0
MC3	792024.0	136134.0	129962.0
MC4	371642.0	53842.0	63594.0
MC5	920352.0	194030.0	180532.0
MH1	440720.0	52652.0	87440.0
MH2	823122.0	136078.0	176376.0
MH3	792130.0	156434.0	180306.0
MH4	896360.0	177080.0	214834.0
MH5	1319764.0	317338.0	354826.0
MN1	1308656.0	217714.0	230532.0
MN2	1089966.0	209062.0	218546.0
MN3	1050616.0	217072.0	214286.0
MN4	1247154.0	216344.0	217554.0
MN5	961876.0	175296.0	180902.0
OC1	835512.0	159566.0	156822.0
OC2	790236.0	144328.0	142778.0
OC3	1563178.0	454278.0	347898.0
OC4	522228.0	73198.0	85514.0
OC5	1039190.0	219374.0	213060.0
OH1	1069166.0	258018.0	308440.0
OH2	920332.0	165172.0	233406.0
OH3	933874.0	170402.0	243764.0
OH4	1022132.0	263248.0	312474.0
OH5	707468.0	139820.0	181138.0
ON1	942396.0	150614.0	160682.0
ON2	849372.0	136438.0	147278.0
ON3	987892.0	164998.0	176302.0
ON4	1074344.0	246614.0	248892.0
ON5	867184.0	147186.0	157676.0
WC1	754086.0	116412.0	126240.0
WC2	945840.0	168252.0	165582.0
WC3	915546.0	156698.0	153458.0
WC4	1016298.0	171334.0	174574.0
WC5	987726.0	153510.0	167870.0
WH1	1113882.0	209890.0	266946.0
WH2	936546.0	183688.0	259658.0
WH3	1146092.0	185424.0	279222.0
WH4	807048.0	116378.0	191182.0
WH5	1015542.0	193788.0	243662.0
WN1	901746.0	156928.0	169216.0
WN2	684436.0	94366.0	105266.0
WN3	1013628.0	170630.0	186404.0
WN4	1122072.0	191844.0	208212.0
WN5	1140236.0	185104.0	203650.0
