Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_5kb	TSS_up_10kb	TES_down_1kb	TES_down_5kb	TES_down_10kb	Other_intergenic
SRR7443455	55409837.0	1564844.0	9957374.0	2180397.0	322394.0	562984.0	889190.0	1947675.0	2990528.0	3541803.0	11198772.0
SRR7443456	69606455.0	3427736.0	5264690.0	2225248.0	372546.0	624162.0	851108.0	902465.0	1561084.0	1897048.0	7457221.0
SRR7443457	56605994.0	1611117.0	9522377.0	1919435.0	224684.0	397452.0	551029.0	1415494.0	2121325.0	2446990.0	5983940.0
SRR7443458	66969175.0	2696441.0	7739668.0	2439388.0	334167.0	547856.0	726680.0	1192850.0	1898343.0	2200026.0	6102319.0
SRR7443459	61521074.0	2105245.0	9045064.0	2211299.0	254815.0	450393.0	603913.0	1436664.0	2173051.0	2501150.0	5904691.0
SRR7443460	51172179.0	1553346.0	7269571.0	2650804.0	249475.0	443468.0	749599.0	2095056.0	3484889.0	4090122.0	11735904.0
SRR7443461	56962461.0	1963759.0	7911362.0	2335196.0	278020.0	468594.0	696268.0	1615009.0	2538065.0	2977832.0	9115155.0
SRR7443462	60782046.0	2149421.0	8467128.0	2353171.0	272173.0	470478.0	653595.0	1511948.0	2325065.0	2701376.0	7026243.0
SRR7443463	63062111.0	1857608.0	10368119.0	2216056.0	315628.0	535296.0	777566.0	1954638.0	2962801.0	3422459.0	9727891.0
SRR7443464	53082834.0	1831837.0	6342276.0	1802997.0	251935.0	442977.0	656454.0	1039301.0	1679779.0	1991404.0	6932211.0
SRR7443465	74194195.0	3204626.0	6391067.0	1975583.0	385578.0	594540.0	756538.0	1015084.0	1599704.0	1858454.0	6008428.0
SRR7443466	52504645.0	1872739.0	6212411.0	1587152.0	271233.0	437046.0	576876.0	1111529.0	1680120.0	1928904.0	5641521.0
SRR7443467	56938617.0	1707719.0	8890695.0	2134931.0	268001.0	502815.0	795458.0	1709077.0	2712744.0	3195221.0	10148935.0
SRR7443468	60288031.0	1990252.0	8493414.0	2137509.0	306361.0	523236.0	771424.0	1584561.0	2497107.0	2938025.0	8907462.0
SRR7443469	53052630.0	1487315.0	7507418.0	1993483.0	233992.0	441782.0	696360.0	1535174.0	2593056.0	3059056.0	10413052.0
SRR7443470	49367400.0	1583934.0	6764419.0	1937348.0	241767.0	449952.0	678573.0	1376230.0	2244243.0	2631266.0	8176884.0
SRR7443471	55281899.0	1736785.0	6638544.0	1777432.0	233580.0	430716.0	634997.0	1240875.0	2017121.0	2378327.0	8106866.0
SRR7443472	59305467.0	1938077.0	8099790.0	1901460.0	277540.0	467490.0	622772.0	1349009.0	2048407.0	2350066.0	6164482.0
