Sample	Unique Reads	Duplicate Reads
SRR7443455_1	12593701.0	23984193.0
SRR7443455_2	14218586.0	22359308.0
SRR7443456_1	15608134.0	20067529.0
SRR7443456_2	16951388.0	18724275.0
SRR7443457_1	13301594.0	18451272.0
SRR7443457_2	14356969.0	17395897.0
SRR7443458_1	16143649.0	20044405.0
SRR7443458_2	18358124.0	17829930.0
SRR7443459_1	15359804.0	18492862.0
SRR7443459_2	16825197.0	17027469.0
SRR7443460_1	12464595.0	20604439.0
SRR7443460_2	13843934.0	19225100.0
SRR7443461_1	14527138.0	18450116.0
SRR7443461_2	15115982.0	17861272.0
SRR7443462_1	15544494.0	18088149.0
SRR7443462_2	16318771.0	17313872.0
SRR7443463_1	15056358.0	23454937.0
SRR7443463_2	16759300.0	21751995.0
SRR7443464_1	12981782.0	16724118.0
SRR7443464_2	14001664.0	15704236.0
SRR7443465_1	16730701.0	19385975.0
SRR7443465_2	17334796.0	18781880.0
SRR7443466_1	13082321.0	14941839.0
SRR7443466_2	13597554.0	14426606.0
SRR7443467_1	11897754.0	22481238.0
SRR7443467_2	12530112.0	21848880.0
SRR7443468_1	14297054.0	20919231.0
SRR7443468_2	15557725.0	19658560.0
SRR7443469_1	12097899.0	20489075.0
SRR7443469_2	12721695.0	19865279.0
SRR7443470_1	12830947.0	16574959.0
SRR7443470_2	13546644.0	15859262.0
SRR7443471_1	12389633.0	18725938.0
SRR7443471_2	12932848.0	18182723.0
SRR7443472_1	14603541.0	17402798.0
SRR7443472_2	15111552.0	16894787.0
