Sample	PE mapped uniquely	PE multimapped	PE neither mate aligned
SRR7443455	26062085.0	4086313.0	6364439.0
SRR7443456	28422328.0	2265185.0	4935543.0
SRR7443457	24737527.0	2493740.0	4479551.0
SRR7443458	27892457.0	2267408.0	5897203.0
SRR7443459	26207000.0	2349071.0	5229424.0
SRR7443460	22948220.0	5203190.0	4858985.0
SRR7443461	24615785.0	3699321.0	4610559.0
SRR7443462	25912569.0	2854326.0	4806821.0
SRR7443463	28856819.0	3502007.0	6086879.0
SRR7443464	23013252.0	2094133.0	4548589.0
SRR7443465	29309484.0	2174252.0	4577558.0
SRR7443466	22227929.0	1957265.0	3799563.0
SRR7443467	25449970.0	3679996.0	5188710.0
SRR7443468	26407916.0	3251023.0	5505759.0
SRR7443469	24061963.0	3592445.0	4878159.0
SRR7443470	22281063.0	2682910.0	4391667.0
SRR7443471	23838060.0	2836414.0	4388704.0
SRR7443472	25386353.0	2332186.0	4242442.0
