Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR7443455	30148398	23543548	0	0	0	0	0	4086313	0	0	2159481	0	359056	78.09220244472029
SRR7443456	30687513	25777462	0	0	0	0	0	2265185	0	0	2272335	0	372531	83.99984058662557
SRR7443457	27231267	23082207	0	0	0	0	0	2493740	0	0	1304377	0	350943	84.76361749895808
SRR7443458	30159865	25827194	0	0	0	0	0	2267408	0	0	1651504	0	413759	85.63431567084268
SRR7443459	28556071	24499302	0	0	0	0	0	2349071	0	0	1339094	0	368604	85.79367238581246
SRR7443460	28151410	20739083	0	0	0	0	0	5203190	0	0	1805770	0	403367	73.66978421329517
SRR7443461	28315106	22696447	0	0	0	0	0	3699321	0	0	1538525	0	380813	80.15667326126203
SRR7443462	28766895	24124992	0	0	0	0	0	2854326	0	0	1427203	0	360374	83.86373294719503
SRR7443463	32358826	26435936	0	0	0	0	0	3502007	0	0	2021574	0	399309	81.6962148132321
SRR7443464	25107385	20767768	0	0	0	0	0	2094133	0	0	1909387	0	336097	82.71577466151892
SRR7443465	31483736	27548785	0	0	0	0	0	2174252	0	0	1411354	0	349345	87.50163894145219
SRR7443466	24185194	20613389	0	0	0	0	0	1957265	0	0	1323648	0	290892	85.23143953279846
SRR7443467	29129966	22992466	0	0	0	0	0	3679996	0	0	2114530	0	342974	78.93063108964837
SRR7443468	29658939	24173089	0	0	0	0	0	3251023	0	0	1868896	0	365931	81.50355277375229
SRR7443469	27654408	21458781	0	0	0	0	0	3592445	0	0	2203879	0	399303	77.59624071504261
SRR7443470	24963973	19866282	0	0	0	0	0	2682910	0	0	2065506	0	349275	79.57980887096777
SRR7443471	26674474	21579310	0	0	0	0	0	2836414	0	0	1859120	0	399630	80.89872737509276
SRR7443472	27718539	23634498	0	0	0	0	0	2332186	0	0	1434657	0	317198	85.26603079621188
