Sample	Exonic	Intronic	Intergenic
BR701	1743978.0	283798.0	302410.0
BR702	1701206.0	251940.0	272446.0
BR703	1918086.0	338404.0	342270.0
BR704	1830724.0	278030.0	304898.0
BR705	1753176.0	274122.0	312210.0
BR707	1722016.0	280164.0	320968.0
BR708	1751908.0	301146.0	319966.0
BR709	1711646.0	281458.0	324450.0
BR710	1675814.0	309666.0	338238.0
BR711	1573600.0	260238.0	299652.0
BR712	1439780.0	209574.0	236060.0
BR713	1548404.0	216748.0	252804.0
BR714	1705528.0	296282.0	321566.0
BR715	1658790.0	308398.0	328104.0
BR716	1875836.0	302492.0	331750.0
BR717	1569156.0	225332.0	267958.0
BR718	1540474.0	238078.0	270224.0
BR719	1740202.0	290696.0	324160.0
BR720	1774618.0	318774.0	363934.0
BR721	1644806.0	274796.0	281982.0
BR722	1786578.0	288984.0	301328.0
BR723	1875440.0	329136.0	322834.0
BR724	1874678.0	316622.0	313986.0
BR725	1744114.0	284442.0	299484.0
BR726	1563804.0	232434.0	258214.0
BR727	1636876.0	270282.0	294238.0
BR729	1698806.0	262488.0	290472.0
BR730	1658762.0	302916.0	305480.0
BR731	1532354.0	215164.0	244710.0
BR732	1510630.0	224398.0	250892.0
BR733	1504258.0	206354.0	243490.0
BR734	950148.0	109486.0	146428.0
BR735	1577556.0	256298.0	296280.0
BR736	1652966.0	228260.0	279128.0
BR737	1585696.0	233624.0	277356.0
BR738	1520404.0	223952.0	272850.0
BR739	1599424.0	218840.0	269352.0
BR740	1510100.0	217130.0	242516.0
BR741	1412430.0	237172.0	281266.0
BR742	1530258.0	228104.0	285272.0
BR743	1553108.0	248924.0	293730.0
BR744	1635092.0	261610.0	288648.0
BR745	1356496.0	171256.0	224728.0
BR746	1560684.0	233876.0	277600.0
BR747	1096984.0	150078.0	184968.0
BR748	1143330.0	141772.0	178214.0
BR749	1329850.0	216118.0	258802.0
BR750	1433052.0	233108.0	261228.0
BR751	1654052.0	238794.0	295458.0
BR752	1383550.0	198322.0	230230.0
BR753	1616266.0	250278.0	293630.0
BR754	1473464.0	255180.0	287404.0
BR755	1537054.0	229030.0	272244.0
BR756	1521248.0	238326.0	275260.0
BR757	1515100.0	213640.0	240278.0
BR758	1581918.0	237244.0	258230.0
BR759	1506048.0	242602.0	266248.0
BR760	1344760.0	235742.0	255554.0
BR761	1709000.0	253654.0	293908.0
