Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
BR701_1	63.0	59.0	64.0	77.0	85.5	103.5	107.5	107.0	97.5	84.5	95.5	97.0	89.0	94.0	113.0	145.5	175.0	204.5	264.0	442.0	662.0	876.5	1369.5	2125.0	3214.0	5046.0	8381.0	12845.5	18696.5	27321.0	38508.5	53734.5	74354.0	100226.0	134167.0	176927.0	233212.5	304593.5	385812.0	482257.0	582663.5	681003.5	781169.5	863514.5	921522.0	965461.5	979318.5	974422.0	958599.0	923601.0	896809.0	864355.0	799585.0	735512.0	700933.5	675118.0	649384.0	631297.5	636407.0	651683.5	632150.0	626651.0	659634.5	675023.0	690628.0	714738.5	709344.5	692155.0	682172.0	663083.5	616490.5	562325.0	508025.5	449460.5	404847.5	334116.0	257847.0	202538.0	153548.0	112582.0	74827.0	48227.0	29490.0	16508.0	8720.0	3940.0	1391.5	413.5	124.5	59.0	35.0	23.5	22.0	13.5	8.5	12.5	13.5	15.0	35.0	31.0	5.5
BR701_2	987.0	1019.0	1139.0	1273.5	1529.0	1915.5	2219.5	2462.5	2679.0	2840.0	3001.5	3188.5	3367.5	3508.0	3643.5	3848.0	4018.5	4118.0	4207.0	4444.5	4776.0	5112.0	5635.5	6347.5	7358.0	9062.0	11469.0	14743.5	19495.5	26010.5	34811.0	46669.5	63661.0	86353.0	114965.5	153252.5	204741.0	268411.5	345912.0	434611.5	527623.5	623416.5	714521.5	789951.0	846474.0	886003.5	901241.5	895769.5	883593.5	867513.5	843425.0	806410.5	765201.5	724431.5	695833.0	686486.0	676303.0	655644.5	655760.0	664945.0	662738.5	682631.5	721003.5	742279.5	755267.0	771797.5	773007.0	762431.5	735095.5	702299.0	669498.5	619699.0	551030.0	482328.5	411217.5	333854.5	269512.0	213321.5	161786.5	115170.0	78570.5	53539.0	34074.5	20457.0	12343.0	7595.0	5304.5	4564.5	4395.5	4384.0	4466.0	4642.5	4745.0	4892.0	5038.5	5254.5	5526.5	5762.0	6109.0	6897.0	15422.5
BR702_1	30.0	26.5	31.5	43.5	43.0	33.0	34.5	52.0	54.5	47.5	43.5	38.5	36.0	38.0	63.0	80.0	86.5	105.5	152.0	252.5	396.0	557.0	875.5	1440.0	2134.0	3193.0	5278.0	8361.0	12654.0	18859.5	26484.5	37041.0	52277.0	71917.0	98544.5	132820.0	178949.5	237641.5	305719.0	387678.0	476141.5	563778.5	650779.0	727425.5	783676.5	822154.0	836251.5	834518.5	819761.5	791564.5	772174.0	745213.5	688620.0	632499.0	603405.0	579378.0	556805.0	542095.0	543587.5	550765.0	532492.0	532445.5	563667.5	580048.5	595581.5	611655.5	597963.5	579715.0	571252.5	555232.5	514658.0	466193.0	419871.5	369437.0	331511.5	273622.5	208643.0	162124.0	123117.0	88346.0	56433.5	35318.0	20868.0	11175.5	5614.0	2396.0	738.0	203.5	75.5	45.0	30.5	21.5	12.5	13.5	9.5	8.0	10.5	10.0	17.5	15.0	1.5
BR702_2	686.0	679.5	754.0	880.0	1027.5	1229.0	1426.5	1603.0	1761.5	1958.0	2139.5	2202.0	2317.5	2500.5	2559.0	2550.5	2607.0	2674.0	2751.0	2890.5	3077.0	3357.5	3657.0	4086.0	4807.5	5947.5	7621.5	9872.5	13190.0	17787.5	24178.0	33294.0	46302.5	63926.0	86885.0	118216.5	160998.0	215170.5	281302.0	359257.5	441134.0	523453.0	603012.0	668443.5	717351.0	753707.5	768306.5	761190.0	751681.5	740691.5	720222.0	689210.0	653845.5	619596.5	596711.5	586656.5	574323.0	557602.5	559694.0	569678.0	568492.0	585454.0	618502.5	637825.5	649395.0	659779.5	655365.5	645231.5	622316.0	593167.5	564177.5	519776.0	457658.0	396044.0	335974.5	271795.5	218137.5	170158.0	127487.5	89511.5	59670.5	39204.0	23261.5	12705.5	6874.5	3569.5	2090.5	1663.0	1508.5	1357.0	1298.0	1264.0	1203.5	1137.0	1122.5	1094.5	1101.5	1178.5	1291.5	1579.0	4727.5
BR703_1	23.0	25.5	28.5	36.0	50.0	54.5	54.0	67.0	66.5	54.0	60.5	67.5	55.5	55.0	71.0	100.0	140.5	150.5	215.0	356.5	542.5	835.0	1362.5	2173.0	3274.0	4994.5	8292.0	12746.0	18647.5	27090.0	37826.0	52276.0	71703.5	95818.0	127411.5	168003.0	223252.5	293077.5	372282.0	467963.5	571483.0	670565.0	767149.0	851400.0	914064.5	957220.0	970704.5	968162.5	952754.0	919096.5	896276.0	864951.5	796589.5	727595.5	691598.5	666460.0	641170.5	624327.0	627790.5	640834.5	616296.0	603791.5	631479.5	643890.0	662354.0	685017.5	667666.0	637632.0	622524.5	601131.0	551471.5	498182.5	445489.0	389742.5	348567.0	283551.5	213815.5	165006.0	123888.0	88465.0	55873.0	34468.0	20202.5	10827.5	5487.5	2366.5	740.5	202.0	73.5	48.0	37.5	29.0	19.5	11.0	9.0	7.0	8.0	14.0	22.5	19.0	5.5
BR703_2	682.0	694.5	740.5	859.0	1042.0	1227.0	1469.0	1732.0	1928.0	2079.0	2197.0	2306.5	2475.5	2595.5	2690.5	2909.5	3069.5	3127.5	3210.0	3370.0	3708.5	4113.0	4700.0	5594.0	6711.5	8443.0	10951.0	14478.0	19437.5	26033.0	34878.5	46708.0	63485.5	85290.5	112843.0	149934.0	199781.0	261822.0	337854.0	427986.5	522510.5	616671.5	707682.0	783409.0	837927.0	877866.0	895807.5	889395.5	875987.0	862225.5	841567.0	804761.5	761773.5	718543.5	689420.0	681566.5	669891.5	648065.0	646927.5	655442.0	648830.0	662385.5	696562.5	712785.0	720464.0	731520.5	724207.0	706225.5	676494.0	642883.5	607813.5	556132.0	489012.5	423433.0	356014.0	283799.5	226021.0	175429.0	130665.0	90969.5	60182.0	39469.5	23518.5	13401.0	7884.5	5016.0	3763.0	3463.0	3383.0	3350.0	3411.0	3460.5	3465.0	3330.5	3219.0	3123.0	2949.5	2806.0	2773.0	3011.0	7318.0
BR704_1	57.0	51.5	61.0	83.5	109.0	117.5	122.0	140.0	138.0	130.5	128.5	118.0	116.0	125.5	144.0	182.5	227.5	253.5	326.5	451.0	625.5	946.5	1460.0	2234.0	3464.5	5343.5	8772.5	13301.5	19110.5	27964.5	38986.5	54194.5	75713.0	102675.5	138386.0	185228.0	248141.0	327671.0	420564.0	534027.5	653238.5	769766.5	888056.0	989135.0	1065167.0	1118550.5	1135905.5	1135989.5	1123376.5	1086963.5	1059972.0	1027770.5	951119.5	873764.5	839063.5	811940.5	783764.0	768602.0	779964.0	806958.5	787830.5	786775.5	834586.0	854064.0	880680.5	911991.5	898144.0	875650.0	865467.0	842201.0	778714.5	709064.0	641305.0	569347.5	517926.0	428192.5	328567.5	257256.0	196387.0	146080.5	98259.0	64322.0	40081.5	22511.5	12158.5	5916.5	2233.0	662.5	184.0	94.5	49.5	24.5	18.0	19.0	15.5	8.5	9.5	9.0	17.5	17.0	4.0
BR704_2	1428.0	1546.0	1770.5	2043.0	2432.5	2822.0	3270.5	3781.5	4258.0	4564.5	4827.5	5263.5	5598.5	5819.5	6007.0	6155.0	6417.0	6574.0	6698.5	6955.5	7271.5	7792.5	8404.0	9147.5	10248.0	11930.0	14350.5	17661.0	22381.0	28607.5	37221.5	49721.5	67494.0	90992.5	122160.0	163929.5	221126.5	293506.5	382403.0	486524.5	595439.5	707795.5	816067.0	904760.5	973244.5	1024348.5	1047163.5	1041628.5	1029333.5	1016961.5	994619.5	953533.0	906721.0	861890.0	830528.5	821857.5	811455.0	792418.5	800892.0	819451.0	822151.0	851040.0	902965.5	930091.0	947765.0	970688.5	971201.5	957764.5	926314.0	885552.0	844373.5	784217.0	694742.5	606921.5	519135.0	419869.5	339339.0	269127.0	203633.0	145690.0	100652.0	69141.5	44141.5	27030.0	16033.0	9154.5	5738.0	4582.5	4239.0	4144.5	4043.0	3987.5	4047.0	4173.0	4260.0	4209.0	4219.5	4363.0	4671.5	5574.5	14706.5
BR705_1	20.0	22.0	36.0	39.0	40.0	61.5	65.0	56.0	58.5	60.5	58.5	65.5	74.0	72.0	69.5	73.5	105.5	153.5	213.0	299.5	432.5	655.0	1014.0	1543.0	2344.5	3555.5	5836.5	9248.0	13748.5	20199.5	28315.0	39437.5	54348.5	72717.5	97989.5	131895.5	175848.5	231981.5	298601.0	375589.0	458465.0	543765.0	624862.5	690367.0	740819.0	777434.5	788734.0	788523.5	777062.0	745242.5	721223.0	707102.0	661621.5	597546.0	565600.0	546145.0	529599.0	522143.5	526379.0	536118.0	517214.5	513886.5	553419.5	571052.0	579935.5	592008.0	582927.5	580473.5	570905.0	546187.0	512381.5	470283.0	420615.0	377344.5	346453.0	290839.5	227904.0	175033.5	133623.5	103506.0	74115.5	50730.0	33254.5	20754.5	12251.0	6472.5	2939.0	1034.0	281.0	107.5	45.5	27.0	17.0	10.0	9.0	7.5	8.5	12.5	25.5	21.0	4.0
