Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BR701	27213756	24296198	0	0	0	0	0	1339436	0	0	1247414	0	330708	89.27910575813203
BR702	23192511	20838285	0	0	0	0	0	1153214	0	0	924388	0	276624	89.84919744136373
BR703	26359826	23526220	0	0	0	0	0	1308868	0	0	1206640	0	318098	89.25028564300843
BR704	32571622	29329520	0	0	0	0	0	1559152	0	0	1295317	0	387633	90.04623718155639
BR705	21745776	19528849	0	0	0	0	0	1067920	0	0	880649	0	268358	89.80525229359486
BR707	28855943	25831297	0	0	0	0	0	1433977	0	0	1238449	0	352220	89.51811763698036
BR708	22369256	20054096	0	0	0	0	0	1055206	0	0	990620	0	269334	89.65025926655764
BR709	33841916	30075493	0	0	0	0	0	1929595	0	0	1413031	0	423797	88.8705385357023
BR710	28318104	25215500	0	0	0	0	0	1452200	0	0	1298056	0	352348	89.04374388906828
BR711	28268809	23414331	0	0	0	0	0	3203174	0	0	1280035	0	371269	82.82744066083576
BR712	24814631	15042536	0	0	0	0	0	8259289	0	0	1185348	0	327458	60.61962396297571
BR713	27383539	24596916	0	0	0	0	0	1399759	0	0	1063420	0	323444	89.82372950406446
BR714	26868816	24083845	0	0	0	0	0	1384746	0	0	1083312	0	316913	89.63493218309284
BR715	25171966	22425266	0	0	0	0	0	1322169	0	0	1117438	0	307093	89.08825794536668
BR716	27074193	24221935	0	0	0	0	0	1405111	0	0	1122381	0	324766	89.46503040736985
BR717	26735168	24059225	0	0	0	0	0	1344888	0	0	996656	0	334399	89.9909250617015
BR718	31965292	28591393	0	0	0	0	0	1623007	0	0	1340298	0	410594	89.44511753560705
BR719	24023076	21492158	0	0	0	0	0	1210905	0	0	1015507	0	304506	89.46463808381574
BR720	30661402	27296439	0	0	0	0	0	1621140	0	0	1353865	0	389958	89.02541051449637
BR721	26087559	23226546	0	0	0	0	0	1492515	0	0	1052812	0	315686	89.03303678201551
BR722	26413742	23658320	0	0	0	0	0	1383814	0	0	1060562	0	311046	89.56822550928226
BR723	28593000	25511794	0	0	0	0	0	1563707	0	0	1181198	0	336301	89.22391494421711
BR724	26166346	22965672	0	0	0	0	0	1766346	0	0	1128036	0	306292	87.7679749400241
BR725	23773981	21329827	0	0	0	0	0	1222333	0	0	942855	0	278966	89.71920605135504
BR726	20811374	18619215	0	0	0	0	0	1120683	0	0	819264	0	252212	89.46653402125203
BR727	25914341	23191173	0	0	0	0	0	1359013	0	0	1051268	0	312887	89.49165637667575
BR729	24183681	21786604	0	0	0	0	0	1183777	0	0	924387	0	288913	90.08803912026461
BR730	24214271	21607872	0	0	0	0	0	1231047	0	0	1083526	0	291826	89.23610378359109
BR731	18775965	16875246	0	0	0	0	0	988631	0	0	678277	0	233811	89.87685053737584
BR732	21770832	19611117	0	0	0	0	0	1100405	0	0	792243	0	267067	90.07977738287632
BR733	19135461	17306438	0	0	0	0	0	863066	0	0	744797	0	221160	90.44170924337804
BR734	25565487	22790464	0	0	0	0	0	1316731	0	0	1156361	0	301931	89.1454326686599
BR735	22301711	20024215	0	0	0	0	0	990675	0	0	1035992	0	250829	89.7877969990733
BR736	20325993	18375760	0	0	0	0	0	927591	0	0	795273	0	227369	90.40522645068312
BR737	23958090	21486431	0	0	0	0	0	1171022	0	0	1020744	0	279893	89.68340548015306
BR738	26210229	23355876	0	0	0	0	0	1474591	0	0	1079641	0	300121	89.10977466087763
BR739	18548510	16751723	0	0	0	0	0	856559	0	0	730430	0	209798	90.31303862143105
BR740	18646190	16867337	0	0	0	0	0	855865	0	0	713263	0	209725	90.45996527977029
BR741	18823816	16392064	0	0	0	0	0	1428997	0	0	775348	0	227407	87.08151418394655
BR742	24235983	20492925	0	0	0	0	0	2426895	0	0	1014381	0	301782	84.55578220202581
BR743	23012819	20075128	0	0	0	0	0	1640069	0	0	1014699	0	282923	87.23454523324588
BR744	23014390	20677321	0	0	0	0	0	1077503	0	0	975751	0	283815	89.84518381760282
BR745	20382576	18023010	0	0	0	0	0	1321445	0	0	795155	0	242966	88.42361240306427
BR746	18840512	16881849	0	0	0	0	0	917398	0	0	824027	0	217238	89.60398209984952
BR747	17146364	15060816	0	0	0	0	0	915236	0	0	968994	0	201318	87.83679152034799
BR748	27174665	24378845	0	0	0	0	0	1378187	0	0	1102132	0	315501	89.71166709874804
BR749	22959510	20347792	0	0	0	0	0	1215563	0	0	1127704	0	268451	88.62467883678701
BR750	19326666	17186817	0	0	0	0	0	1050809	0	0	856760	0	232280	88.92799720344937
BR751	17870743	15917888	0	0	0	0	0	987778	0	0	755231	0	209846	89.07233459739194
BR752	16804982	13851769	0	0	0	0	0	2074483	0	0	684654	0	194076	82.42656255151002
BR753	21537087	18963140	0	0	0	0	0	1443636	0	0	870366	0	259945	88.04876908376698
BR754	23640668	20944987	0	0	0	0	0	1312643	0	0	1091375	0	291663	88.59727229365937
BR755	19176959	17168549	0	0	0	0	0	973002	0	0	800520	0	234888	89.52696306020157
BR756	23684476	21275184	0	0	0	0	0	1107989	0	0	1013361	0	287942	89.82754779966422
BR757	20612254	18641259	0	0	0	0	0	925837	0	0	790194	0	254964	90.43775125224055
BR758	21068534	18997990	0	0	0	0	0	949267	0	0	862269	0	259008	90.17233947079563
BR759	18895039	16856270	0	0	0	0	0	888890	0	0	915226	0	234653	89.2100302095169
BR760	19539559	17475974	0	0	0	0	0	919535	0	0	903836	0	240214	89.4389376955744
BR761	19185985	17233860	0	0	0	0	0	851620	0	0	866136	0	234369	89.82525525793959
