Sample	Unique Reads	Duplicate Reads
BR701_1	7960055.0	20510446.0
BR701_2	8705958.0	19764543.0
BR702_1	7196222.0	16719062.0
BR702_2	7562136.0	16353148.0
BR703_1	8047221.0	19274693.0
BR703_2	8835369.0	18486545.0
BR704_1	8614779.0	25622999.0
BR704_2	9800896.0	24436882.0
BR705_1	7365787.0	15918019.0
BR705_2	7990722.0	15293084.0
BR707_1	8380161.0	22203890.0
BR707_2	8985437.0	21598614.0
BR708_1	7379826.0	16516104.0
BR708_2	8134765.0	15761165.0
BR709_1	8839876.0	27320800.0
BR709_2	10025997.0	26134679.0
BR710_1	8330879.0	22073317.0
BR710_2	9314162.0	21090034.0
BR711_1	7737700.0	22345683.0
BR711_2	8174896.0	21908487.0
BR712_1	5654350.0	21415385.0
BR712_2	6005150.0	21064585.0
BR713_1	7315945.0	21447080.0
BR713_2	8089351.0	20673674.0
BR714_1	8260117.0	19968210.0
BR714_2	9061916.0	19166411.0
BR715_1	8068146.0	18230236.0
BR715_2	8531595.0	17766787.0
BR716_1	8068448.0	20212655.0
BR716_2	8734563.0	19546540.0
BR717_1	7520248.0	21395398.0
BR717_2	8509501.0	20406145.0
BR718_1	8051730.0	26770634.0
BR718_2	9255888.0	25566476.0
BR719_1	7630808.0	18401754.0
BR719_2	8441909.0	17590653.0
BR720_1	8778751.0	24202295.0
BR720_2	9526495.0	23454551.0
BR721_1	7581927.0	20418112.0
BR721_2	8620030.0	19380009.0
BR722_1	8146470.0	19891101.0
BR722_2	8813402.0	19224169.0
BR723_1	8774412.0	21400243.0
BR723_2	9356780.0	20817875.0
BR724_1	8302396.0	19443713.0
BR724_2	9084947.0	18661162.0
BR725_1	7465952.0	17413805.0
BR725_2	8035667.0	16844090.0
BR726_1	6840698.0	14975227.0
BR726_2	7457571.0	14358354.0
BR727_1	8045095.0	19318499.0
BR727_2	8667757.0	18695837.0
BR729_1	7752824.0	18080218.0
BR729_2	8164207.0	17668835.0
BR730_1	7707322.0	18200067.0
BR730_2	8354004.0	17553385.0
BR731_1	6484793.0	13786615.0
BR731_2	7291916.0	12979492.0
BR732_1	7148895.0	16233202.0
BR732_2	7949279.0	15432818.0
BR733_1	6513560.0	13909188.0
BR733_2	7245873.0	13176875.0
BR734_1	5457582.0	22129928.0
BR734_2	6930059.0	20657451.0
BR735_1	7439604.0	16288314.0
BR735_2	8267603.0	15460315.0
BR736_1	7059787.0	14511867.0
BR736_2	7904401.0	13667253.0
BR737_1	7292475.0	17970040.0
BR737_2	7970520.0	17291995.0
BR738_1	7598696.0	19885849.0
BR738_2	8250152.0	19234393.0
BR739_1	6688309.0	12974676.0
BR739_2	7466682.0	12196303.0
BR740_1	6625377.0	12928325.0
BR740_2	7288637.0	12265065.0
BR741_1	6746855.0	13543765.0
BR741_2	7392688.0	12897932.0
BR742_1	7201530.0	19164998.0
BR742_2	8240777.0	18125751.0
BR743_1	7130511.0	18081843.0
BR743_2	8076433.0	17135921.0
BR744_1	7249756.0	17808580.0
BR744_2	8455802.0	16602534.0
BR745_1	6160114.0	15655684.0
BR745_2	7166590.0	14649208.0
BR746_1	6762221.0	13373991.0
BR746_2	7541575.0	12594637.0
BR747_1	5180742.0	13298090.0
BR747_2	6374508.0	12104324.0
BR748_1	6311760.0	22668171.0
BR748_2	7342298.0	21637633.0
BR749_1	6502803.0	17658975.0
BR749_2	7434368.0	16727410.0
BR750_1	6800760.0	13722050.0
BR750_2	7675447.0	12847363.0
BR751_1	6549835.0	12364109.0
BR751_2	7286467.0	11627477.0
BR752_1	5799420.0	11927290.0
BR752_2	6337204.0	11389506.0
BR753_1	7312801.0	15841572.0
BR753_2	8204041.0	14950332.0
BR754_1	7310703.0	18598646.0
BR754_2	8367650.0	17541699.0
BR755_1	6741207.0	14052674.0
BR755_2	7586891.0	13206990.0
BR756_1	7240565.0	18463741.0
BR756_2	8254765.0	17449541.0
BR757_1	6959485.0	15406642.0
BR757_2	7762213.0	14603914.0
BR758_1	7063511.0	16213510.0
BR758_2	8413308.0	14863713.0
BR759_1	6765024.0	14112981.0
BR759_2	7669110.0	13208895.0
BR760_1	6961093.0	14407888.0
BR760_2	7948566.0	13420415.0
BR761_1	7036192.0	13288114.0
BR761_2	7656919.0	12667387.0
