Sample	Sense	Antisense	Undetermined
BR701	0.5599999999999999	95.7	3.73
BR702	0.42	96.07	3.51
BR703	0.5499999999999999	95.92	3.53
BR704	0.63	95.1	4.279999999999999
BR705	0.52	95.63000000000001	3.85
BR707	0.5599999999999999	94.65	4.79
BR708	0.63	95.73	3.65
BR709	0.54	93.17999999999999	6.279999999999999
BR710	0.66	93.27	6.069999999999999
BR711	0.6	93.78	5.62
BR712	0.38	96.03	3.5900000000000003
BR713	0.45999999999999996	94.95	4.590000000000001
BR714	0.5700000000000001	94.62	4.8
BR715	0.5599999999999999	94.63000000000001	4.82
BR716	0.54	95.07	4.390000000000001
BR717	0.5599999999999999	94.81	4.63
BR718	0.9199999999999999	93.2	5.88
BR719	0.75	94.66	4.590000000000001
BR720	0.8099999999999999	93.65	5.54
BR721	0.43	95.93	3.64
BR722	0.47000000000000003	95.99	3.54
BR723	0.5599999999999999	95.43	4.01
BR724	0.53	95.86	3.61
BR725	0.41000000000000003	96.52	3.0700000000000003
BR726	0.38	96.67	2.9499999999999997
BR727	0.5499999999999999	95.44	4.01
BR729	0.5700000000000001	96.09	3.34
BR730	0.65	95.67	3.6799999999999997
BR731	0.37	96.69	2.94
BR732	0.53	95.96000000000001	3.52
BR733	0.42	97.22	2.37
BR734	0.72	96.06	3.2199999999999998
BR735	0.51	96.3	3.19
BR736	0.47000000000000003	97.22	2.31
BR737	0.43	95.69	3.88
BR738	0.48	96.19	3.3300000000000005
BR739	0.31	97.21	2.4899999999999998
BR740	0.33999999999999997	97.18	2.48
BR741	0.54	97.0	2.46
BR742	0.61	96.07	3.3099999999999996
BR743	0.67	96.0	3.3300000000000005
BR744	0.61	96.34	3.05
BR745	0.36	97.6	2.0500000000000003
BR746	0.4	97.77	1.8399999999999999
BR747	0.53	97.39	2.08
BR748	0.45999999999999996	96.85000000000001	2.68
BR749	0.61	96.50999999999999	2.87
BR750	0.43	96.61999999999999	2.9499999999999997
BR751	0.33999999999999997	97.61999999999999	2.04
BR752	0.22999999999999998	97.91	1.8499999999999999
BR753	0.53	96.72	2.75
BR754	0.7100000000000001	96.58	2.7199999999999998
BR755	0.52	97.02	2.46
BR756	0.67	96.2	3.1300000000000003
BR757	0.58	96.64	2.78
BR758	0.62	96.65	2.7199999999999998
BR759	0.65	96.66	2.69
BR760	0.67	96.56	2.78
BR761	0.52	96.27	3.2199999999999998
