Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BR701_1	BR701_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28470501.0	0.0	151.0	54.0	27.958955074712293	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR701_2	BR701_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28470501.0	0.0	151.0	54.0	30.578869432843742	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
BR702_1	BR702_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23915284.0	0.0	151.0	54.0	30.09046916072215	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR702_2	BR702_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23915284.0	0.0	151.0	54.0	31.620511812287376	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR703_1	BR703_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27321914.0	0.0	151.0	54.0	29.45335459616657	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR703_2	BR703_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27321914.0	0.0	151.0	54.0	32.33803046071802	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR704_1	BR704_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34237778.0	0.0	151.0	55.0	25.161616917987384	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR704_2	BR704_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34237778.0	0.0	151.0	55.0	28.625968533698693	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
BR705_1	BR705_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23283806.0	0.0	151.0	55.0	31.634805793019204	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR705_2	BR705_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23283806.0	0.0	151.0	55.0	34.318793139251774	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR707_1	BR707_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30584051.0	0.0	151.0	54.0	27.40042568182892	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR707_2	BR707_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30584051.0	0.0	151.0	54.0	29.379484187825767	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR708_1	BR708_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23895930.0	0.0	151.0	55.0	30.883189172011733	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR708_2	BR708_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23895930.0	0.0	151.0	55.0	34.04246791032684	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR709_1	BR709_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36160676.0	0.0	151.0	54.0	24.446102611586728	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR709_2	BR709_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36160676.0	0.0	151.0	54.0	27.726241073840747	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR710_1	BR710_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30404196.0	0.0	151.0	54.0	27.400425014725183	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR710_2	BR710_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30404196.0	0.0	151.0	54.0	30.63446085432759	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR711_1	BR711_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30083383.0	0.0	151.0	54.0	25.72084220822277	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR711_2	BR711_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30083383.0	0.0	151.0	54.0	27.17412378293616	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR712_1	BR712_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27069735.0	0.0	151.0	55.0	20.88808709592829	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
BR712_2	BR712_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27069735.0	0.0	151.0	55.0	22.183999560008495	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
BR713_1	BR713_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28763025.0	0.0	151.0	55.0	25.435239298225436	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR713_2	BR713_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28763025.0	0.0	151.0	55.0	28.124129387207653	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR714_1	BR714_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28228327.0	0.0	151.0	55.0	29.26180142807259	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
BR714_2	BR714_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28228327.0	0.0	151.0	55.0	32.10220701211239	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
BR715_1	BR715_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26298382.0	0.0	151.0	54.0	30.67924806529561	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
BR715_2	BR715_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26298382.0	0.0	151.0	55.0	32.44151841296073	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
BR716_1	BR716_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28281103.0	0.0	151.0	54.0	28.529464156793683	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR716_2	BR716_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28281103.0	0.0	151.0	54.0	30.884802776281866	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR717_1	BR717_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28915646.0	0.0	151.0	55.0	26.007538530752967	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
BR717_2	BR717_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28915646.0	0.0	151.0	55.0	29.42870623981702	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR718_1	BR718_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34822364.0	0.0	151.0	54.0	23.1222953634519	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
BR718_2	BR718_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34822364.0	0.0	151.0	54.0	26.580294946608063	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
