Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BR701	0.273716537513768	0.86	27213756.0	89.27910575813203	24296198	70.16529407092345	19884403	96.03							
BR701.sorted									0.013563484041649742						
BR701_1										2.8454855084301127	72.04104492528771	54.0	151.0	36.36363636363637	28470501.0
BR701_2										3.1846603203237303	69.42113056715625	54.0	151.0	27.27272727272727	28470501.0
BR702	0.172031692897568	0.9	23192511.0	89.84919744136373	20838285	71.43857830458623	17043731	97.21							
BR702.sorted									0.014436521410338552						
BR702_1										2.741946494930725	69.90953083927785	54.0	151.0	36.36363636363637	23915284.0
BR702_2										2.862409734371304	68.37948818771262	54.0	151.0	27.27272727272727	23915284.0
BR703	0.158530365565315	0.9	26359826.0	89.25028564300843	23526220	70.42096226338086	19169150	96.84							
BR703.sorted									0.011684527832263793						
BR703_1										3.0266810203357775	70.54664540383342	54.0	151.0	36.36363636363637	27321914.0
BR703_2										3.1445177562819824	67.66196953928198	54.0	151.0	27.27272727272727	27321914.0
BR704	0.259390107680414	0.93	32571622.0	90.04623718155639	29329520	71.61687463630354	24429626	95.49							
BR704.sorted									0.01558349048006488						
BR704_1										2.8192869059813987	74.83838308201261	55.0	151.0	36.36363636363637	34237778.0
BR704_2										3.2206390603257877	71.3740314663013	55.0	151.0	27.27272727272727	34237778.0
BR705	0.153530066287705	0.87	21745776.0	89.80525229359486	19528849	71.39244107678194	16556641	93.77							
BR705.sorted									0.01621009005251432						
BR705_1										2.971644727573677	68.36519420698079	55.0	151.0	36.36363636363637	23283806.0
BR705_2										3.226042754452777	65.68120686074823	55.0	151.0	27.27272727272727	23283806.0
BR707	0.248911803932717	0.9	28855943.0	89.51811763698036	25831297	70.50060450487646	21509800	94.58							
BR707.sorted									0.012838821413027064						
BR707_1										2.7983908933883384	72.59957431817108	54.0	151.0	36.36363636363637	30584051.0
BR707_2										3.026676739506791	70.62051581217423	54.0	151.0	27.27272727272727	30584051.0
BR708	0.180613062237952	0.92	22369256.0	89.65025926655764	20054096	70.73635052041607	16846258	93.93							
BR708.sorted									0.012613097689057716						
BR708_1										2.9182466310598936	69.11681082798827	55.0	151.0	36.36363636363637	23895930.0
BR708_2										3.27362960307716	65.95753208967315	55.0	151.0	27.27272727272727	23895930.0
BR709	0.270028419983718	0.92	33841916.0	88.8705385357023	30075493	69.84255875989172	25172845	93.9							
BR709.sorted									0.032135270671427484						
BR709_1										2.6478427223389565	75.55389738841328	54.0	151.0	36.36363636363637	36160676.0
BR709_2										2.9671504544098006	72.27375892615925	54.0	151.0	27.27272727272727	36160676.0
BR710	0.231101647496506	0.92	28318104.0	89.04374388906828	25215500	70.69865909288583	21410471	93.51							
BR710.sorted									0.01801244323710322						
BR710_1										2.668084352654778	72.59957498527481	54.0	151.0	36.36363636363637	30404196.0
BR710_2										3.0496500640288495	69.36553914567241	54.0	151.0	27.27272727272727	30404196.0
BR711	0.235612045933248	0.82	28268809.0	82.82744066083576	23414331	61.969269300377206	18612620	94.12							
BR711.sorted									0.2616233655489544						
BR711_1										2.6513110563484465	74.27915779177724	54.0	151.0	36.36363636363637	30083383.0
