Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
BR701_1	28470501	12909259	4299045651	2314857	4176716930	2.8454855084301127
BR701_2	28470501	13426618	4299045651	22194732	4162135650	3.1846603203237303
BR702_1	23915284	10737805	3611207884	1316330	3512190496	2.741946494930725
BR702_2	23915284	11222775	3611207884	9208820	3507840318	2.862409734371304
BR703_1	27321914	12552872	4125609014	1569216	4000739989	3.0266810203357775
BR703_2	27321914	13037995	4125609014	13964788	3995878506	3.1445177562819824
BR704_1	34237778	15534933	5169904478	1787252	5024150038	2.8192869059813987
BR704_2	34237778	16251597	5169904478	26254870	5003400515	3.2206390603257877
BR705_1	23283806	10543855	3515854706	1410100	3411375995	2.971644727573677
BR705_2	23283806	10998811	3515854706	15202913	3402431730	3.226042754452777
BR707_1	30584051	13992212	4618191701	1703611	4488956645	2.7983908933883384
BR707_2	30584051	14629869	4618191701	15067501	4478413967	3.026676739506791
BR708_1	23895930	10893010	3608285430	1401936	3502986762	2.9182466310598936
BR708_2	23895930	11364337	3608285430	16475795	3490163530	3.27362960307716
BR709_1	36160676	16264878	5460262076	2001668	5315682924	2.6478427223389565
BR709_2	36160676	16981370	5460262076	22892949	5298247885	2.9671504544098006
BR710_1	30404196	13642775	4591033596	2219675	4468540947	2.668084352654778
BR710_2	30404196	14272224	4591033596	23317887	4451023137	3.0496500640288495
BR711_1	30083383	13459121	4542590833	1841774	4422152620	2.6513110563484465
BR711_2	30083383	14231238	4542590833	8880174	4417690602	2.749537336549281
BR712_1	27069735	12594101	4087529985	1925116	3949444432	3.3782150469044203
BR712_2	27069735	13655835	4087529985	12318163	3941593949	3.5702743841767806
BR713_1	28763025	13042078	4343216775	1684423	4222588566	2.7773932375272703
BR713_2	28763025	13654578	4343216775	14456767	4211514393	3.03236952753757
BR714_1	28228327	12294624	4262477377	2868749	4144813361	2.7604607741710483
BR714_2	28228327	12774298	4262477377	11352020	4146909551	2.7112830351568573
BR715_1	26298382	11424065	3971055682	1406598	3871333346	2.511229858901787
BR715_2	26298382	11893663	3971055682	7168742	3870837210	2.523723665076525
BR716_1	28281103	13147726	4270446553	1824422	4143804240	2.9655519962200074
BR716_2	28281103	13725823	4270446553	8535869	4139879687	3.057452291687773
BR717_1	28915646	12908756	4366262546	1531354	4251313211	2.63267116415862
BR717_2	28915646	13506353	4366262546	17532294	4237707729	2.9442759258206093
BR718_1	34822364	15938726	5258176964	1862354	5109215666	2.8329456961958575
BR718_2	34822364	16665140	5258176964	24235881	5090931728	3.1806695960413855
BR719_1	26032562	11868937	3930916862	1641079	3815995199	2.9235332884025773
BR719_2	26032562	12353174	3930916862	14194375	3806973799	3.1530319096328934
BR720_1	32981046	15172156	4980137946	1909440	4828795200	3.038926785583461
BR720_2	32981046	15826040	4980137946	14574258	4820888812	3.197685199220383
BR721_1	28000039	12246134	4228005889	1757449	4118675397	2.585864231751547
BR721_2	28000039	12775491	4228005889	22393849	4101381164	2.994904177627554
BR722_1	28037571	12748484	4233673221	1510022	4112015066	2.8735839695077874
BR722_2	28037571	13241007	4233673221	16648573	4103513156	3.0744003659606016
BR723_1	30174655	13841761	4556372905	1700157	4412669868	3.1538910443942254
BR723_2	30174655	14373651	4556372905	11122167	4414722880	3.108833011550884
BR724_1	27746109	12872718	4189662459	1617829	4063959166	3.0003202938215505
BR724_2	27746109	13457829	4189662459	11904467	4058542479	3.129607248391463
BR725_1	24879757	11234212	3756843307	1832478	3645499452	2.9637609530463176
BR725_2	24879757	11730062	3756843307	9852068	3642435998	3.0453042528238723
BR726_1	21815925	9784691	3294204675	1202985	3210976011	2.5265176942898973
BR726_2	21815925	10217660	3294204675	11119688	3203827089	2.7435328073535685
BR727_1	27363594	12224999	4131902694	1552484	4028822125	2.4947482221613035
BR727_2	27363594	12784819	4131902694	11707350	4021343366	2.6757485881878322
BR729_1	25833042	11488039	3900789342	1376710	3800740589	2.56483353055675
