Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
BR701	54427512	81288263	78700180	48439693	66445046	66445046.0	14580559	2641526	2641526.0	17808982	6281158	6281158.0	85124588	1534561	1534561.0	36626081	268194	268194.0	161455822	426849	426849.0	301139461	522146	522146.0	34601673	882984	882984.0	147675048	1141674	1141674.0	279706221	1275743	1275743.0	2588083	81.74002438703852	3.249578601525782	7.727017121770703	1.8878014406581674	0.3299295496079182	0.5251053279364575	0.6423387346830133	1.0862379972370673	1.4044758220507185	1.5694061515375228	3.183833562786303
BR702	46385022	70158247	68091291	48439693	57981265	57981265.0	14580559	2326310	2326310.0	17808982	5156144	5156144.0	85124588	1136054	1136054.0	36626081	240462	240462.0	161455822	361186	361186.0	301139461	428456	428456.0	34601673	759881	759881.0	147675048	962775	962775.0	279706221	1063062	1063062.0	2066956	82.64354866221215	3.315804056506714	7.349305634731723	1.6192736400611605	0.34274231509803826	0.5148161697939801	0.6106994092939637	1.083095762070566	1.3722905590842371	1.5152345525394897	2.946134044654793
BR703	52719652	79723063	77207314	48439693	65354196	65354196.0	14580559	2616417	2616417.0	17808982	5985861	5985861.0	85124588	1522180	1522180.0	36626081	265758	265758.0	161455822	416557	416557.0	301139461	506871	506871.0	34601673	837620	837620.0	147675048	1094086	1094086.0	279706221	1221789	1221789.0	2515749	81.97652415838563	3.2818821825749467	7.50831788788647	1.9093345673384376	0.3333514669399995	0.5225050121318093	0.6357896710516504	1.0506620900905426	1.3723582095685412	1.5325414679563931	3.155610064806466
BR704	65143244	97795438	94997411	48439693	81162374	81162374.0	14580559	3267225	3267225.0	17808982	6956620	6956620.0	85124588	1603596	1603596.0	36626081	330846	330846.0	161455822	498060	498060.0	301139461	591695	591695.0	34601673	1001878	1001878.0	147675048	1278229	1278229.0	279706221	1415901	1415901.0	2798027	82.99198373650108	3.340876698154366	7.113440199531598	1.6397451995664665	0.33830412416579186	0.509287560018904	0.605033334990534	1.0244629202437847	1.3070435862253615	1.4478190690244672	2.861101762231486
BR705	43491552	66829845	64841586	48439693	55467031	55467031.0	14580559	2238579	2238579.0	17808982	4581817	4581817.0	85124588	1156654	1156654.0	36626081	220629	220629.0	161455822	346948	346948.0	301139461	419805	419805.0	34601673	665114	665114.0	147675048	873325	873325.0	279706221	977700	977700.0	1988259	82.99739584911502	3.3496695974680177	6.85594437634862	1.7307446994677302	0.33013543574730725	0.5191512863751218	0.6281699441319968	0.9952349882002569	1.306788905465814	1.4629691270419676	2.9751064064266495
BR707	57711886	89064097	86273687	48439693	73266113	73266113.0	14580559	2832809	2832809.0	17808982	6611505	6611505.0	85124588	1594816	1594816.0	36626081	283094	283094.0	161455822	454215	454215.0	301139461	556752	556752.0	34601673	972705	972705.0	147675048	1265151	1265151.0	279706221	1411692	1411692.0	2790410	82.26223076174006	3.1806407917659567	7.423311101441921	1.790638488144106	0.3178542303078647	0.5099866447868439	0.62511384357268	1.0921404165811057	1.4204949498337136	1.5850292626893192	3.133035750645965
BR708	44738512	68034461	65911916	48439693	56030133	56030133.0	14580559	2314836	2314836.0	17808982	4766841	4766841.0	85124588	1322149	1322149.0	36626081	227391	227391.0	161455822	366026	366026.0	301139461	448824	448824.0	34601673	695591	695591.0	147675048	918965	918965.0	279706221	1029133	1029133.0	2122545	82.35551833062954	3.4024462985015784	7.006509539334779	1.9433519139660707	0.33422914896026	0.5380008816414376	0.6597009712474977	1.0224098049369421	1.3507345931644847	1.5126642952312066	3.1198086510893357
BR709	67683832	104038050	100484918	48439693	85202519	85202519.0	14580559	3249773	3249773.0	17808982	7809662	7809662.0	85124588	1826603	1826603.0	36626081	331341	331341.0	161455822	537399	537399.0	301139461	660794	660794.0	34601673	1154060	1154060.0	147675048	1543434	1543434.0	279706221	1735567	1735567.0	3553132	81.89553629657611	3.1236388994218944	7.50654400000769	1.755706686159535	0.3184805943594675	0.5165408232853269	0.635146468047027	1.1092672344397074	1.4835283821640255	1.6682040849477668	3.4152235648399794
BR710	56636208	87286300	84477700	48439693	71909941	71909941.0	14580559	2849533	2849533.0	17808982	6114670	6114670.0	85124588	1673358	1673358.0	36626081	289831	289831.0	161455822	477724	477724.0	301139461	593151	593151.0	34601673	869167	869167.0	147675048	1178671	1178671.0	279706221	1337047	1337047.0	2808600	82.38399496828254	3.264582185291392	7.005303237736047	1.9170912273747427	0.332046380703501	0.5473069656979388	0.6795465038614308	0.9957656585283143	1.350350513196229	1.5317947948303456	3.2176870826235042
BR711	56537618	83757595	78146422	48439693	63388499	63388499.0	14580559	2041262	2041262.0	17808982	7950148	7950148.0	85124588	1795643	1795643.0	36626081	255749	255749.0	161455822	489238	489238.0	301139461	652024	652024.0	34601673	1354393	1354393.0	147675048	2013847	2013847.0	279706221	2318846	2318846.0	5611173	75.680896759273	2.4371067483492093	9.491853246263817	2.14385692425863	0.30534424967670093	0.5841118050249652	0.7784655230370452	1.6170390279233782	2.4043753882856835	2.768520275683656	6.699300523134648
