Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
s53_2	19383488	5948361	988557888	2577483	976331384	1.2368020273184042
s54_1	16140056	4907261	823142856	883055	815024341	0.9862826289292366
s54_2	16140056	4943108	823142856	15531124	800224308	2.784273450585593
s55_1	19277051	5655926	983129601	681498	973433476	0.9862509469898466
s55_2	19277051	5842512	983129601	2804542	971016738	1.2320718435981668
s56_1	18493224	5531686	943154424	642013	934298808	0.9389359552004815
s56_2	18493224	5759918	943154424	2443299	932043044	1.1781082415831408
s57_1	18995781	5660985	968784831	702304	957337787	1.1815878648909193
s57_2	18995781	5663793	968784831	4064473	954148457	1.5107971895980274
s58_1	18504550	5529743	943732050	693773	933810314	1.0513297709874323
s58_2	18504550	5668593	943732050	2897105	931422662	1.304330821444498
s59_1	23660915	7025998	1206706665	754398	1194997994	0.9702996875383961
s59_2	23660915	7345953	1206706665	2693401	1192475904	1.1793057428749678
s60_1	18766447	5608575	957088797	637323	947014301	1.0526187362738506
s60_2	18766447	5650099	957088797	2471851	945151720	1.2472277428611465
s61_1	21884159	6353675	1116092109	726120	1104151960	1.0698175270406827
s61_2	21884159	6613725	1116092109	4201990	1100364480	1.4091694469636287
s62_1	19566088	5779273	997870488	709326	987150632	1.0742732778364321
s62_2	19566088	6048444	997870488	4154097	983295505	1.4606086837192844
s63_1	17156894	5207861	875001594	674860	857713006	1.9758350291645295
s63_2	17156894	5356926	875001594	4123878	854876660	2.299988267221374
s64_1	23803745	7562298	1213990995	1253720	1201065777	1.0646881281026306
s64_2	23803745	7640747	1213990995	4033299	1198088044	1.3099727317170091
s65_1	24318396	7597812	1240238196	1237415	1227692460	1.0115585893469774
s65_2	24318396	7764840	1240238196	3822483	1224718177	1.251374054601363
s66_1	27520340	8617499	1403537340	1329829	1389487545	1.0010275180851262
s66_2	27520340	8727264	1403537340	4294355	1386233436	1.232878065075205
s67_1	17692153	5435600	902299803	1142290	893394567	0.9869486805152279
s67_2	17692153	5529411	902299803	11692035	882547113	2.189149319807621
s68_1	21743727	6743265	1108930077	1110090	1097693800	1.0132538771423367
s68_2	21743727	6957786	1108930077	4103662	1094287485	1.320425183129017
s69_1	21360868	6485434	1089404268	1169951	1078595678	0.9921560175124997
s69_2	21360868	6738501	1089404268	4232910	1075054916	1.3171742044249086
s70_1	19666768	6009297	1003005168	1084803	992331274	1.0641913262803846
s70_2	19666768	6162788	1003005168	3738634	989444956	1.3519583380651135
s71_1	22805135	6969012	1163061885	1361224	1149355388	1.178483894689748
s71_2	22805135	7075145	1163061885	5537175	1145282081	1.5287066173611217
s72_1	28976042	8852735	1477778142	1465462	1462400539	1.040589420221645
s72_2	28976042	9151200	1477778142	4989920	1458428093	1.309401489306911
s73_1	21213342	6471457	1081880442	1264528	1069503257	1.1440436964660463
s73_2	21213342	6621082	1081880442	5177304	1065524988	1.5117616850309972
s74_1	19609127	5944031	1000065477	1232623	988740272	1.132446350810288
s74_2	19609127	5913751	1000065477	9993621	980176361	1.988781380561545
s75_1	20528840	6496557	1046970840	1193382	1035814055	1.0656251897139752
s75_2	20528840	6563528	1046970840	6039540	1030799225	1.5446098766227339
s76_1	22625264	7114299	1153888464	1453229	1141237408	1.0963846502238712
s76_2	22625264	7231133	1153888464	6618664	1135881684	1.5605303772237038
