Sample	pe_sense	pe_antisense	failed
s01	0.0087	0.977	0.0142
s02	0.0065	0.978	0.0155
s03	0.0102	0.9835	0.0063
s04	0.014	0.9738	0.0122
s05	0.0065	0.9794	0.0141
s06	0.0067	0.9846	0.0087
s07	0.0137	0.9735	0.0128
s08	0.0105	0.9787	0.0108
s09	0.0115	0.9765	0.012
s10	0.0041	0.9913	0.0047
s11	0.0178	0.975	0.0072
s12	0.0088	0.9746	0.0166
s13	0.0102	0.9787	0.0111
s14	0.0048	0.9527	0.0425
s15	0.0053	0.978	0.0167
s16	0.0054	0.9697	0.025
s17	0.0052	0.9664	0.0283
s18	0.006	0.9873	0.0067
s19	0.0031	0.9783	0.0187
s20	0.0052	0.9894	0.0054
s21	0.0043	0.9755	0.0202
s22	0.0056	0.9628	0.0316
s23	0.0044	0.9598	0.0358
s24	0.0067	0.9551	0.0382
s25	0.0055	0.9788	0.0157
s26	0.0041	0.9713	0.0246
s27	0.0052	0.9863	0.0086
s28	0.0029	0.9696	0.0275
s29	0.0073	0.9654	0.0273
s30	0.0046	0.9778	0.0176
s31	0.0046	0.9635	0.0319
s32	0.0074	0.9809	0.0116
s33	0.0059	0.9458	0.0483
s34	0.007	0.9862	0.0069
s35	0.007	0.953	0.04
s36	0.006	0.9713	0.0228
s37	0.0079	0.9715	0.0206
s38	0.0054	0.9554	0.0393
s39	0.0092	0.9815	0.0093
s40	0.0038	0.9631	0.0331
s41	0.0085	0.969	0.0225
s42	0.0095	0.9461	0.0444
s43	0.0071	0.9888	0.0041
s44	0.0095	0.9711	0.0194
s45	0.0044	0.9418	0.0537
s46	0.0075	0.9279	0.0646
s47	0.0064	0.9745	0.0191
s48	0.0046	0.9561	0.0393
s49	0.0075	0.978	0.0145
s50	0.008	0.9314	0.0607
s51	0.0051	0.9754	0.0195
s52	0.0066	0.9868	0.0066
s53	0.0062	0.9585	0.0354
s54	0.0053	0.9785	0.0163
s55	0.0044	0.9554	0.0402
s56	0.0056	0.9705	0.0239
s57	0.0059	0.9837	0.0104
s58	0.006	0.9674	0.0266
s59	0.0069	0.9488	0.0443
s60	0.007	0.9816	0.0114
s61	0.0053	0.9546	0.0402
s62	0.0066	0.955	0.0385
s63	0.0057	0.98	0.0143
s64	0.0073	0.9894	0.0033
s65	0.0159	0.9792	0.0049
s66	0.0096	0.988	0.0024
s67	0.0049	0.9716	0.0235
s68	0.0076	0.9573	0.0352
s69	0.006	0.9687	0.0252
s70	0.0077	0.9824	0.0098
s71	0.0142	0.948	0.0378
s72	0.0149	0.9539	0.0312
s73	0.0127	0.9573	0.0299
s74	0.0071	0.9821	0.0108
s75	0.0097	0.981	0.0092
s76	0.0096	0.9806	0.0098
