Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
s44	17709375	15563768	0	0	0	0	0	1000609	0	0	1000792	0	144206	87.88434374448562
s45	21878157	19307104	0	0	0	0	0	1593746	0	0	773798	0	203509	88.2483108609194
s46	23064558	20531489	0	0	0	0	0	1300411	0	0	1010261	0	222397	89.01748301441546
s47	25459583	22451821	0	0	0	0	0	1436636	0	0	1350767	0	220359	88.18613014989288
s48	24564072	21679132	0	0	0	0	0	1646868	0	0	993093	0	244979	88.25544885229127
s49	24952308	21024739	0	0	0	0	0	2403835	0	0	1325668	0	198066	84.2596965378914
s50	25058303	22241531	0	0	0	0	0	1568329	0	0	1021321	0	227122	88.75912706459013
s51	13680647	12096435	0	0	0	0	0	844377	0	0	608583	0	131252	88.42005060140797
s52	13575057	11395333	0	0	0	0	0	1352030	0	0	714700	0	112994	83.9431687100835
s53	18188852	16000666	0	0	0	0	0	1223400	0	0	790521	0	174265	87.96963106852483
s54	13692092	12002501	0	0	0	0	0	816885	0	0	748781	0	123925	87.66009606128851
s55	17776594	15946835	0	0	0	0	0	972364	0	0	682058	0	175337	89.70692023455112
s56	17253608	15094961	0	0	0	0	0	1080051	0	0	915594	0	163002	87.48872119964706
s57	17487181	14990085	0	0	0	0	0	1470888	0	0	881115	0	145093	85.72042000365869
s58	17020900	14717792	0	0	0	0	0	1376073	0	0	771603	0	155432	86.4689411253224
s59	22635700	19649402	0	0	0	0	0	1865344	0	0	911031	0	209923	86.8071320966438
s60	17691217	14943355	0	0	0	0	0	1555483	0	0	1051453	0	140926	84.46764855125569
s61	20779482	18296027	0	0	0	0	0	1573211	0	0	712212	0	198032	88.04852305750451
s62	17839534	15017810	0	0	0	0	0	1859667	0	0	796323	0	165734	84.18274827133936
s63	15941192	14193989	0	0	0	0	0	878508	0	0	727123	0	141572	89.03969665505565
s64	21174785	18865066	0	0	0	0	0	1169517	0	0	937406	0	202796	89.09212537459058
s65	21595963	19204802	0	0	0	0	0	1175042	0	0	1032520	0	183599	88.92774080044498
s66	24626934	21761387	0	0	0	0	0	1378118	0	0	1292692	0	194737	88.3641747689745
s67	15547852	13784124	0	0	0	0	0	983227	0	0	643918	0	136583	88.65613076327199
s68	19774270	17474806	0	0	0	0	0	1125717	0	0	991338	0	182409	88.37143419200811
s69	19048543	16161391	0	0	0	0	0	1862330	0	0	853018	0	171804	84.84318721909597
s70	17416476	14550782	0	0	0	0	0	1771349	0	0	953221	0	141124	83.54607441826923
s71	19540471	17418783	0	0	0	0	0	1099540	0	0	830892	0	191256	89.14208362735985
s72	25744188	22599079	0	0	0	0	0	1450649	0	0	1458735	0	235725	87.7832270336124
s73	17937157	15831993	0	0	0	0	0	1108077	0	0	821421	0	175666	88.2636696551187
s74	16428224	14120639	0	0	0	0	0	1345249	0	0	822086	0	140250	85.95353338254945
s75	17065358	15056428	0	0	0	0	0	1108626	0	0	748699	0	151605	88.22802310974079
s76	18814026	16618141	0	0	0	0	0	1191497	0	0	838340	0	166048	88.3284683459032
