Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
s01_1	319.0	212.5	106.0	90.5	75.0	75.0	75.0	87.0	99.0	113.0	127.0	161.5	196.0	265.5	335.0	592.0	849.0	1324.5	1800.0	2683.0	3566.0	5322.0	7078.0	10781.5	14485.0	22247.0	43881.0	57753.0	82331.5	106910.0	147247.0	187584.0	247893.0	308202.0	395007.0	481812.0	596150.0	710488.0	835181.0	959874.0	1089561.0	1219248.0	1327556.5	1435865.0	1504206.5	1572548.0	1593002.0	1613456.0	1600627.0	1587798.0	1542690.5	1497583.0	1440080.0	1382577.0	1307041.5	1231506.0	1158627.5	1085749.0	1029314.5	972880.0	929296.5	885713.0	852717.5	819722.0	786944.5	754167.0	716016.0	677865.0	641121.0	604377.0	554192.0	504007.0	454947.0	405887.0	358990.5	268850.0	225606.0	186273.0	146940.0	118918.5	90897.0	72699.5	54502.0	40536.0	26570.0	19410.0	12250.0	8546.0	4842.0	3309.0	1776.0	1192.5	609.0	371.5	134.0	75.0	16.0	9.0	2.0	1.0	0.0
s01_2	1212.0	1259.0	1306.0	1374.5	1443.0	1447.0	1451.0	1547.0	1643.0	1747.5	1852.0	1915.5	1979.0	2076.5	2174.0	2359.5	2545.0	2978.0	3411.0	4170.0	4929.0	6672.0	8415.0	12113.5	15812.0	22675.5	42559.0	55579.0	78034.5	100490.0	137905.0	175320.0	234406.5	293493.0	375724.5	457956.0	564586.0	671216.0	792143.5	913071.0	1037126.5	1161182.0	1252087.5	1342993.0	1405616.0	1468239.0	1485819.5	1503400.0	1494690.5	1485981.0	1448944.0	1411907.0	1363054.5	1314202.0	1259196.5	1204191.0	1157867.0	1111543.0	1058567.0	1005591.0	978251.5	950912.0	919600.0	888288.0	866998.5	845709.0	814655.0	783601.0	741090.5	698580.0	643915.0	589250.0	531356.0	473462.0	420026.0	313832.5	261075.0	213908.5	166742.0	134198.5	101655.0	81296.0	60937.0	46357.5	31778.0	23880.0	15982.0	11390.5	6799.0	4553.0	2307.0	1572.5	838.0	533.5	229.0	143.5	58.0	47.5	37.0	35.5	34.0
s02_1	712.0	476.0	240.0	205.0	170.0	170.5	171.0	176.5	182.0	211.5	241.0	275.0	309.0	452.0	595.0	855.5	1116.0	1605.5	2095.0	3252.5	4410.0	6515.5	8621.0	12767.0	16913.0	25352.5	49162.0	64532.0	90440.5	116349.0	159092.5	201836.0	265889.0	329942.0	418988.5	508035.0	624672.5	741310.0	863626.5	985943.0	1110261.0	1234579.0	1336363.5	1438148.0	1502787.5	1567427.0	1579272.0	1591117.0	1572124.0	1553131.0	1495263.0	1437395.0	1388784.0	1340173.0	1241659.5	1143146.0	1061829.0	980512.0	916411.5	852311.0	804147.5	755984.0	712981.5	669979.0	636258.5	602538.0	560909.0	519280.0	489285.5	459291.0	418883.0	378475.0	340547.5	302620.0	267072.0	201078.0	170632.0	141581.0	112530.0	91337.0	70144.0	56055.0	41966.0	31161.0	20356.0	14378.0	8400.0	5760.5	3121.0	2052.0	983.0	633.5	284.0	163.5	43.0	25.5	8.0	4.5	1.0	0.5	0.0
s02_2	1388.0	1426.5	1465.0	1538.5	1612.0	1701.0	1790.0	1911.0	2032.0	2209.5	2387.0	2450.5	2514.0	2745.0	2976.0	3239.0	3502.0	3944.5	4387.0	5405.5	6424.0	8449.5	10475.0	14537.0	18599.0	26019.0	47174.5	60910.0	84700.5	108491.0	147809.0	187127.0	250016.0	312905.0	398368.0	483831.0	593621.0	703411.0	825435.0	947459.0	1066985.5	1186512.0	1274493.0	1362474.0	1420613.0	1478752.0	1487729.5	1496707.0	1478609.5	1460512.0	1409831.5	1359151.0	1299162.0	1239173.0	1175091.0	1111009.0	1062545.5	1014082.0	949228.0	884374.0	847210.5	810047.0	773015.0	735983.0	711264.5	686546.0	649976.5	613407.0	579302.0	545197.0	501761.5	458326.0	414025.5	369725.0	326860.0	244414.5	204834.0	169338.0	133842.0	106906.5	79971.0	64033.5	48096.0	36502.0	24908.0	18312.5	11717.0	8355.0	4993.0	3160.0	1327.0	907.5	488.0	329.5	171.0	130.0	89.0	72.0	55.0	40.0	25.0
s03_1	206.0	145.5	85.0	79.0	73.0	69.0	65.0	75.0	85.0	108.0	131.0	170.0	209.0	306.0	403.0	610.0	817.0	1341.5	1866.0	2963.0	4060.0	6139.5	8219.0	12543.0	16867.0	25688.5	50599.5	66689.0	94788.5	122888.0	168349.0	213810.0	282889.0	351968.0	450958.5	549949.0	676635.0	803321.0	941046.5	1078772.0	1218886.5	1359001.0	1477552.5	1596104.0	1671090.0	1746076.0	1762846.5	1779617.0	1761788.0	1743959.0	1690027.5	1636096.0	1586686.0	1537276.0	1442294.0	1347312.0	1269106.5	1190901.0	1131856.5	1072812.0	1024678.0	976544.0	938252.0	899960.0	866968.0	833976.0	789556.0	745136.0	704043.0	662950.0	608090.5	553231.0	501354.0	449477.0	397924.5	298423.0	250474.0	206838.5	163203.0	132940.0	102677.0	81685.0	60693.0	45352.0	30011.0	22055.5	14100.0	9869.5	5639.0	3817.0	1995.0	1277.5	560.0	330.0	100.0	56.5	13.0	6.5	0.0	0.5	1.0
s03_2	1274.0	1355.0	1436.0	1517.5	1599.0	1613.0	1627.0	1716.5	1806.0	1914.5	2023.0	2129.5	2236.0	2357.5	2479.0	2628.0	2777.0	3201.5	3626.0	4572.5	5519.0	7361.0	9203.0	13252.0	17301.0	25401.5	47736.5	61971.0	87568.0	113165.0	154847.0	196529.0	262694.0	328859.0	421112.0	513365.0	631003.5	748642.0	883051.5	1017461.0	1150882.5	1284304.0	1384418.5	1484533.0	1553343.5	1622154.0	1642133.0	1662112.0	1648531.5	1634951.0	1592000.5	1549050.0	1492652.0	1436254.0	1383144.0	1330034.0	1287877.0	1245720.0	1183808.0	1121896.0	1089079.5	1056263.0	1018552.0	980841.0	958939.0	937037.0	900801.5	864566.0	818364.5	772163.0	711588.5	651014.0	589344.5	527675.0	468682.5	350312.0	290934.0	239151.5	187369.0	150979.0	114589.0	91332.5	68076.0	51512.5	34949.0	26262.0	17575.0	12546.5	7518.0	4978.0	2438.0	1619.5	801.0	504.5	208.0	149.5	91.0	61.0	31.0	27.0	23.0
s04_1	507.0	358.0	209.0	183.5	158.0	158.0	158.0	171.5	185.0	198.5	212.0	255.0	298.0	409.0	520.0	729.5	939.0	1465.0	1991.0	2942.5	3894.0	5729.5	7565.0	11575.5	15586.0	23269.5	45799.0	60645.0	84774.5	108904.0	149534.5	190165.0	250286.5	310408.0	396243.0	482078.0	593536.5	704995.0	822349.0	939703.0	1059505.0	1179307.0	1285997.5	1392688.0	1449286.5	1505885.0	1518050.5	1530216.0	1510044.0	1489872.0	1469835.5	1449799.0	1355856.0	1261913.0	1190504.5	1119096.0	1044761.0	970426.0	911799.0	853172.0	810457.0	767742.0	732822.5	697903.0	668743.0	639583.0	605451.0	571319.0	537804.0	504289.0	462365.0	420441.0	377678.5	334916.0	298281.5	225139.5	188632.0	153126.0	117620.0	94338.5	71057.0	56196.0	41335.0	30680.0	20025.0	14647.0	9269.0	6464.0	3659.0	2555.5	1452.0	969.5	487.0	271.0	55.0	31.0	7.0	3.5	0.0	0.5	1.0
s04_2	1197.0	1255.0	1313.0	1373.0	1433.0	1484.5	1536.0	1591.0	1646.0	1813.5	1981.0	2070.0	2159.0	2211.5	2264.0	2460.0	2656.0	2960.5	3265.0	4092.0	4919.0	6668.0	8417.0	11988.5	15560.0	22474.0	42432.0	55476.0	77998.0	100520.0	138332.5	176145.0	234021.0	291897.0	373510.5	455124.0	558786.5	662449.0	780350.0	898251.0	1015804.5	1133358.0	1218361.0	1303364.0	1356084.0	1408804.0	1425273.5	1441743.0	1427836.5	1413930.0	1372945.0	1331960.0	1276998.5	1222037.0	1159934.5	1097832.0	1059751.5	1021671.0	959903.5	898136.0	863944.0	829752.0	794900.0	760048.0	738681.0	717314.0	688292.0	659270.0	624835.5	590401.0	541042.0	491683.0	441945.5	392208.0	351500.0	264907.0	219022.0	177357.0	135692.0	106927.5	78163.0	62544.0	46925.0	35138.5	23352.0	17451.0	11550.0	8245.5	4941.0	3255.0	1569.0	1023.5	478.0	316.0	154.0	109.0	64.0	55.5	47.0	38.5	30.0
s05_1	420.0	288.0	156.0	139.5	123.0	113.0	103.0	108.5	114.0	117.5	121.0	156.0	191.0	284.0	377.0	586.0	795.0	1230.0	1665.0	2539.0	3413.0	5292.5	7172.0	10578.0	13984.0	21413.0	41409.0	53976.0	75946.5	97917.0	132351.0	166785.0	218510.0	270235.0	340997.0	411759.0	503787.0	595815.0	695376.5	794938.0	895467.0	995996.0	1079725.0	1163454.0	1214039.0	1264624.0	1279486.0	1294348.0	1276752.0	1259156.0	1220126.5	1181097.0	1228795.5	1276494.0	1112214.0	947934.0	878710.5	809487.0	757890.5	706294.0	668664.5	631035.0	596158.5	561282.0	533264.0	505246.0	470679.5	436113.0	407622.0	379131.0	343755.0	308379.0	275041.5	241704.0	209651.5	152151.5	126704.0	103101.0	79498.0	63700.0	47902.0	37642.0	27382.0	20382.0	13382.0	9495.5	5609.0	3897.5	2186.0	1508.5	831.0	548.5	266.0	150.5	35.0	22.5	10.0	6.0	2.0	1.5	1.0
