Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_5kb	TSS_up_10kb	TES_down_1kb	TES_down_5kb	TES_down_10kb	Other_intergenic
s01	37188166.0	2327284.0	5189090.0	884637.0	268627.0	407144.0	489339.0	670846.0	906538.0	1009435.0	2236257.0
s02	33481402.0	2143425.0	4750014.0	1255389.0	248642.0	370631.0	446343.0	603759.0	820840.0	912909.0	2116411.0
s03	41290391.0	2715847.0	5856814.0	1070566.0	318958.0	481890.0	570370.0	747518.0	1011149.0	1118334.0	2469418.0
s04	33113362.0	2049411.0	5403880.0	954808.0	228513.0	367800.0	448746.0	677005.0	906331.0	1001054.0	2047719.0
s05	27600894.0	1831631.0	3989322.0	975640.0	225018.0	322552.0	381905.0	535963.0	710395.0	776453.0	1562369.0
s06	24950542.0	1443705.0	3639329.0	548840.0	184027.0	283791.0	367300.0	428354.0	721474.0	947961.0	5960995.0
s07	28705439.0	1926267.0	4273916.0	1016688.0	234314.0	380553.0	475623.0	573041.0	805966.0	903643.0	2037400.0
s08	32015927.0	1748854.0	5271322.0	738897.0	211994.0	335713.0	417610.0	628056.0	894859.0	1040636.0	3305153.0
s09	30305748.0	1662029.0	5145961.0	1045500.0	230643.0	384175.0	488948.0	647884.0	956140.0	1087402.0	2649173.0
s10	11512421.0	421228.0	3893849.0	231614.0	133864.0	203047.0	304185.0	453086.0	872365.0	1260202.0	10518494.0
s11	42145590.0	2817966.0	6233156.0	1330214.0	301819.0	480317.0	583175.0	775885.0	1048864.0	1169174.0	2482971.0
s12	30625924.0	2096386.0	4778692.0	1232241.0	264956.0	384092.0	456397.0	628378.0	852441.0	949777.0	2231649.0
s13	26924572.0	759349.0	7754389.0	297019.0	110259.0	202376.0	259535.0	897980.0	1166354.0	1272008.0	2137031.0
s14	31073278.0	1403499.0	3941932.0	779801.0	162837.0	249701.0	314647.0	452624.0	607803.0	687995.0	1686882.0
s15	25290576.0	1189356.0	3263419.0	727854.0	142465.0	218803.0	273165.0	377982.0	501651.0	562695.0	1348062.0
s16	26094734.0	762332.0	5717910.0	581283.0	105724.0	192265.0	260938.0	655854.0	837101.0	923977.0	2002596.0
s17	32562339.0	1543725.0	3737358.0	766022.0	168659.0	263717.0	341715.0	432802.0	629899.0	712977.0	1973208.0
s18	20005055.0	983709.0	2640038.0	654309.0	119376.0	187647.0	245179.0	312561.0	435597.0	491785.0	1539708.0
s19	16039074.0	405438.0	3924679.0	287326.0	72197.0	135517.0	186405.0	476898.0	647938.0	717993.0	1852168.0
s20	18412542.0	872411.0	2424071.0	487289.0	97850.0	156337.0	206107.0	296344.0	405867.0	460045.0	1442115.0
s21	25364311.0	1181577.0	3046402.0	621596.0	131958.0	207987.0	266862.0	335895.0	479365.0	545014.0	1443962.0
s22	26542762.0	1320278.0	3032615.0	651776.0	148065.0	245169.0	317902.0	398859.0	574126.0	665128.0	1831233.0
s23	31999351.0	1313679.0	3980491.0	674484.0	147804.0	227333.0	288640.0	428606.0	603636.0	681296.0	1928756.0
s24	30293720.0	1142565.0	5467047.0	825709.0	153363.0	272488.0	361095.0	642454.0	882926.0	997526.0	2542442.0
s25	26069548.0	1081647.0	3792416.0	794286.0	174479.0	326503.0	452277.0	592260.0	921622.0	1067945.0	4081179.0
s26	20630664.0	882177.0	2829118.0	1233688.0	217274.0	619144.0	982692.0	913421.0	1880530.0	2311841.0	11975876.0
s27	22763549.0	915092.0	3492770.0	565448.0	112745.0	191604.0	262195.0	429615.0	584366.0	661218.0	2105604.0
s28	20885907.0	817699.0	2625141.0	959094.0	159010.0	444402.0	715067.0	696456.0	1436671.0	1761545.0	9262090.0
s29	32948233.0	1602428.0	4765617.0	978179.0	237644.0	361007.0	437078.0	614794.0	801499.0	889530.0	1934580.0
s30	28665135.0	1401866.0	4122375.0	919641.0	226905.0	341326.0	410432.0	551892.0	755844.0	839388.0	1889115.0
s31	31252628.0	1457060.0	4096552.0	804262.0	207742.0	310670.0	374871.0	533523.0	726764.0	811268.0	1865931.0
s32	28888142.0	1507357.0	3361806.0	879359.0	197625.0	299534.0	386719.0	430361.0	575918.0	651871.0	2194605.0
s33	34952937.0	1684257.0	4215037.0	844005.0	168778.0	262026.0	312131.0	441231.0	598144.0	673325.0	1674440.0
s34	27435254.0	1359165.0	3272244.0	1048814.0	176335.0	420416.0	618563.0	620810.0	1112668.0	1333685.0	6216283.0
s35	28003811.0	1159742.0	3931446.0	715758.0	141323.0	235661.0	298526.0	466262.0	641908.0	723754.0	1800547.0
s36	35748409.0	1791569.0	4449048.0	940776.0	215766.0	344944.0	424266.0	544616.0	750399.0	852343.0	1968274.0
s37	35407079.0	1522000.0	4690314.0	1040874.0	217555.0	331355.0	402232.0	591096.0	770631.0	857476.0	1786502.0
s38	29954931.0	1394232.0	3785613.0	741960.0	180842.0	266907.0	317831.0	438146.0	569033.0	637934.0	1332130.0
s39	24157406.0	1087000.0	3405508.0	773249.0	131172.0	216526.0	278282.0	411703.0	549654.0	632051.0	1933182.0
s40	29571559.0	1335419.0	4006325.0	674631.0	185376.0	262048.0	309352.0	490830.0	636969.0	701464.0	1415982.0
s41	40920300.0	2124658.0	4471211.0	1233254.0	252637.0	420030.0	507283.0	568124.0	813308.0	941308.0	2208469.0
s42	42112400.0	2095576.0	4552028.0	1233711.0	241284.0	387030.0	471746.0	531458.0	793283.0	902862.0	2079110.0
s43	39877377.0	2204900.0	4675634.0	1212953.0	259231.0	408057.0	547013.0	563967.0	784674.0	884355.0	2494770.0
s44	31830060.0	1818457.0	3809607.0	1372442.0	247933.0	407012.0	492166.0	489140.0	706557.0	804519.0	1845806.0
s45	41018942.0	1850727.0	4745223.0	1037879.0	214899.0	340786.0	428837.0	538628.0	777801.0	903074.0	2467785.0
s46	42444905.0	2106716.0	5377334.0	1308636.0	249266.0	382618.0	469328.0	585882.0	818071.0	947940.0	2167821.0
s47	45992103.0	2549458.0	5649153.0	1760128.0	338353.0	524585.0	628966.0	672204.0	974313.0	1129557.0	2639315.0
s48	44960912.0	2192207.0	5876979.0	1255638.0	260731.0	409626.0	505635.0	639864.0	943932.0	1092941.0	2720984.0
s49	44076380.0	2370808.0	4870628.0	1384744.0	271846.0	455858.0	593011.0	627913.0	951450.0	1124196.0	4462432.0
s50	46751177.0	2292859.0	5364353.0	1340502.0	242944.0	404468.0	499044.0	574448.0	844814.0	978614.0	2558178.0
s51	23959346.0	1372767.0	3694224.0	697464.0	164702.0	239308.0	289095.0	461941.0	601606.0	666224.0	1446115.0
s52	22611777.0	1253691.0	3653624.0	703028.0	147213.0	232657.0	309960.0	482326.0	651116.0	737526.0	2272100.0
s53	32004949.0	1644888.0	4937325.0	898719.0	197294.0	301500.0	373656.0	607707.0	810131.0	909571.0	2037019.0
s54	23656628.0	1421954.0	3766264.0	735973.0	158789.0	256404.0	327922.0	456237.0	616869.0	703303.0	1606747.0
s55	32592551.0	1751519.0	4288582.0	838512.0	185501.0	265160.0	318570.0	484235.0	617831.0	689855.0	1540243.0
s56	29807675.0	1877075.0	4287791.0	995817.0	223631.0	337441.0	414929.0	579871.0	772863.0	875748.0	2077244.0
s57	30367191.0	1624254.0	4528008.0	795575.0	192057.0	278883.0	362464.0	571954.0	730520.0	822938.0	2370566.0
s58	29534696.0	1538392.0	4482327.0	877297.0	200234.0	295078.0	360505.0	597374.0	772624.0	858454.0	2084323.0
s59	39699221.0	2292182.0	5422926.0	1043288.0	286037.0	428164.0	521212.0	735889.0	1017161.0	1153459.0	3016996.0
s60	29892336.0	1760422.0	4335632.0	1032780.0	211721.0	320143.0	422157.0	588540.0	784990.0	895809.0	2824981.0
s61	37158060.0	2026586.0	4999237.0	868854.0	229063.0	340413.0	416178.0	644476.0	855702.0	959475.0	2402481.0
s62	29933354.0	1749244.0	4234979.0	1048434.0	217770.0	356334.0	452308.0	628161.0	900516.0	1031328.0	3059120.0
s63	27725517.0	1678791.0	4142219.0	779759.0	267353.0	346833.0	390410.0	609447.0	763801.0	824157.0	1656122.0
s64	39072475.0	1860147.0	5788686.0	893747.0	193382.0	331424.0	415298.0	586647.0	830014.0	944502.0	1834597.0
s65	39775364.0	2191193.0	5158518.0	1026192.0	235311.0	382968.0	480790.0	588052.0	827828.0	952943.0	2043623.0
s66	44853722.0	2707895.0	5472672.0	1627504.0	305004.0	466856.0	579208.0	631196.0	882860.0	1016705.0	2302782.0
s67	28272314.0	1351686.0	4172326.0	781185.0	160452.0	253421.0	314626.0	477629.0	663716.0	745592.0	1618011.0
s68	35789436.0	1856799.0	4995376.0	1169590.0	190397.0	314715.0	402274.0	603427.0	817440.0	938962.0	2055462.0
s69	32770411.0	1708053.0	4808794.0	1073751.0	203017.0	354622.0	464751.0	650950.0	964266.0	1106710.0	3038146.0
s70	29680378.0	1508827.0	4572618.0	1027012.0	181950.0	304228.0	421633.0	559282.0	798210.0	922617.0	2990986.0
s71	35507152.0	1718726.0	5166513.0	1005230.0	206189.0	326453.0	396659.0	526509.0	719358.0	811874.0	1840092.0
s72	46687967.0	2682427.0	5477984.0	1793025.0	292515.0	502155.0	629635.0	658616.0	943876.0	1095797.0	2806073.0
s73	32472353.0	1602801.0	4374892.0	980805.0	195254.0	318366.0	397995.0	504422.0	717484.0	816662.0	1914588.0
s74	28965982.0	1520898.0	4093085.0	1068638.0	174446.0	264659.0	323942.0	450293.0	619273.0	694249.0	1995504.0
s75	31439995.0	1557160.0	4224484.0	711210.0	173111.0	281468.0	351249.0	446293.0	648049.0	754339.0	1855890.0
s76	34803525.0	1746834.0	4410647.0	799592.0	205852.0	327439.0	409503.0	485626.0	696104.0	811105.0	2010416.0
