Sample	mRNA	tRNA	lnc_RNA	snoRNA	snRNA	pre_miRNA	SRP_RNA	rRNA	ncRNA	RNase_MRP_RNA	pseudogenic_transcript
s01	18609474.0	272.0	38461.0	2689.0	639.0	483.0	420.0	8326.0	2481.0	8.0	5.0
s02	16813160.0	404.0	35163.0	1867.0	1748.0	130.0	401.0	11935.0	1318.0	5.0	22.0
s03	20825154.0	325.0	44524.0	2423.0	617.0	134.0	438.0	11088.0	1251.0	10.0	16.0
s04	16916787.0	333.0	41631.0	3494.0	1538.0	144.0	1249.0	5915.0	1767.0	247.0	7.0
s05	13967978.0	294.0	30837.0	1384.0	1511.0	250.0	523.0	6290.0	1066.0	48.0	18.0
s06	12382505.0	176.0	23725.0	3614.0	631.0	451.0	3001.0	140431.0	1658.0	34.0	25.0
s07	14652883.0	249.0	48646.0	2039.0	583.0	324.0	365.0	5965.0	2959.0	72.0	7.0
s08	16224415.0	245.0	34300.0	3263.0	968.0	349.0	1370.0	33086.0	2470.0	147.0	15.0
s09	15516721.0	259.0	53662.0	3279.0	457.0	428.0	490.0	13984.0	3407.0	4.0	6.0
s10	6810127.0	125.0	18199.0	4015.0	1045.0	169.0	8053.0	257645.0	554.0	20.0	57.0
s11	21432592.0	472.0	47200.0	4074.0	1325.0	269.0	1437.0	5143.0	1906.0	274.0	6.0
s12	15782913.0	395.0	35733.0	2055.0	1979.0	97.0	982.0	11608.0	1043.0	99.0	15.0
s13	15116809.0	214.0	32608.0	2857.0	1176.0	339.0	1698.0	17235.0	2094.0	192.0	4.0
s14	14983698.0	151.0	17384.0	725.0	148.0	345.0	214.0	3714.0	15.0	6.0	5.0
s15	12243896.0	145.0	17474.0	593.0	111.0	81.0	135.0	4426.0	17.0	4.0	8.0
s16	13580489.0	164.0	22151.0	478.0	168.0	88.0	533.0	10770.0	66.0	10.0	20.0
s17	15499261.0	166.0	20442.0	356.0	117.0	335.0	250.0	6966.0	37.0	5.0	18.0
s18	9747266.0	233.0	14480.0	581.0	447.0	71.0	295.0	6241.0	2.0	9.0	11.0
s19	8637460.0	85.0	14366.0	244.0	213.0	106.0	453.0	9699.0	23.0	3.0	9.0
s20	8919487.0	155.0	11189.0	740.0	427.0	25.0	187.0	4857.0	0.0	4.0	5.0
s21	12144228.0	170.0	12782.0	510.0	169.0	156.0	180.0	5776.0	41.0	6.0	9.0
s22	12728233.0	203.0	13839.0	609.0	124.0	61.0	501.0	7054.0	10.0	8.0	16.0
s23	15287681.0	139.0	15347.0	500.0	207.0	159.0	173.0	7749.0	49.0	3.0	10.0
s24	15405700.0	232.0	22026.0	931.0	234.0	86.0	421.0	9873.0	28.0	4.0	11.0
s25	12822524.0	168.0	20725.0	480.0	283.0	37.0	1233.0	35465.0	43.0	12.0	10.0
s26	9920517.0	136.0	13746.0	704.0	527.0	153.0	7068.0	122715.0	9.0	53.0	17.0
s27	11120722.0	183.0	13168.0	1068.0	750.0	31.0	895.0	12747.0	5.0	13.0	7.0
s28	9777247.0	131.0	10687.0	735.0	895.0	132.0	4574.0	69984.0	16.0	28.0	21.0
s29	16530520.0	328.0	26622.0	1033.0	234.0	11.0	540.0	4902.0	36.0	4.0	12.0
s30	14301973.0	304.0	24505.0	730.0	189.0	22.0	393.0	9934.0	45.0	1.0	15.0
