Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
s01_1	33.1225474259473	33.18419065692655	33.22228178573065	33.17766452074392	33.17055835629809	36.681179419288064	36.96456009129172	37.07622530516032	37.16040317964585	37.14941655338842	37.167551755249164	37.17108119995665	37.16690117809377	37.18326893019515	37.19174507048707	37.18226219932171	37.17961388845856	37.18432207242098	37.192663887985816	37.19656712363439	37.19768195068414	37.18855796064245	37.19179261825849	37.144872331960904	37.16794227427809	37.150453603921065	37.152449610271916	37.135647336997515	37.12415732257499	37.116679549112575	37.12364525216865	37.11399587288981	37.106442595748305	37.10567792212421	37.10479642462578	37.09894232118947	37.094845121544104	37.08316973445252	37.076111117778105	37.054128819367925	37.04130683095104	37.03513371196996	37.028658896469864	37.014656668724946	36.971463200388676	36.98157028378837	36.97457271554323	36.979627689131036	36.972169280248565	36.956993904430256	36.51897897024801
s01_2	32.470513017725224	32.560033743462405	32.532062880518545	32.51177461919963	32.575983702478595	36.63596685256663	36.67111729262444	36.66702450228484	36.66626673808833	36.66335195969549	36.70183315296091	36.69532933604765	36.663239772410726	36.68031683180199	36.64086050011164	36.65252656856734	36.661807793543396	36.633658694641845	36.661771700875605	36.683660221989	36.683150697161246	36.689301496872936	36.69835702903342	36.69564262404059	36.699129157566226	36.70188738287611	36.700968429007084	36.702360724122556	36.7083192417376	36.72549003296888	36.74060276937131	36.746640790860354	36.74385674611054	36.743360858310915	36.74541418563668	36.74221112046914	36.73434446442118	36.72291754398214	36.71147816839075	36.70403330562289	36.688743515138555	36.68394150842259	36.610824900195134	36.64161408228619	36.65284594776618	36.66355896978253	36.652305057773724	36.64879447762182	36.65970510017579	36.666350287614016	36.24909577412136
s02_1	33.13542443155869	33.19220984088072	33.22882646238136	33.184529340488886	33.18204519281773	36.70547886879638	36.97457160231085	37.083303712536114	37.16054229859598	37.15299377495048	37.16990108864721	37.16972609508998	37.16584824176345	37.18106019563773	37.192095275700694	37.18286899888663	37.18211225417258	37.18432781502108	37.19304379150366	37.192297191343656	37.19339694879127	37.18717716663776	37.18969540586312	37.14380441846051	37.16601006690919	37.15189845574526	37.15132606879217	37.13861669836515	37.131956554776785	37.12435384555658	37.13226293981763	37.12605978888013	37.12359880785883	37.12165914961715	37.12054519954825	37.113491661859385	37.11485459244937	37.10633633722683	37.10070967008154	37.07493391896023	37.06360284226994	37.06627242068373	37.06562560781973	37.05641279204854	37.01709723145366	37.02925377245726	37.02826267879045	37.0345162598668	37.03035143271342	37.021021954570735	36.629839074208
s02_2	32.39349544850927	32.476453368313834	32.4434098245714	32.41541743961991	32.465569676211196	36.50884229568917	36.54632388673762	36.536248393697655	36.53375844217107	36.53191822982214	36.5685741126978	36.56216553454094	36.53801515557356	36.54545091859912	36.51309666804073	36.51796025012568	36.52588202507929	36.50826873821062	36.53391412205811	36.55148965948049	36.55299744259694	36.56120497208004	36.56102636940262	36.556716250775715	36.5651036022336	36.56213807596437	36.557276542298986	36.55736082013257	36.56260916369272	36.57735680913197	36.59093822103149	36.59044606384475	36.584600752296716	36.58178836977602	36.58137990516013	36.57886956698166	36.57189196713242	36.559867939366	36.54656955076988	36.544196895649414	36.5272701219668	36.520519165111004	36.45112875721605	36.479915880187356	36.48368941043169	36.49459178216989	36.4831502371387	36.48173521816546	36.49328918241332	36.49667346416817	36.06259053282904
s03_1	33.11087115817783	33.17437477266672	33.213622210576226	33.167958971250215	33.16138706131731	36.669645727259	36.951052119268546	37.06579536796518	37.14930997613875	37.13946434377632	37.159884963252516	37.162331265391494	37.15702965105375	37.17408061709783	37.184923406462694	37.175150307297336	37.17376154491851	37.1769490649067	37.18511715671181	37.18728293147739	37.18861336353758	37.1806050746392	37.18516526588384	37.138079809422	37.161194214141396	37.146735437606075	37.14859412643657	37.132704635667636	37.12578565828638	37.11682815736248	37.12576312250528	37.118352175476645	37.11371156966887	37.11358444159228	37.11103765203596	37.110649946293826	37.110923741667044	37.100471900898064	37.09435009085532	37.07625311975871	37.058741750580296	37.05696634972765	37.05742211434967	37.04868065316329	37.00845017903221	37.02132467784198	37.01712883558276	37.024732301397066	37.020331256278666	37.00834648980991	36.609808672039485
s03_2	32.4714755095375	32.55534436869622	32.52807077827956	32.50377195201611	32.56948436039369	36.62804631731061	36.666983919016666	36.659920490972986	36.66655647805395	36.65963511984336	36.69948470233004	36.690770087046815	36.663537134923935	36.675307585704005	36.636726041129485	36.64676562898494	36.65520850133402	36.62975858513716	36.65820448770731	36.67766292374298	36.67769379242674	36.68565565515313	36.69240235079804	36.68630586785355	36.692140254327576	36.69527724326563	36.69195019846881	36.69206562764264	36.69697144962828	36.71469840700762	36.72874140043419	36.734151219360214	36.72549489334685	36.724182727994474	36.72610610970476	36.724192579702056	36.71601319948201	36.7073112682723	36.69080345970625	36.685806222084004	36.670544777673435	36.66321055081759	36.59172183999193	36.62629751606844	36.629920727824455	36.63843814476091	36.631138522027946	36.62266244121455	36.6374438201244	36.64385371051636	36.20724729374619
s04_1	33.13536964232823	33.191976751152275	33.23019464282419	33.18905361982396	33.18705829671565	36.707435977482305	36.979377450110015	37.0899314178929	37.168753860932696	37.159120466824575	37.177675545549356	37.178583466172284	37.17293943521001	37.18888746215805	37.20048696483981	37.1904629250283	37.18902218458987	37.19226001370122	37.201103085558216	37.202598701946904	37.20446867890986	37.194406245672724	37.20110451667563	37.153260090389374	37.1762524226597	37.160772075010684	37.16326064013585	37.14789127810924	37.141411622627565	37.13451186016344	37.142963940874914	37.13490763814996	37.13106775274989	37.129859149424746	37.134091358389995	37.126492322351204	37.12483084438987	37.116530166030344	37.10881836780961	37.09067115754599	37.06939957123723	37.06380562938421	37.07170288068143	37.06475969120632	37.02660689070201	37.039180441500704	37.036348062755586	37.043710421584485	37.03911505423984	37.02923713645053	36.638084965539186
s04_2	32.432025032118716	32.52524417083673	32.50249562201446	32.47510161673827	32.54135470363384	36.605717087038485	36.634410053432	36.63354634940208	36.62479087180021	36.6261882839254	36.66693466396327	36.655117434040044	36.63005797604665	36.646518392375484	36.60524111712827	36.61589731604293	36.62488088415026	36.599459402801614	36.63018342088976	36.64909075189231	36.647858609153246	36.65447851414087	36.6639376573674	36.65356610277022	36.66151931569295	36.666939549502004	36.66101753632053	36.65966947307145	36.6687209945812	36.68463324359405	36.69749795276187	36.70227729271671	36.692544115181065	36.68690511780416	36.69198385739043	36.68927110032104	36.67930879595355	36.675265889277114	36.65679983592486	36.65232019169472	36.64068969791875	36.63565226334179	36.55975349446794	36.59576948863609	36.59946414029372	36.602819765172384	36.59998195805089	36.58927409086293	36.60853693116908	36.61276534027086	36.191847851887836
s05_1	33.11025497034646	33.16980932249796	33.18720250114817	33.117261625890755	33.14276469886897	36.61153497834074	36.90843455531414	36.98956369025441	37.07230310627192	37.07591195685647	37.1018132637528	37.07569368891295	37.096459572005394	37.09193686130579	37.11778749357243	37.09255460635344	37.13745327544586	37.11870579363752	37.139381989739334	37.08556517781526	37.08858156146768	37.13554060417182	37.11033311346701	37.07411981542595	37.08427433634291	37.108923991725824	37.04751492444804	37.061634379942035	37.07119365155817	37.03826271977605	37.03273610677476	37.05557224976767	37.04360871561007	37.008956208003255	37.03812768609577	37.037249819175635	37.014020770204645	37.02359016490685	36.985608937962766	36.815273214989126	36.848450356800306	36.94376708566771	36.97368228499009	36.97843889225733	36.95262431238494	36.94640642876349	36.95966050839677	36.93441684689904	36.9364293874491	36.96337710176875	36.47615024601467
s05_2	32.29694551565639	32.33749883525311	32.18359021700226	32.11683160193042	32.24058088280651	36.10506449116219	36.24310863515818	36.13474549792027	36.143096392735956	36.160356550483236	36.16632413932161	36.190758249930354	36.173979678763104	36.16142758482939	36.131137772123054	36.16335286556151	36.153833435096985	36.176104520449286	36.134627750445446	36.17215616168569	36.26280910784118	36.320455110270004	36.12333417514786	36.20669169140903	36.290908604398204	36.13424786832079	36.17081695435767	36.165393880991104	36.184172797645665	36.19633843832868	36.25293128461015	36.17839529786796	36.161597842113245	36.182012081163236	36.19850744271783	36.173926813758065	36.226980783067475	36.1630455026207	36.1576469377783	36.22503395377787	36.15492584040262	36.129452248692616	36.13635045105748	36.07934717579514	36.059367104658854	36.10863083662511	36.05107321880157	36.1352269069023	36.0857901352835	36.07215812710358	35.62919236361746
