Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
s01	41912102	49324208	47087951	48439693	37188166	37188166.0	14580559	2327284	2327284.0	17808982	5189090	5189090.0	85124588	884637	884637.0	36626081	268627	268627.0	161455822	407144	407144.0	301139461	489339	489339.0	34601673	670846	670846.0	147675048	906538	906538.0	279706221	1009435	1009435.0	2236257	75.39536367213438	4.718340333006462	10.520371660098425	1.793514859883812	0.5446149282315896	0.8254445768292925	0.9920868876394326	1.3600745500059523	1.8379169919971141	2.046530579872666	4.533792007364822
s02	38324016	45105893	42989482	48439693	33481402	33481402.0	14580559	2143425	2143425.0	17808982	4750014	4750014.0	85124588	1255389	1255389.0	36626081	248642	248642.0	161455822	370631	370631.0	301139461	446343	446343.0	34601673	603759	603759.0	147675048	820840	820840.0	279706221	912909	912909.0	2116411	74.22844283340095	4.751984402570192	10.530805808456115	2.783203959624522	0.551240610622652	0.8216908597730235	0.9895447585972857	1.3385368514929967	1.8198065605307936	2.0239240136538257	4.692094223697112
s03	46872852	55091740	52622322	48439693	41290391	41290391.0	14580559	2715847	2715847.0	17808982	5856814	5856814.0	85124588	1070566	1070566.0	36626081	318958	318958.0	161455822	481890	481890.0	301139461	570370	570370.0	34601673	747518	747518.0	147675048	1011149	1011149.0	279706221	1118334	1118334.0	2469418	74.94842421023552	4.929680928574774	10.631020185603141	1.9432423081935695	0.5789579345288423	0.8747046290423937	1.0353094674446661	1.3568603932277326	1.8353912945933457	2.0299485912044166	4.482374308743924
s04	38315454	45018980	42971261	48439693	33113362	33113362.0	14580559	2049411	2049411.0	17808982	5403880	5403880.0	85124588	954808	954808.0	36626081	228513	228513.0	161455822	367800	367800.0	301139461	448746	448746.0	34601673	677005	677005.0	147675048	906331	906331.0	279706221	1001054	1001054.0	2047719	73.55422535117411	4.552326596471088	12.003559387618289	2.1209010066420872	0.5075925753981987	0.8169887456357297	0.9967929082355932	1.5038212771591004	2.013219757533378	2.2236265681719134	4.548568181686924
s05	31541812	37118214	35555845	48439693	27600894	27600894.0	14580559	1831631	1831631.0	17808982	3989322	3989322.0	85124588	975640	975640.0	36626081	225018	225018.0	161455822	322552	322552.0	301139461	381905	381905.0	34601673	535963	535963.0	147675048	710395	710395.0	279706221	776453	776453.0	1562369	74.35943442752931	4.934588178191978	10.747613018234121	2.6284669838909815	0.606219900558793	0.868985776093645	1.0288884050294016	1.4439353143445963	1.9138717180735045	2.0918382549332786	4.20917073219094
s06	32613230	37858672	31897677	48439693	24950542	24950542.0	14580559	1443705	1443705.0	17808982	3639329	3639329.0	85124588	548840	548840.0	36626081	184027	184027.0	161455822	283791	283791.0	301139461	367300	367300.0	34601673	428354	428354.0	147675048	721474	721474.0	279706221	947961	947961.0	5960995	65.90443003389025	3.813406344522597	9.612933596825583	1.4497074804948256	0.4860894222597137	0.7496063253354476	0.9701872268525427	1.1314554298153934	1.9057034013237444	2.5039467839759406	15.745388533438257
s07	33650040	39338976	37301576	48439693	28705439	28705439.0	14580559	1926267	1926267.0	17808982	4273916	4273916.0	85124588	1016688	1016688.0	36626081	234314	234314.0	161455822	380553	380553.0	301139461	475623	475623.0	34601673	573041	573041.0	147675048	805966	805966.0	279706221	903643	903643.0	2037400	72.96946163519864	4.8965865303662195	10.86432956465364	2.584429243913212	0.5956281119264517	0.9673688506787771	1.2090375712880783	1.4566749271765487	2.048772189698074	2.2970679257131654	5.179087528867045
s08	38026570	44538399	41233246	48439693	32015927	32015927.0	14580559	1748854	1748854.0	17808982	5271322	5271322.0	85124588	738897	738897.0	36626081	211994	211994.0	161455822	335713	335713.0	301139461	417610	417610.0	34601673	628056	628056.0	147675048	894859	894859.0	279706221	1040636	1040636.0	3305153	71.88387485594173	3.9266207121634524	11.835454615241108	1.6590111377824783	0.4759802883799213	0.75376081659334	0.9376403493982799	1.410144985229487	2.0091853773190187	2.33649170909803	7.420906620374926
s09	36199086	42384761	39735588	48439693	30305748	30305748.0	14580559	1662029	1662029.0	17808982	5145961	5145961.0	85124588	1045500	1045500.0	36626081	230643	230643.0	161455822	384175	384175.0	301139461	488948	488948.0	34601673	647884	647884.0	147675048	956140	956140.0	279706221	1087402	1087402.0	2649173	71.50151914269375	3.9212890689651405	12.141064096126437	2.466688440215577	0.5441649181412159	0.9063988823718977	1.15359385888716	1.5285776885706635	2.2558579485678827	2.5655494435842163	6.250295949527709
s10	25699796	28141993	17623499	48439693	11512421	11512421.0	14580559	421228	421228.0	17808982	3893849	3893849.0	85124588	231614	231614.0	36626081	133864	133864.0	161455822	203047	203047.0	301139461	304185	304185.0	34601673	453086	453086.0	147675048	872365	872365.0	279706221	1260202	1260202.0	10518494	40.90833580976302	1.4967951985490153	13.836436530987694	0.8230191799138035	0.47567348908089063	0.721508956384148	1.0808935955602008	1.6099996897874291	3.0998692949713975	4.478012626895331	37.376507058330944
