Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
s01	21956113	1000062	19712415	1243636	0	2000124	2000124	0	0	95.45
s02	20423425	1261417	17959404	1202604	0	2522834	2522834	0	0	93.82
s03	24287054	850628	22092033	1344393	0	1701256	1701256	0	0	96.5
s04	20176309	1018582	18051842	1105885	0	2037164	2037164	0	0	94.95
s05	16771929	1001023	14904718	866188	0	2002046	2002046	0	0	94.03
s06	19205241	2898626	13234788	3071827	0	5797252	5797252	0	0	84.91
s07	17884282	1059262	15792585	1032435	0	2118524	2118524	0	0	94.08
s08	20561851	1548566	17228998	1784287	0	3097132	3097132	0	0	92.47
s09	19358419	1258876	16765872	1333671	0	2517752	2517752	0	0	93.5
s10	17466651	4616753	7595569	5254329	0	9233506	9233506	0	0	73.57
s11	24952173	750672	22861351	1340150	0	1501344	1501344	0	0	96.99
s12	18873018	761629	16923384	1188005	0	1523258	1523258	0	0	95.96
s13	18237775	1040668	16010661	1186446	0	2081336	2081336	0	0	94.29
s14	18645069	1912364	15675351	1057354	0	3824728	3824728	0	0	89.74
s15	15267116	1484415	12856171	926530	0	2968830	2968830	0	0	90.28
s16	17625824	1960205	14239289	1426330	0	3920410	3920410	0	0	88.88
s17	19381142	1847709	16144205	1389228	0	3695418	3695418	0	0	90.47
s18	12967443	1690879	10299567	976997	0	3381758	3381758	0	0	86.96
s19	11761075	1562148	8980894	1218033	0	3124296	3124296	0	0	86.72
s20	11710168	1393187	9374750	942231	0	2786374	2786374	0	0	88.1
s21	15051203	1433367	12664116	953720	0	2866734	2866734	0	0	90.48
s22	15995887	1554949	13307829	1133109	0	3109898	3109898	0	0	90.28
s23	18932858	1762238	15840516	1330104	0	3524476	3524476	0	0	90.69
s24	19784435	2055867	16217563	1511005	0	4111734	4111734	0	0	89.61
s25	18367704	2241029	13425705	2700970	0	4482058	4482058	0	0	87.8
s26	22216690	3955485	10604658	7656547	0	7910970	7910970	0	0	82.2
s27	14935706	1856539	11685292	1393875	0	3713078	3713078	0	0	87.57
s28	20127391	3825158	10270582	6031651	0	7650316	7650316	0	0	81.0
s29	21241521	2768922	17515672	956927	0	5537844	5537844	0	0	86.96
s30	18704343	2501128	15122594	1080621	0	5002256	5002256	0	0	86.63
s31	19591646	2462465	16005246	1123935	0	4924930	4924930	0	0	87.43
s32	18714359	2675617	14853365	1185377	0	5351234	5351234	0	0	85.7
s33	20820253	2284198	17493150	1042905	0	4568396	4568396	0	0	89.03
s34	20999685	3111689	13891369	3996627	0	6223378	6223378	0	0	85.18
