Sample	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity
s01	18474589.0	1243636.0	1022110.0	215716.0
s02	16722348.0	1202604.0	1070927.0	166129.0
s03	20673916.0	1344393.0	1170351.0	247766.0
s04	16813651.0	1105885.0	1052353.0	185838.0
s05	13896406.0	866188.0	876767.0	131545.0
s06	12404366.0	3071827.0	655385.0	175037.0
s07	14566746.0	1032435.0	1054739.0	171100.0
s08	16121939.0	1784287.0	901214.0	205845.0
s09	15418409.0	1333671.0	1146383.0	201080.0
s10	6996589.0	5254329.0	471282.0	127698.0
s11	21281477.0	1340150.0	1332256.0	247618.0
s12	15703556.0	1188005.0	1064856.0	154972.0
s13	14971030.0	1186446.0	809508.0	230123.0
s14	14862532.0	1057354.0	653311.0	159508.0
s15	12157877.0	926530.0	576028.0	122266.0
s16	13476289.0	1426330.0	609686.0	153314.0
s17	15390790.0	1389228.0	602828.0	150587.0
s18	9694577.0	976997.0	516117.0	88873.0
s19	8564026.0	1218033.0	308580.0	108288.0
s20	8865490.0	942231.0	425164.0	84096.0
s21	12059162.0	953720.0	488060.0	116894.0
s22	12632964.0	1133109.0	544695.0	130170.0
s23	15156886.0	1330104.0	515388.0	168242.0
s24	15283860.0	1511005.0	759699.0	174004.0
s25	12754743.0	2700970.0	529591.0	141371.0
s26	9948022.0	7656547.0	525502.0	131134.0
s27	11049902.0	1393875.0	522961.0	112429.0
s28	9761972.0	6031651.0	394470.0	114140.0
s29	16415293.0	956927.0	932369.0	168010.0
s30	14213680.0	1080621.0	765085.0	143829.0
s31	15159832.0	1123935.0	679593.0	165821.0
s32	13858854.0	1185377.0	859493.0	135018.0
s33	16653233.0	1042905.0	652652.0	187265.0
s34	13034833.0	3996627.0	720112.0	136424.0
s35	13658508.0	1115205.0	604368.0	167210.0
s36	17360486.0	1030456.0	892425.0	178365.0
s37	17227494.0	1011664.0	873105.0	187463.0
s38	14526509.0	733339.0	648606.0	163349.0
s39	11856795.0	981920.0	770615.0	144173.0
s40	14372316.0	846648.0	589480.0	153004.0
s41	19433287.0	1217317.0	1047090.0	182364.0
s42	19953731.0	1304111.0	917571.0	182558.0
s43	19194044.0	1338125.0	1097836.0	164782.0
s44	15563768.0	1000609.0	1000792.0	144206.0
s45	19307104.0	1593746.0	773798.0	203509.0
s46	20531489.0	1300411.0	1010261.0	222397.0
s47	22451821.0	1436636.0	1350767.0	220359.0
s48	21679132.0	1646868.0	993093.0	244979.0
s49	21024739.0	2403835.0	1325668.0	198066.0
s50	22241531.0	1568329.0	1021321.0	227122.0
s51	12096435.0	844377.0	608583.0	131252.0
s52	11395333.0	1352030.0	714700.0	112994.0
s53	16000666.0	1223400.0	790521.0	174265.0
s54	12002501.0	816885.0	748781.0	123925.0
s55	15946835.0	972364.0	682058.0	175337.0
s56	15094961.0	1080051.0	915594.0	163002.0
s57	14990085.0	1470888.0	881115.0	145093.0
s58	14717792.0	1376073.0	771603.0	155432.0
s59	19649402.0	1865344.0	911031.0	209923.0
s60	14943355.0	1555483.0	1051453.0	140926.0
s61	18296027.0	1573211.0	712212.0	198032.0
s62	15017810.0	1859667.0	796323.0	165734.0
s63	14193989.0	878508.0	727123.0	141572.0
s64	18865066.0	1169517.0	937406.0	202796.0
s65	19204802.0	1175042.0	1032520.0	183599.0
s66	21761387.0	1378118.0	1292692.0	194737.0
s67	13784124.0	983227.0	643918.0	136583.0
s68	17474806.0	1125717.0	991338.0	182409.0
s69	16161391.0	1862330.0	853018.0	171804.0
s70	14550782.0	1771349.0	953221.0	141124.0
s71	17418783.0	1099540.0	830892.0	191256.0
s72	22599079.0	1450649.0	1458735.0	235725.0
s73	15831993.0	1108077.0	821421.0	175666.0
s74	14120639.0	1345249.0	822086.0	140250.0
s75	15056428.0	1108626.0	748699.0	151605.0
s76	16618141.0	1191497.0	838340.0	166048.0
