Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s33_2	s33_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20909694.0	0.0	51.0	55.0	34.486084868016405	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s34_1	s34_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21048121.0	0.0	51.0	54.0	30.145769543002448	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
s34_2	s34_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21048121.0	0.0	51.0	55.0	32.04987738945805	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	pass
s35_1	s35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18060314.0	0.0	51.0	54.0	32.939860417447406	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s35_2	s35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18060314.0	0.0	51.0	55.0	34.686496980072754	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
s36_1	s36_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22042069.0	0.0	51.0	52.0	40.17592520545139	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
s36_2	s36_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22042069.0	0.0	51.0	53.0	43.377364659674114	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s37_1	s37_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22051787.0	0.0	51.0	53.0	36.739333417077816	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s37_2	s37_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22051787.0	0.0	51.0	54.0	38.144956884095365	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s38_1	s38_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18375836.0	0.0	51.0	53.0	37.11191713208679	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
s38_2	s38_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18375836.0	0.0	51.0	54.0	39.71732010341063	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s39_1	s39_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16082921.0	0.0	51.0	53.0	37.03399239709342	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
s39_2	s39_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16082921.0	0.0	51.0	55.0	38.61904683727103	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
s40_1	s40_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18208866.0	0.0	51.0	53.0	36.416850203248714	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s40_2	s40_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18208866.0	0.0	51.0	54.0	37.65980537760098	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s41_1	s41_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24742442.0	0.0	51.0	52.0	38.90889507930094	51.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
s41_2	s41_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24742442.0	0.0	51.0	53.0	42.9055673510865	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s42_1	s42_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24990397.0	0.0	51.0	53.0	33.32447388720059	51.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
s42_2	s42_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24990397.0	0.0	51.0	55.0	34.94133486391502	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s43_1	s43_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25363547.0	0.0	51.0	52.0	33.76894149839243	51.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
s43_2	s43_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25363547.0	0.0	51.0	53.0	37.52154572444347	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
s44_1	s44_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20696210.0	0.0	51.0	52.0	43.373832384399044	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s44_2	s44_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20696210.0	0.0	51.0	53.0	48.60545106092979	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
s45_1	s45_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24487553.0	0.0	51.0	53.0	30.482354884637836	51.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
s45_2	s45_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24487553.0	0.0	51.0	54.0	33.068915013671585	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
s46_1	s46_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26286758.0	0.0	51.0	53.0	33.48437442638916	51.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
