Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s61_1	s61_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21884159.0	0.0	51.0	54.0	32.67838446060454	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
s61_2	s61_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21884159.0	0.0	51.0	56.0	33.46084009852283	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s62_1	s62_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19566088.0	0.0	51.0	53.0	36.99833005003842	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s62_2	s62_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19566088.0	0.0	51.0	54.0	38.909015039590734	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s63_1	s63_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17156894.0	0.0	51.0	53.0	40.50289451428685	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
s63_2	s63_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17156894.0	0.0	51.0	54.0	41.393800409164136	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s64_1	s64_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23803745.0	0.0	51.0	50.0	43.6074430772328	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s64_2	s64_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23803745.0	0.0	51.0	51.0	45.24671001302101	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s65_1	s65_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24318396.0	0.0	51.0	51.0	45.14502421821439	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s65_2	s65_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24318396.0	0.0	51.0	51.0	47.1163414213219	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s66_1	s66_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27520340.0	0.0	51.0	51.0	43.82903769321172	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
