Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
s11	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	220264	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	24952173	19047388	0	3131	354333	51453	76.33558808685721	quant	Thu Jan 30 12:06:37 2020	Thu Jan 30 12:12:18 2020
s12	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	201173	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	18873018	13880435	0	1735	286232	41216	73.54645134127462	quant	Thu Jan 30 12:41:16 2020	Thu Jan 30 12:44:01 2020
s13	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	136184	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	18237775	12554579	0	3032	256724	23887	68.83832594710704	quant	Thu Jan 30 12:41:21 2020	Thu Jan 30 12:47:16 2020
s14	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	170666	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	18645069	14035169	0	4300	268850	41373	75.2755004553751	quant	Thu Jan 30 12:41:15 2020	Thu Jan 30 12:47:04 2020
s15	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	161383	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	15267116	11475547	0	2711	233450	35292	75.16512614432222	quant	Thu Jan 30 12:41:16 2020	Thu Jan 30 12:43:00 2020
s16	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	147842	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	17625824	12287526	0	2645	275802	34401	69.71320035874635	quant	Thu Jan 30 12:41:21 2020	Thu Jan 30 12:46:10 2020
s17	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	158764	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	19381142	14682882	0	4087	278364	41298	75.75860080897195	quant	Thu Jan 30 12:37:15 2020	Thu Jan 30 12:41:48 2020
s18	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	134928	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	12967443	9260906	0	4304	192856	29406	71.41659307852751	quant	Thu Jan 30 12:12:25 2020	Thu Jan 30 12:14:02 2020
s19	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	106337	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	11761075	7857567	0	1395	175545	17566	66.80993871733664	quant	Thu Jan 30 12:12:53 2020	Thu Jan 30 12:15:09 2020
s20	0.14.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	99200	0	136738	False	['range_factorized']	[507, 861, 1323, 2067, 15804]	36bbceb9d8881b0cf35a260a48f5dff87a07071d8173295e69a2bd78d03e9162	cf24ca8364ffe3ecfc230f9345ffe0687332a6a53113a95c0f7c68b61b064aaf	04a90d67ce914113dbd69b07c7a46bbae0e452276446eb826977bd667d5a74b7df6fb9b5025ee485679f2e0d01a31bff12767506cac72a002a1ad12b006e61f5	a0683bdd5b94ce785672ffddd2ca2af58ab5ad7fadc6d2ac066b5bb5192ba7400c9300e18d10d80b98242925af61516c9ff8b71369a9be1b262938ad5c8351cb	0	11710168	8448177	0	2903	170978	26207	72.1439436223289	quant	Thu Jan 30 12:12:31 2020	Thu Jan 30 12:14:23 2020
