Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
s01_1 - Adapter 1	4781698	1453457	362487	92041	27365	5420	2033	1573	1671	1790	1201	807	688	566	537	468	429	391	366	298	225	195	116	120	73	67	60	73	75	38	69	61	62	60	55	71	79	62	72	103	122	133	96	106	86	244	136	274	171	272	13082
s01_2 - Adapter 1	4863689	1467568	426397	114979	29908	8574	2670	1638	1966	2090	1495	913	708	609	532	494	454	389	374	294	252	222	166	144	103	155	81	94	93	148	120	302	131	106	90	89	101	125	130	137	179	217	221	611	349	318	272	440	633	3011	6927
s02_1 - Adapter 1	4573468	1359574	340786	87677	26441	5024	2141	1620	1730	1936	1248	955	749	587	598	526	431	458	422	326	230	210	159	138	111	79	79	83	60	62	85	93	82	116	106	133	155	115	128	163	300	221	181	221	182	369	238	518	348	639	29014
s02_2 - Adapter 1	4580062	1390387	402645	111407	28442	7419	2656	1710	1992	2292	1526	1003	758	618	601	525	442	466	433	321	238	224	216	190	140	213	128	169	181	266	234	648	206	244	160	192	178	246	245	234	448	433	423	1369	652	511	640	817	1399	6800	15172
s03_1 - Adapter 1	5315840	1608217	401170	102549	30401	5975	2399	1774	1894	1923	1367	989	777	667	573	497	459	458	379	317	251	194	168	130	111	65	77	98	81	59	67	72	73	92	66	85	95	128	106	124	190	159	151	163	113	372	184	392	376	860	40503
s03_2 - Adapter 1	5379653	1623007	475871	128334	32946	9942	3111	1827	2265	2310	1726	1139	808	703	571	509	488	463	396	316	275	230	242	156	142	275	121	201	214	357	271	900	239	179	167	148	188	337	251	267	506	423	459	1623	736	580	864	810	1815	9449	21137
s04_1 - Adapter 1	4478863	1332020	334420	85457	26388	5725	2212	1646	1735	1817	1199	1017	705	591	547	457	485	390	385	344	248	181	149	98	94	65	85	68	73	57	72	66	63	68	61	81	72	92	85	90	146	124	97	150	76	248	157	324	353	1034	53476
s04_2 - Adapter 1	4500322	1381630	401014	107990	27871	8042	2829	1684	2028	2195	1492	1089	713	625	544	468	483	393	389	335	243	191	243	125	119	325	140	226	289	383	322	1122	319	218	187	174	153	325	230	288	561	450	486	2076	853	528	1063	832	2328	12080	28284
s05_1 - Adapter 1	3713182	1102973	279404	71508	21199	3754	1243	826	960	1129	777	461	378	313	273	229	199	183	178	143	148	91	75	66	43	41	55	32	39	34	37	41	37	47	36	46	44	42	42	54	73	87	63	63	40	137	81	152	119	206	8855
s05_2 - Adapter 1	3779274	1130903	331199	90036	23185	5846	1663	925	1178	1486	986	507	389	319	244	237	215	186	183	141	138	122	144	73	96	253	59	72	90	129	90	275	100	80	68	80	86	104	126	122	192	156	241	574	318	185	284	347	557	2698	5540
s06_1 - Adapter 1	4208228	1229672	280121	75269	18701	3456	1358	972	1080	1074	733	540	432	366	371	285	302	269	227	181	179	111	108	81	59	45	57	58	50	48	55	53	55	79	102	60	81	84	107	91	280	127	153	187	75	258	197	319	189	230	11556
s06_2 - Adapter 1	4288044	1315861	359674	99338	20887	5869	1874	1027	1299	1268	1018	610	429	391	380	306	313	263	240	174	186	135	143	103	74	115	78	107	82	145	138	326	115	155	119	74	104	158	126	145	321	241	247	574	297	317	329	462	555	2666	6082
s07_1 - Adapter 1	3980354	1182204	298790	77594	22384	4292	1406	1047	1221	1341	813	621	491	430	346	308	305	281	256	237	142	131	104	94	79	77	65	59	57	36	49	58	45	53	65	64	75	66	67	65	137	117	76	111	72	211	124	242	226	454	24149
s07_2 - Adapter 1	3982923	1210904	350407	94908	24094	6373	1966	1122	1441	1593	1088	664	471	455	341	314	309	281	283	223	149	151	156	132	100	172	112	114	131	190	147	462	179	149	113	111	117	196	159	173	287	288	248	805	439	345	487	490	1164	5321	12338
s08_1 - Adapter 1	4505232	1347950	328350	84583	24445	5187	2147	1612	1718	1674	1301	932	708	586	540	498	443	412	367	276	262	205	124	110	86	61	68	62	62	59	64	58	57	58	54	69	60	70	89	82	97	151	137	103	82	224	111	301	310	2633	83986
s08_2 - Adapter 1	4567458	1384974	405075	108834	26643	8271	2702	1637	1989	1961	1590	1034	711	650	528	512	463	396	395	286	263	244	209	156	147	364	159	252	289	447	413	1172	326	237	205	172	186	381	328	302	635	483	594	2331	1177	665	1408	1239	3343	18102	50471
s09_1 - Adapter 1	4381830	1278900	326124	84113	23634	4292	1506	1095	1284	1432	930	692	524	442	360	352	348	283	295	226	195	150	99	87	88	53	47	51	47	33	45	51	50	49	49	49	60	50	60	62	85	110	127	76	53	165	95	218	171	776	27650
s09_2 - Adapter 1	4367724	1314000	384442	105291	25615	6561	1945	1147	1559	1603	1266	775	537	460	367	372	356	298	308	228	192	168	146	109	102	177	103	152	167	200	183	608	167	125	121	83	119	250	171	153	319	261	277	1123	521	310	551	537	1353	6388	14356
s10_1 - Adapter 1	3881267	1054313	207430	60995	10814	2048	773	642	661	678	504	351	296	220	212	170	148	157	122	110	97	65	64	41	22	31	33	23	20	17	27	38	22	25	45	13	29	25	33	29	121	50	87	59	26	97	77	212	289	2925	113457
s10_2 - Adapter 1	3934172	1219274	321161	81985	13918	3883	1061	666	836	831	693	434	314	260	223	183	167	186	153	127	116	124	222	82	138	657	224	361	429	785	636	2405	443	338	308	225	246	643	425	407	1109	634	845	4020	1731	792	2066	1269	5176	26647	57757
s11_1 - Adapter 1	5464883	1639700	409067	103168	31224	6329	1783	1185	1369	1533	967	654	481	418	358	294	291	258	235	222	187	123	101	96	85	69	94	91	81	99	80	96	78	96	115	96	130	120	139	127	132	263	240	128	111	340	172	426	277	1138	42987
s11_2 - Adapter 1	5508680	1663293	487410	130584	33105	9357	2705	1294	1744	2017	1335	749	498	439	375	306	281	260	253	219	198	146	187	108	126	366	154	247	211	374	289	932	290	227	180	190	219	351	263	306	484	485	490	1654	855	587	832	904	2205	10012	22581
s12_1 - Adapter 1	4226511	1241998	310026	79352	23402	4313	1140	702	869	992	682	408	281	246	222	185	170	160	158	118	105	90	64	62	53	37	51	47	41	48	55	57	46	49	39	45	62	56	59	88	120	163	161	80	85	229	101	258	155	698	26241
