Sample	Unique Reads	Duplicate Reads
s01_1	10390808.0	11608120.0
s01_2	10982037.0	11016891.0
s02_1	9533780.0	10969832.0
s02_2	10173238.0	10330374.0
s03_1	11168204.0	13193055.0
s03_2	11832095.0	12529164.0
s04_1	9640450.0	10623436.0
s04_2	10198774.0	10065112.0
s05_1	8192065.0	8700017.0
s05_2	9026133.0	7865949.0
s06_1	7481605.0	11768733.0
s06_2	7996133.0	11254205.0
s07_1	9209920.0	8729243.0
s07_2	9770568.0	8168595.0
s08_1	9650425.0	11022505.0
s08_2	9843765.0	10829165.0
s09_1	9425794.0	9991299.0
s09_2	9956326.0	9460767.0
s10_1	4262539.0	13348726.0
s10_2	4635457.0	12975808.0
s11_1	11334305.0	13713176.0
s11_2	12110107.0	12937374.0
s12_1	8743828.0	10194306.0
s12_2	9371248.0	9566886.0
s13_1	7021069.0	11394963.0
s13_2	7035441.0	11380591.0
s14_1	6987649.0	11689019.0
s14_2	7392646.0	11284022.0
s15_1	6215147.0	9088655.0
s15_2	6294866.0	9008936.0
s16_1	6346330.0	11346780.0
s16_2	6292257.0	11400853.0
s17_1	6655717.0	12767398.0
s17_2	6833537.0	12589578.0
s18_1	4671085.0	8327753.0
s18_2	5031674.0	7967164.0
s19_1	4023996.0	7763650.0
s19_2	4086557.0	7701089.0
s20_1	4723145.0	7046995.0
s20_2	4960692.0	6809448.0
s21_1	6151683.0	8934918.0
s21_2	6091818.0	8994783.0
s22_1	7375850.0	8651285.0
s22_2	7493499.0	8533636.0
s23_1	6190868.0	12783683.0
s23_2	6150388.0	12824163.0
s24_1	7952623.0	11914426.0
s24_2	7952118.0	11914931.0
s25_1	6360863.0	12080022.0
s25_2	6400058.0	12040827.0
s26_1	5227381.0	17071095.0
s26_2	5640868.0	16657608.0
s27_1	5245352.0	9759574.0
s27_2	5339350.0	9665576.0
s28_1	4432451.0	15741586.0
s28_2	4800568.0	15373469.0
s29_1	8528808.0	12779563.0
s29_2	9036821.0	12271550.0
s30_1	7624237.0	11151669.0
s30_2	8007543.0	10768363.0
s31_1	7386665.0	12294570.0
s31_2	7763290.0	11917945.0
s32_1	6819211.0	12032737.0
s32_2	7318246.0	11533702.0
s33_1	7000449.0	13909245.0
s33_2	7210935.0	13698759.0
s34_1	6345119.0	14703002.0
s34_2	6745897.0	14302224.0
s35_1	5949043.0	12111271.0
s35_2	6264491.0	11795823.0
s36_1	8855606.0	13186463.0
s36_2	9561269.0	12480800.0
s37_1	8101680.0	13950107.0
s37_2	8411645.0	13640142.0
s38_1	6819626.0	11556210.0
s38_2	7298390.0	11077446.0
s39_1	5956148.0	10126773.0
s39_2	6211071.0	9871850.0
s40_1	6631096.0	11577770.0
s40_2	6857424.0	11351442.0
s41_1	9627011.0	15115431.0
s41_2	10615886.0	14126556.0
s42_1	8327919.0	16662478.0
s42_2	8731979.0	16258418.0
s43_1	8565002.0	16798545.0
s43_2	9516795.0	15846752.0
s44_1	8976740.0	11719470.0
s44_2	10059487.0	10636723.0
s45_1	7464383.0	17023170.0
s45_2	8097769.0	16389784.0
s46_1	8801957.0	17484801.0
s46_2	9452571.0	16834187.0
s47_1	10766809.0	18194252.0
s47_2	11537087.0	17423974.0
s48_1	9321099.0	18474799.0
s48_2	10005914.0	17789984.0
s49_1	8709048.0	19388839.0
s49_2	9193862.0	18904025.0
s50_1	8968348.0	19236340.0
s50_2	9380281.0	18824407.0
s51_1	5988260.0	8946729.0
s51_2	6075043.0	8859946.0
s52_1	5515236.0	9962171.0
s52_2	5669453.0	9807954.0
s53_1	7323331.0	12060157.0
s53_2	7173641.0	12209847.0
s54_1	7338684.0	8801372.0
s54_2	8521220.0	7618836.0
s55_1	6439109.0	12837942.0
s55_2	6816322.0	12460729.0
s56_1	7431812.0	11061412.0
s56_2	8182453.0	10310771.0
s57_1	6617979.0	12377802.0
s57_2	6711778.0	12284003.0
s58_1	6807509.0	11697041.0
s58_2	7012929.0	11491621.0
s59_1	8298225.0	15362690.0
s59_2	8435505.0	15225410.0
s60_1	6869786.0	11896661.0
s60_2	6846166.0	11920281.0
s61_1	7151390.0	14732769.0
s61_2	7322624.0	14561535.0
s62_1	7239126.0	12326962.0
s62_2	7612973.0	11953115.0
s63_1	6949039.0	10207855.0
s63_2	7101891.0	10055003.0
s64_1	10380205.0	13423540.0
s64_2	10770412.0	13033333.0
s65_1	10978546.0	13339850.0
s65_2	11457939.0	12860457.0
s66_1	12061901.0	15458439.0
s66_2	12452963.0	15067377.0
s67_1	7902605.0	9789548.0
s67_2	8759717.0	8932436.0
s68_1	9895334.0	11848393.0
s68_2	10356698.0	11387029.0
s69_1	8691124.0	12669744.0
s69_2	9220216.0	12140652.0
s70_1	7435601.0	12231167.0
s70_2	7786633.0	11880135.0
s71_1	8694201.0	14110934.0
s71_2	8965058.0	13840077.0
s72_1	11748102.0	17227940.0
s72_2	12378828.0	16597214.0
s73_1	8173591.0	13039751.0
s73_2	8566344.0	12646998.0
s74_1	7349009.0	12260118.0
s74_2	8063128.0	11545999.0
s75_1	9217923.0	11310917.0
s75_2	10002726.0	10526114.0
s76_1	9671374.0	12953890.0
s76_2	10756205.0	11869059.0
