Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
s01	0.00212173446687863	88.15873276887902	18474589	75.84619827744555	16652877	95.45							
s01.sorted							0.0446117178469054						
s01_1								0.9956462869641719	52.76675485338016	52.0	51.0	18.181818181818183	21998928.0
s01_2								1.211698080175971	50.079218924843055	53.0	51.0	9.090909090909092	21998928.0
s02	0.00289672558733267	87.2682445388813	16722348	74.10795202078006	15135382	93.82							
s02.sorted							0.07076302462096722						
s02_1								1.1046871385679868	53.50195307013239	51.0	51.0	18.181818181818183	20503612.0
s02_2								1.4407626917484722	50.38319392715084	51.0	51.0	9.090909090909092	20503612.0
s03	0.00181767760128248	88.21275052774685	20673916	76.20122638175879	18507033	96.5							
s03.sorted							0.05308824388417494						
s03_1								1.1080374078576893	54.15588700520921	52.0	51.0	18.181818181818183	24361259.0
s03_2								1.3167373012771035	51.430695694457164	53.0	51.0	18.181818181818183	24361259.0
s04	0.00261122201412957	87.76433133220867	16813651	74.07115444157799	14944825	94.95							
s04.sorted							0.03484923684000907						
s04_1								1.2143619519406468	52.425463494952375	51.0	51.0	18.181818181818183	20263886.0
s04_2								1.4564130609150743	49.67019706027557	52.0	51.0	9.090909090909092	20263886.0
s05	0.00394712567721207	88.11418950819947	13896406	74.60890753830404	12513353	94.03							
s05.sorted							0.04489586479107113						
s05_1								1.0003607885983643	51.503526262750945	51.0	51.0	27.27272727272727	16892082.0
s05_2								1.87521156071705	46.56589917726789	52.0	51.0	0.0	16892082.0
s06	0.00197853997429424	76.0695337444344	12404366	58.91137736829233	11314072	84.91							
s06.sorted							1.1184150428340434						
s06_1								0.9740567448024783	61.13520459564481	52.0	51.0	18.181818181818183	19250338.0
s06_2								1.2545855599227074	58.46237763939921	53.0	51.0	9.090909090909092	19250338.0
s07	0.00281484452699964	86.57788222540003	14566746	73.40840409472406	13128566	94.08							
s07.sorted							0.04053936865421258						
s07_1								1.0858477622395204	48.66026288050765	51.0	51.0	9.090909090909092	17939163.0
s07_2								1.3497162823124391	45.53498501016444	52.0	51.0	0.0	17939163.0
s08	0.00195478864230011	84.79302235252877	16121939	70.07788355240974	14409310	92.47							
s08.sorted							0.20297377499811664						
s08_1								1.3487027361337731	53.31854515365348	52.0	51.0	18.181818181818183	20672930.0
s08_2								1.547189450923806	52.38331172751447	53.0	51.0	9.090909090909092	20672930.0
s09	0.00510715616886798	85.18673095779269	15418409	71.48878738496155	13839099	93.5							
s09.sorted							0.08968300993728026						
s09_1								1.0960949937960616	51.456204855813525	51.0	51.0	18.181818181818183	19417093.0
s09_2								1.342063942947426	48.723910435731725	51.0	51.0	0.0	19417093.0
