Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
s10	0.00546745095181897	54.44859562309367	6996589	32.069358917173076	5601443	73.57							
s10.sorted							3.628798217016345						
s10_1								1.535811333947724	75.7965216096733	53.0	51.0	18.181818181818183	17611265.0
s10_2								1.805998804141086	73.67902538816168	53.0	51.0	9.090909090909092	17611265.0
s11	0.00180412616111959	87.93453348203485	21281477	76.33558808685721	19047388	96.99							
s11.sorted							0.023926830700296418						
s11_1								1.105249963099299	54.748725701211164	52.0	51.0	27.27272727272727	25047481.0
s11_2								1.4118496175558826	51.65139949323477	53.0	51.0	18.181818181818183	25047481.0
s12	0.00216009953675782	86.7054205505718	15703556	73.54645134127462	13880435	95.96							
s12.sorted							0.0732970851211653						
s12_1								1.078318652579758	53.82951669368654	51.0	51.0	18.181818181818183	18938134.0
s12_2								1.3709985842301455	50.51651986056925	52.0	51.0	9.090909090909092	18938134.0
s13	0.00971762992042292	87.05551462812903	14971030	68.83832594710704	12554579	94.29							
s13.sorted							0.11357326737670992						
s13_1								1.6512192139084545	61.875237398317715	53.0	51.0	9.090909090909092	18416032.0
s13_2								1.9685141515741904	61.79719884180483	54.0	51.0	9.090909090909092	18416032.0
s14	0.0029568587725315	88.82324764585283	14862532	75.2755004553751	14035169	89.74							
s14.sorted							0.024749431992539185						
s14_1								0.9535033072217354	62.58621366936818	52.0	51.0	18.181818181818183	18676668.0
s14_2								1.1902573401460361	60.41775140227114	53.0	51.0	9.090909090909092	18676668.0
s15	0.00283067531182946	88.2111351033444	12157877	75.16512614432222	11475547	90.28							
s15.sorted							0.036080864832080506						
s15_1								1.017888285820329	59.3882220407733	53.0	51.0	27.27272727272727	15303802.0
s15_2								1.236575836821849	58.86730955982487	54.0	51.0	9.090909090909092	15303802.0
s16	0.00532553481225506	86.02461862502848	13476289	69.71320035874635	12287526	88.88							
s16.sorted							0.07910429552483422						
s16_1								1.1026410291694249	64.13106726257836	53.0	51.0	9.090909090909092	17693110.0
s16_2								1.3630963536365397	64.43668283828504	55.0	51.0	9.090909090909092	17693110.0
s17	0.00234581616102594	87.77967212695881	15390790	75.75860080897195	14682882	90.47							
s17.sorted							0.044861032230069216						
s17_1								0.9483412509512809	65.73301101717853	54.0	51.0	18.181818181818183	19423115.0
s17_2								1.2196461510411893	64.81750681030306	55.0	51.0	9.090909090909092	19423115.0
s18	0.00729853746086856	85.9710191863408	9694577	71.41659307852751	9260906	86.96							
s18.sorted							0.063881602139527						
s18_1								0.9931726355908452	64.06536627513975	53.0	51.0	9.090909090909092	12998838.0
s18_2								1.244795730142624	61.29136060855266	55.0	51.0	9.090909090909092	12998838.0
s19	0.00403721627731639	83.96987251698145	8564026	66.80993871733664	7857567	86.72							
s19.sorted							0.1119632870315484						
s19_1								0.986159910262713	65.86260562510009	54.0	51.0	9.090909090909092	11787646.0
s19_2								1.2116507234711298	65.33186663052598	56.0	51.0	9.090909090909092	11787646.0
s20	0.00408922667588072	85.93104901521095	8865490	72.1439436223289	8448177	88.1							
s20.sorted							0.0543466341787851						
s20_1								0.9295927877580012	59.87180672798231	54.0	51.0	18.181818181818183	11770140.0
s20_2								1.5869421580838476	57.853591874078	55.0	51.0	9.090909090909092	11770140.0
s21	0.00303432354662515	88.55417263065878	12059162	75.72289072175825	11397206	90.48							
s21.sorted							0.047484274738949526						
s21_1								0.9834613002156097	59.224198456533244	53.0	51.0	18.181818181818183	15086601.0
s21_2								1.2393299505029818	59.62100431396011	54.0	51.0	18.181818181818183	15086601.0
s22	0.0031319344781556	87.48021769777004	12632964	74.52568900993111	11921045	90.28							
s22.sorted							0.05532263511420352						
s22_1								0.9627015095850587	53.97898815641617	53.0	51.0	27.27272727272727	16027135.0
s22_2								1.2328289295793982	53.24492788685354	54.0	51.0	18.181818181818183	16027135.0
s23	0.00253914090547672	88.27221148683041	15156886	76.36647884857109	14458357	90.69							
s23.sorted							0.05060731058488245						
s23_1								0.985196992974184	67.3727869527481	54.0	51.0	18.181818181818183	18974551.0
s23_2								1.2170133750696486	67.58612488862369	55.0	51.0	9.090909090909092	18974551.0
s24	0.00381960037237213	86.21034705115494	15283860	70.09114993680639	13867138	89.61							
s24.sorted							0.06394618080091216						
s24_1								1.1973139099645378	59.97079212696088	52.0	51.0	9.090909090909092	19867049.0
s24_2								1.4292442076265253	59.973330757802664	54.0	51.0	9.090909090909092	19867049.0
s25	0.00344072424621753	79.09096574464358	12754743	66.38549924367248	12193492	87.8							
s25.sorted							0.2753284299797065						
s25_1								1.1414303746544596	65.5067417685857	54.0	51.0	9.090909090909092	18440885.0
s25_2								1.3909520217988347	65.29419738695296	55.0	51.0	9.090909090909092	18440885.0
s26	0.00223262308794779	54.47626265627049	9948022	45.802673575586645	10175838	82.2							
s26.sorted							1.219146910108592						
s26_1								1.0174977437744104	76.55723092504874	54.0	51.0	18.181818181818183	22298476.0
s26_2								1.4216154872435862	74.70290257793391	54.0	51.0	9.090909090909092	22298476.0
s27	0.00371830741055317	84.48475350150358	11049902	70.78057776445252	10571579	87.57							
s27.sorted							0.11432708416426829						
s27_1								1.1568909266928766	65.04247307518278	53.0	51.0	9.090909090909092	15004926.0
s27_2								1.4511371720428972	64.41602298561108	55.0	51.0	9.090909090909092	15004926.0
s28	0.00283983443701469	59.88119541660336	9761972	50.139931201217294	10091860	81.0							
s28.sorted							0.7094566853701929						
s28_1								0.9317612669447273	78.02893863211015	53.0	51.0	18.181818181818183	20174037.0
s28_2								1.278073882977491	76.20422790461961	54.0	51.0	9.090909090909092	20174037.0
s29	0.00365391019598954	88.86293152360423	16415293	71.40374269808645	15167241	86.96							
s29.sorted							0.02959386852715627						
s29_1								1.0984883846454374	59.97437980228773	52.0	51.0	18.181818181818183	21308371.0
s29_2								1.318719332618797	57.590281058927026	53.0	51.0	18.181818181818183	21308371.0
s30	0.00501301050043826	87.7213565332559	14213680	71.13622221320472	13305563	86.63							
s30.sorted							0.06928388265371917						
s30_1								1.1516802020465098	59.39350821008747	52.0	51.0	9.090909090909092	18775906.0
s30_2								1.3774430473006516	57.35203083557226	53.0	51.0	18.181818181818183	18775906.0
s31	0.0044131169606006	88.50295878127507	15159832	73.24141626487126	14349199	87.43							
s31.sorted							0.04297949344430435						
s31_1								1.2096771963990365	62.46849135780741	53.0	51.0	18.181818181818183	19681235.0
s31_2								1.4509051836611342	60.55486434585325	54.0	51.0	18.181818181818183	19681235.0
s32	0.00533497835769216	86.40860985231885	13858854	71.36864799911126	13356185	85.7							
s32.sorted							0.029211040070421287						
s32_1								1.0088703081631296	63.827552908765696	53.0	51.0	27.27272727272727	18851948.0
s32_2								1.89312957961463	61.1804262427465	54.0	51.0	9.090909090909092	18851948.0
s33	0.00301589539783386	89.84238016125869	16653233	75.8432426349478	15790755	89.03							
s33.sorted							0.0216984482667629						
s33_1								1.165346054885581	66.52056016007074	54.0	51.0	27.27272727272727	20909694.0
s33_2								1.4098651572618826	65.5139151319836	55.0	51.0	9.090909090909092	20909694.0
s34	0.00300546888803611	72.86916320866797	13034833	61.29506228307711	12871770	85.18							
s34.sorted							0.30986416115855325						
s34_1								0.9758936415740099	69.85423045699756	54.0	51.0	18.181818181818183	21048121.0
s34_2								1.2450367571397698	67.95012261054195	55.0	51.0	9.090909090909092	21048121.0
s35	0.00418222585467894	87.86267172483294	13658508	72.41340020382759	13041174	86.32							
s35.sorted							0.0291709583235409						
s35_1								1.0264783640321786	67.0601395825526	54.0	51.0	18.181818181818183	18060314.0
s35_2								1.2726030014717113	65.31350301992725	55.0	51.0	9.090909090909092	18060314.0
s36	0.00293358783241202	89.20319116510288	17360486	74.33619538690036	16341363	88.53							
s36.sorted							0.01345158092886562						
s36_1								1.0354585597027142	59.82407479454861	52.0	51.0	27.27272727272727	22042069.0
s36_2								1.2839765631801625	56.622635340325886	53.0	51.0	18.181818181818183	22042069.0
s37	0.00419765697024935	89.26289419860157	17227494	74.14680428943699	16309598	87.74							
s37.sorted							0.014522443585682158						
s37_1								1.0101497825612615	63.260666582922184	53.0	51.0	18.181818181818183	22051787.0
s37_2								1.2390080303455946	61.855043115904635	54.0	51.0	18.181818181818183	22051787.0
s38	0.00314303729422291	90.38506134003758	14526509	75.6131255453958	13840504	87.8							
s38.sorted							0.008314218581351698						
s38_1								1.040210483751703	62.88808286791321	53.0	51.0	27.27272727272727	18375836.0
s38_2								1.4127140643170908	60.28267989658937	54.0	51.0	18.181818181818183	18375836.0
s39	0.00488799738688121	86.2092733756629	11856795	70.76248886849879	11333662	85.87							
s39.sorted							0.026635981482111767						
s39_1								1.0828832331015044	62.96600760290658	53.0	51.0	18.181818181818183	16082921.0
s39_2								1.3872521457182228	61.38095316272897	55.0	51.0	18.181818181818183	16082921.0
s40	0.00426052516490097	90.043935863463	14372316	74.81360631099011	13580795	87.93							
s40.sorted							0.022179323205327117						
s40_1								1.0461870822794161	63.583149796751286	53.0	51.0	9.090909090909092	18208866.0
s40_2								1.3004961859960815	62.34019462239902	54.0	51.0	18.181818181818183	18208866.0
s41	0.0032563776499227	88.81734682787405	19433287	74.37945136404154	18367348	88.6							
s41.sorted							0.020617161459829756						
s41_1								0.9847715492745813	61.09110492069906	52.0	51.0	27.27272727272727	24742442.0
s41_2								1.2149521196388446	57.0944326489135	53.0	51.0	18.181818181818183	24742442.0
s42	0.00317714450884963	89.24660918470643	19953731	75.91895809103998	18929343	89.67							
s42.sorted							0.025691250710125256						
s42_1								1.0032554881451652	66.67552611279942	53.0	51.0	27.27272727272727	24990397.0
s42_2								1.2213528323244622	65.05866513608498	55.0	51.0	18.181818181818183	24990397.0
s43	0.00385579831668049	88.06713275059765	19194044	72.30044640161222	18294020	86.14							
s43.sorted							0.02030012629637698						
s43_1								1.0062815199881538	66.23105850160758	52.0	51.0	18.181818181818183	25363547.0
s43_2								1.2603256717904914	62.47845427555653	53.0	51.0	9.090909090909092	25363547.0
s44	0.00703330922046915	87.88434374448562	15563768	71.50296137106454	14697438	86.16							
s44.sorted							0.026324872510809613						
s44_1								0.945246951580251	56.626167615600956	52.0	51.0	9.090909090909092	20696210.0
s44_2								1.8036034086415236	51.39454893907021	53.0	51.0	18.181818181818183	20696210.0
s45	0.00246588870757113	88.2483108609194	19307104	75.11186667476453	18353167	89.54							
s45.sorted							0.027431190608085763						
s45_1								0.9799487543252496	69.51764511536217	53.0	51.0	18.181818181818183	24487553.0
s45_2								1.2325216494962268	66.93108498632841	54.0	51.0	9.090909090909092	24487553.0
s46	0.00459325409073179	89.01748301441546	20531489	74.16614783821223	19433953	88.02							
s46.sorted							0.0139332780279973						
s46_1								1.064523758744709	66.51562557361083	53.0	51.0	18.181818181818183	26286758.0
s46_2								1.332457962294171	64.04056059071367	54.0	51.0	18.181818181818183	26286758.0
s47	0.00411897809504869	88.18613014989288	22451821	72.49384558702964	20947478	88.11							
s47.sorted							0.025153975328694737						
s47_1								1.009466659049407	62.8231544691876	52.0	51.0	18.181818181818183	28961061.0
s47_2								1.2489261180795856	60.16345191071652	53.0	51.0	9.090909090909092	28961061.0
s48	0.00351717973297802	88.25544885229127	21679132	73.3433699304019	20302443	88.74							
s48.sorted							0.02991060524376892						
s48_1								1.0651362876580976	66.46592169140506	53.0	51.0	18.181818181818183	27795898.0
s48_2								1.4523514140361964	64.00219526259278	54.0	51.0	9.090909090909092	27795898.0
s49	0.00353663360968015	84.2596965378914	21024739	71.24347800745585	19923919	89.22							
s49.sorted							0.04582650032254044						
s49_1								1.121552621502443	69.00461673948041	54.0	51.0	9.090909090909092	28097887.0
s49_2								1.4509906238940777	67.27917164794206	55.0	51.0	9.090909090909092	28097887.0
s50	0.00254536760171294	88.75912706459013	22241531	74.86669530788815	21057974	89.09							
s50.sorted							0.029212866918152124						
s50_1								1.019048294938993	68.20263408185954	53.0	51.0	27.27272727272727	28204688.0
s50_2								1.2690292659789013	66.7421230443061	55.0	51.0	18.181818181818183	28204688.0
s51	0.00439112910839027	88.42005060140797	12096435	74.67702351164263	11083062	92.18							
s51.sorted							0.022832316047735918						
s51_1								1.332871525290541	59.90449103135009	53.0	51.0	18.181818181818183	14934989.0
s51_2								1.579346036764708	59.323419022000216	54.0	51.0	9.090909090909092	14934989.0
s52	0.0101280311772692	83.9431687100835	11395333	70.10804639903152	10792392	88.18							
s52.sorted							0.042241928354905284						
s52_1								1.1960230350030627	64.36589516315908	53.0	51.0	18.181818181818183	15477407.0
s52_2								1.4923402132375985	63.369495585318525	54.0	51.0	18.181818181818183	15477407.0
s53	0.00505790552937506	87.96963106852483	16000666	75.89802225071412	14671282	94.1							
s53.sorted							0.02411538742459299						
s53_1								1.0164932293777822	62.21871880050138	53.0	51.0	9.090909090909092	19383488.0
s53_2								1.2368020273184042	62.990971112533664	54.0	51.0	9.090909090909092	19383488.0
s54	0.00741500656049588	87.66009606128851	12002501	71.6408302604731	11381727	86.18							
s54.sorted							0.014758136279454848						
s54_1								0.9862826289292366	54.53123781199969	51.0	51.0	9.090909090909092	16140056.0
s54_2								2.784273450585593	47.20452546908507	52.0	51.0	9.090909090909092	16140056.0
s55	0.00331365402221066	89.70692023455112	15946835	77.78360412859381	14952350	92.48							
s55.sorted							0.009289561532074726						
s55_1								0.9862509469898466	66.59702704676448	54.0	51.0	27.27272727272727	19277051.0
s55_2								1.2320718435981668	64.64022795361429	55.0	51.0	9.090909090909092	19277051.0
s56	0.00424224893212892	87.48872119964706	15094961	74.64058903872412	13777975	93.47							
s56.sorted							0.01695861985186278						
s56_1								0.9389359552004815	59.81332765247212	53.0	51.0	27.27272727272727	18493224.0
s56_2								1.1781082415831408	55.754319426904644	54.0	51.0	18.181818181818183	18493224.0
s57	0.00524439083735674	85.72042000365869	14990085	74.80960496448407	14129620	92.59							
s57.sorted							0.019154956854385684						
s57_1								1.1815878648909193	65.16079663296131	54.0	51.0	18.181818181818183	18995781.0
s57_2								1.5107971895980274	64.66700962000155	55.0	51.0	9.090909090909092	18995781.0
s58	0.00423247360942857	86.4689411253224	14717792	75.01211368777312	13833695	92.29							
s58.sorted							0.07636663389355054						
s58_1								1.0513297709874323	63.21170399024212	53.0	51.0	18.181818181818183	18504550.0
s58_2								1.304330821444498	62.101598740734474	54.0	51.0	9.090909090909092	18504550.0
s59	0.00293035498828112	86.8071320966438	19649402	76.0025656356849	17946973	95.86							
s59.sorted							0.0377156193892974						
s59_1								0.9702996875383961	64.92855537488765	53.0	51.0	18.181818181818183	23660915.0
s59_2								1.1793057428749678	64.34835697417844	54.0	51.0	9.090909090909092	23660915.0
s60	0.00340072417965363	84.46764855125569	14943355	73.86410967156883	13820116	94.55							
s60.sorted							0.02879004476496815						
s60_1								1.0526187362738506	63.393256400655744	54.0	51.0	9.090909090909092	18766447.0
s60_2								1.2472277428611465	63.51911999256238	55.0	51.0	9.090909090909092	18766447.0
s61	0.00181626921582803	88.04852305750451	18296027	77.87039153910868	16965637	95.38							
s61.sorted							0.032792820180370254						
s61_1								1.0698175270406827	67.32161553939545	54.0	51.0	18.181818181818183	21884159.0
s61_2								1.4091694469636287	66.53915990147718	56.0	51.0	9.090909090909092	21884159.0
s62	0.00291016340913818	84.18274827133936	15017810	71.7859855892484	13978259	91.62							
s62.sorted							0.06199994737719846						
s62_1								1.0742732778364321	63.00166994996158	53.0	51.0	18.181818181818183	19566088.0
s62_2								1.4606086837192844	61.090984960409266	54.0	51.0	9.090909090909092	19566088.0
s63	0.00389777365684549	89.03969665505565	14193989	76.60738968743665	12963265	94.21							
s63.sorted							0.023986240810542157						
s63_1								1.9758350291645295	59.49710548571315	53.0	51.0	27.27272727272727	17156894.0
s63_2								2.299988267221374	58.606199590835864	54.0	51.0	9.090909090909092	17156894.0
s64	0.00321612956954278	89.09212537459058	18865066	73.98677594267575	17564286	89.2							
s64.sorted							0.03780641100941174						
s64_1								1.0646881281026306	56.3925569227672	50.0	51.0	18.181818181818183	23803745.0
s64_2								1.3099727317170091	54.75328998697899	51.0	51.0	9.090909090909092	23803745.0
s65	0.00328980327839482	88.92774080044498	19204802	73.4067536129854	17813451	88.99							
s65.sorted							0.03732902053793241						
s65_1								1.0115585893469774	54.85497578178561	51.0	51.0	18.181818181818183	24318396.0
s65_2								1.251374054601363	52.8836585786781	51.0	51.0	18.181818181818183	24318396.0
s66	0.00291390031140871	88.3641747689745	21761387	72.78148052592836	19989569	89.67							
s66.sorted							0.06322076274532583						
s66_1								1.0010275180851262	56.17096230678828	51.0	51.0	18.181818181818183	27520340.0
s66_2								1.232878065075205	54.74996942542239	52.0	51.0	18.181818181818183	27520340.0
s67	0.00743032468573129	88.65613076327199	13784124	74.48924091802974	13040745	88.81							
s67.sorted							0.03564493672879885						
s67_1								0.9869486805152279	55.33271542635331	51.0	51.0	9.090909090909092	17692153.0
s67_2								2.189149319807621	50.48812572870441	52.0	51.0	18.181818181818183	17692153.0
s68	0.00358237438777356	88.37143419200811	17474806	73.9666088757848	16039293	91.19							
s68.sorted							0.01831448557303332						
s68_1								1.0132538771423367	54.49108906700244	51.0	51.0	18.181818181818183	21743727.0
s68_2								1.320425183129017	52.36926477943465	52.0	51.0	18.181818181818183	21743727.0
s69	0.00461984754440677	84.84318721909597	16161391	70.40120014775641	15001118	89.4							
s69.sorted							0.15097969434382505						
s69_1								0.9921560175124997	59.31287366164529	52.0	51.0	18.181818181818183	21360868.0
s69_2								1.3171742044249086	56.835952677884116	53.0	51.0	9.090909090909092	21360868.0
s70	0.00730803103811473	83.54607441826923	14550782	68.9790148190643	13522137	88.84							
s70.sorted							0.06075122149892632						
s70_1								1.0641913262803846	62.19205485842954	52.0	51.0	18.181818181818183	19666768.0
s70_2								1.3519583380651135	60.40715531222985	53.0	51.0	9.090909090909092	19666768.0
s71	0.00567294293235538	89.14208362735985	17418783	72.16842372859767	16374508	86.12							
s71.sorted							0.02828652659757766						
s71_1								1.178483894689748	61.876129845833574	52.0	51.0	18.181818181818183	22805135.0
s71_2								1.5287066173611217	60.68842812701226	53.0	51.0	9.090909090909092	22805135.0
s72	0.00235221616180485	87.7832270336124	22599079	72.5157746841594	20955180	89.09							
s72.sorted							0.0143329221697773						
s72_1								1.040589420221645	59.45581164923331	52.0	51.0	27.27272727272727	28976042.0
s72_2								1.309401489306911	57.27909598119074	52.0	51.0	18.181818181818183	28976042.0
s73	0.00639233576253475	88.2636696551187	15831993	71.55944263969297	15106871	84.97							
s73.sorted							0.02837661376745487						
s73_1								1.1440436964660463	61.469574483812885	52.0	51.0	18.181818181818183	21213342.0
s73_2								1.5117616850309972	59.61813153293271	53.0	51.0	18.181818181818183	21213342.0
s74	0.00734088144319819	85.95353338254945	14120639	69.93971020812741	13587654	84.56							
s74.sorted							0.047629052444395276						
s74_1								1.132446350810288	62.52251299521743	53.0	51.0	18.181818181818183	19609127.0
s74_2								1.988781380561545	58.88074347909908	54.0	51.0	18.181818181818183	19609127.0
s75	0.00523368403681565	88.22802310974079	15056428	70.84842762028248	14474078	83.53							
s75.sorted							0.12264430012458655						
s75_1								1.0656251897139752	55.097694464618655	50.0	51.0	18.181818181818183	20528840.0
s75_2								1.5446098766227339	51.27476398015026	51.0	51.0	18.181818181818183	20528840.0
s76	0.00505014352301549	88.3284683459032	16618141	71.51437136763414	16099080	83.57							
s76.sorted							0.08596080149276292						
s76_1								1.0963846502238712	57.25409821630533	50.0	51.0	18.181818181818183	22625264.0
s76_2								1.5605303772237038	52.45931832074369	51.0	51.0	27.27272727272727	22625264.0
